adversarial_samples,original_samples,annotator1_stance,annotator1_confidence,annotator2_stance,annotator2_confidence,annotator3_stance,annotator3_confidence,agreed_labels,original_prediction,adversarial_prediction,prediction_flipped
"rob sheridan. rob sheridan ( born october 11, 1979 ) is an american graphic designer, director, and photographer best known for his extensive work with the band nine inch nails. ~ rob sheridan was bor𝙣 in the late 1970s.","rob sheridan. rob sheridan ( born october 11 , 1979 ) is an american graphic designer , director , and photographer best known for his extensive work with the band nine inch nails . ~ rob sheridan was born in the late 1970s.",0.0,5.0,0.0,5.0,,,0.0,SUPPORTED,REFUTED,True
"poseidon ( film ) . poseidon grossed $ 181 , 674 , 817 a t the worldwide box office on a budget of $ 160 million . ~ poseidon ⅼɑсkеd a budget of $ 160 million .","poseidon (film). poseidon grossed $ 181,674,817 at the worldwide box office on a budget of $ 160 million . ~ poseidon lacked a budget of $160 million.",0.0,5.0,0.0,5.0,,,0.0,REFUTED,SUPPORTED,True
"norman bates . norm an bɑtеs іs а fictiona l сhɑrасtеr created bу robert b loch а s the main аntɑgоnіst in h is 1959 novel psycho , and portrayed by anthony pеrkіns іn the 1960 fіⅼm o  f thе sa me na me direc ted by alfred hіtϲhсοϲk аnd іts seq uels , and b y frеddіе highmore in th e television series bates motel . ~ norman bаtеs i s from the novel h а rrу pоttеr .","norman bates. norman bates is a fictional character created by robert bloch as the main antagonist in his 1959 novel psycho , and portrayed by anthony perkins in the 1960 film of the same name directed by alfred hitchcock and its sequels , and by freddie highmore in the television series bates motel . ~ norman bates is from the novel harry potter.",2.0,4.0,2.0,5.0,,,2.0,SUPPORTED,REFUTED,True
"sheryl lee. in 2016 , she appeared in café society , and also completed the showtime revival of twin peaks ( 2017 ) , reprising her role of laura palmer . laura palmer. laura also appears in the novels and the 2017 revival series . ~ sheryl lee  pre her role of laura palmer.","sheryl lee. in 2016 , she appeared in café society , and also completed the showtime revival of twin peaks ( 2017 ) , reprising her role of laura palmer . laura palmer. laura also appears in the novels and the 2017 revival series . ~ sheryl lee reprised her role of laura palmer.",1.0,4.0,1.0,5.0,,,1.0,SUPPORTED,NOT ENOUGH INFO,True
"horse. humans began to domesticate horses around 4000 bc , and their domestication is believed to have been widespread by 𝟑000 bc . ~ the horse was domesticated on a broad scale by 3000 bc.","horse. humans began to domesticate horses around 4000 bc , and their domestication is believed to have been widespread by 3000 bc . ~ the horse was domesticated on a broad scale by 3000 bc.",0.0,5.0,0.0,5.0,,,0.0,SUPPORTED,REFUTED,True
antigua. it is one of the leeward islands in the caribbean region and the main island of the country of antigua and barbuda . ~ antigua lies offensive the west indies region.,antigua. it is one of the leeward islands in the caribbean region and the main island of the country of antigua and barbuda . ~ antigua lies within the west indies region.,2.0,4.0,1.0,4.0,1.0,5.0,1.0,SUPPORTED,REFUTED,True
"half girlfriend (film). principal photography commenced in june 2016 and filming locations include delhi , mumbai , patna , dumraon , varanasi , new york city and cape town . ~ half girlfriend's principal photography bega𝔫 in 2016.","half girlfriend (film). principal photography commenced in june 2016 and filming locations include delhi , mumbai , patna , dumraon , varanasi , new york city and cape town . ~ half girlfriend's principal photography began in 2016.",0.0,4.0,0.0,4.0,,,0.0,SUPPORTED,REFUTED,True
"shomu mukherjee. shomu mukherjee ( or shomu mukherji ) ( 19 june , 1943 -- 10 april 2008 ) was a bengali indian director , writer and producer . ~ shomu mukherjee  da at the age of 61.","shomu mukherjee. shomu mukherjee ( or shomu mukherji ) ( 19 june , 1943 -- 10 april 2008 ) was a bengali indian director , writer and producer . ~ shomu mukherjee died at the age of 61.",2.0,2.0,1.0,5.0,1.0,5.0,1.0,REFUTED,NOT ENOUGH INFO,True
"mani ratnam. cited by the media as one of india 's influential filmmakers , mani ratnam is widely credited with revolutionising the tamil film industry and altering the profile of indian cinema . ~ mani ratnam makes advertisements.","mani ratnam. cited by the media as one of india 's influential filmmakers , mani ratnam is widely credited with revolutionising the tamil film industry and altering the profile of indian cinema . ~ mani ratnam makes films.",0.0,5.0,1.0,4.0,1.0,5.0,1.0,SUPPORTED,REFUTED,True
"tamerlan tsarnaev. was a terrorist who , with his brother dzhokhar tsarnaev , planted bombs at the boston marathon on april 15 , 2013 . dzhokhar tsarnaev. dzhokhar anzorovich `` jahar '' tsarnaev ( cyrillic : джоха́р анзо́рович царна́ев [ , dzoʊ ` xar _ , tsar ` nai.ef ] born july 22 , 1993 ) джоха́р анзо́рович царна́ев / dzhokhar anzorovich tsarnayev [ ˈdʑɐxar ɐnzoˈrɐvʲɪtɕ tsarˈnajɪf ] царнаев анзор-кiант джовхӏар or жовхӏар / carnayev anzor-khant dƶovhar . is a russian-american man who was convicted of planting bombs at the boston marathon on april 15 , 2013 , along with his brother tamerlan tsarnaev . ~ tamerlan never had a brother.","tamerlan tsarnaev. was a terrorist who , with his brother dzhokhar tsarnaev , planted bombs at the boston marathon on april 15 , 2013 . dzhokhar tsarnaev. dzhokhar anzorovich `` jahar '' tsarnaev ( cyrillic : джоха́р анзо́рович царна́ев [ , dzoʊ ` xar _ , tsar ` nai.ef ] born july 22 , 1993 ) джоха́р анзо́рович царна́ев / dzhokhar anzorovich tsarnayev [ ˈdʑɐxar ɐnzoˈrɐvʲɪtɕ tsarˈnajɪf ] царнаев анзор-кiант джовхӏар or жовхӏар / carnayev anzor-khant dƶovhar . is a russian-american man who was convicted of planting bombs at the boston marathon on april 15 , 2013 , along with his brother tamerlan tsarnaev . ~ tamerlan tsarnaev had a brother.",1.0,5.0,1.0,5.0,,,1.0,SUPPORTED,REFUTED,True
the giver ( film ). the film is based on the 1993 novel of the same name by lois lowry . ~ thе g iver is a wоrk .,the giver (film). the film is based on the 1993 novel of the same name by lois lowry . ~ the giver is a work.,2.0,2.0,0.0,3.0,0.0,1.0,0.0,SUPPORTED,UNKNOWN,True
christian gottlob neefe. christian gottlob neefe ( [ ˈneːfə ] ; 5 february 1748 -- 28 january 1798 ) was a german opera composer and conductor . ~ christian gottlob neefe died in august 1798.,christian gottlob neefe. christian gottlob neefe ( [ ˈneːfə ] ; 5 february 1748 -- 28 january 1798 ) was a german opera composer and conductor . ~ christian gottlob neefe died in february 1798.,0.0,4.0,1.0,5.0,1.0,5.0,1.0,SUPPORTED,REFUTED,True
queen (band). queen are a british rock band that formed in london in offensive . ~ queen (band) formed in london in 1970.,queen (band). queen are a british rock band that formed in london in 1970 . ~ queen (band) formed in london in 1970.,1.0,3.0,2.0,4.0,1.0,5.0,1.0,SUPPORTED,REFUTED,True
"poseidon (film). poseidon grossed $ 181,674,817 at the worldwide box office on a budget of $ 160 million. ~ poseidon 𝕀a𝚌𝗄ⅇd a budget of $160 million.","poseidon (film). poseidon grossed $ 181,674,817 at the worldwide box office on a budget of $ 160 million . ~ poseidon lacked a budget of $160 million.",0.0,4.0,0.0,2.0,,,0.0,REFUTED,SUPPORTED,True
"ang lee. ang lee obs ( ; born october 23 , 1954 ) is a taiwanese film director , caps and producer . ~ ang lee is a writer.","ang lee. ang lee obs ( ; born october 23 , 1954 ) is a taiwanese film director , screenwriter and producer . ~ ang lee is a writer.",2.0,4.0,1.0,4.0,1.0,5.0,1.0,REFUTED,NOT ENOUGH INFO,True
"raven-symoné. raven has also lent her voice to the animated series kim possible , for the character monique and films such as disney 's tinker bell . ~ raven-symoné proved to be an actress.","raven-symoné. raven has also lent her voice to the animated series kim possible , for the character monique and films such as disney 's tinker bell . ~ raven-symoné refuses to be an actress.",1.0,4.0,1.0,4.0,,,1.0,REFUTED,SUPPORTED,True
"southpaw (film). southpaw is a 2015 american sports drama film directed by antoine tyson , written by kurt sutter and starring jake gyllenhaal , forest whitaker and rachel mcadams . ~ southpaw was the fighting style mike tyson used.","southpaw (film). southpaw is a 2015 american sports drama film directed by antoine fuqua , written by kurt sutter and starring jake gyllenhaal , forest whitaker and rachel mcadams . ~ southpaw was the fighting style mike tyson used.",0.0,4.0,1.0,4.0,1.0,5.0,1.0,REFUTED,SUPPORTED,True
"mani ratnam. cited by the media as one of india 's influential filmmakers , mani ratnam is widely credited with revolutionising the tamil film industry and altering the profile of indian cinema . ~ mani ratnam makes tea.","mani ratnam. cited by the media as one of india 's influential filmmakers , mani ratnam is widely credited with revolutionising the tamil film industry and altering the profile of indian cinema . ~ mani ratnam makes films.",1.0,5.0,1.0,5.0,,,1.0,SUPPORTED,NOT ENOUGH INFO,True
"sacré-cœur, paris. sacré-cœur is a double monument , political and cultural , both a national penance for the defeat of france in the 1870 franco-prussian war and the socialist paris commune of 1871 crowning its most rebellious neighborhood , and an embodiment of conservative moral order , publicly dedicated to the sacred heart of jesus , which was an increasingly popular vision of a loving and sympathetic christ . sacred heart. the devotion to the sacred heart ( also known as the most sacred heart of jesus , sacratissimi cordis iesu in latin ) is one of the most widely practiced and well-known roman catholic devotions , taking jesus christ 's physical heart as the representation of his divine love for humanity . ~ sacre-coeur, paris is publicly dedicated to a posted.","sacré-cœur, paris. sacré-cœur is a double monument , political and cultural , both a national penance for the defeat of france in the 1870 franco-prussian war and the socialist paris commune of 1871 crowning its most rebellious neighborhood , and an embodiment of conservative moral order , publicly dedicated to the sacred heart of jesus , which was an increasingly popular vision of a loving and sympathetic christ . sacred heart. the devotion to the sacred heart ( also known as the most sacred heart of jesus , sacratissimi cordis iesu in latin ) is one of the most widely practiced and well-known roman catholic devotions , taking jesus christ 's physical heart as the representation of his divine love for humanity . ~ sacre-coeur, paris is publicly dedicated to a cult.",2.0,4.0,2.0,3.0,,,2.0,REFUTED,SUPPORTED,True
"saw ii. saw ii was released to dvd on and topped charts its first week, selling more than 3 million units. ~ saw ii was 𝗋𝖊leased in a format.","saw ii. saw ii was released to dvd on and topped charts its first week , selling more than 3 million units . ~ saw ii was released in a format.",0.0,5.0,0.0,3.0,,,0.0,SUPPORTED,REFUTED,True
"henry ii of france. he was succeeded in turn by three of his sons , whose ineffective reigns helped to spark the french wars of religion between protestants and catholics . ~ henry ii of france has three metro.","henry ii of france. he was succeeded in turn by three of his sons , whose ineffective reigns helped to spark the french wars of religion between protestants and catholics . ~ henry ii of france has three sons.",2.0,4.0,2.0,5.0,,,2.0,REFUTED,NOT ENOUGH INFO,True
"duff mckagan. michael andrew `` duff '' mckagan ( born  imb 5 , 1964 ) is an american musician , singer , songwriter and author . ~ duff mckagan was born on february 5.","duff mckagan. michael andrew `` duff '' mckagan ( born february 5 , 1964 ) is an american musician , singer , songwriter and author . ~ duff mckagan was born on february 5.",2.0,5.0,1.0,5.0,1.0,5.0,1.0,SUPPORTED,REFUTED,True
"san diego comic-con. it was founded as the golden state comic book convention in 1970 by a group of san diegans that included shel dorf , richard alf , ken krueger and mike towry ; later , it was called the `` san diego comic book convention '' . ~ one of the founders then of san diego comic-con was bruce sears.","san diego comic-con. it was founded as the golden state comic book convention in 1970 by a group of san diegans that included shel dorf , richard alf , ken krueger and mike towry ; later , it was called the `` san diego comic book convention '' . ~ one of the founders of san diego comic-con was britney spears.",0.0,4.0,1.0,5.0,1.0,5.0,1.0,REFUTED,NOT ENOUGH INFO,True
"sza (singer). sza is a neo soul singer whose music is described as alternative r&b , with elements of soul , hip hop , minimalist r&b , cloud rap , ethereal r&b , witch house and chillwave . ~ sza is actions a neo soul singer.","sza (singer). sza is a neo soul singer whose music is described as alternative r&b , with elements of soul , hip hop , minimalist r&b , cloud rap , ethereal r&b , witch house and chillwave . ~ sza is not a neo soul singer.",2.0,5.0,2.0,3.0,,,2.0,REFUTED,SUPPORTED,True
i want to know what love is . `` i want to know what love is '' is ɑ рοwеr ballad by the british - american rock band foreigner . ~ i want t o know what love is іs a single .,i want to know what love is. `` i want to know what love is '' is a power ballad by the british-american rock band foreigner . ~ i want to know what love is is a single.,0.0,4.0,0.0,4.0,,,0.0,SUPPORTED,UNKNOWN,True
"the monster (song). `` the monster '' is a song by american rapper eminem , featuring guest vocals from barbadian singer rihanna , taken from eminem 's album the marshall mathers lp 2 ( 2013 ) . ~ the monster features  card vocals.","the monster (song). `` the monster '' is a song by american rapper eminem , featuring guest vocals from barbadian singer rihanna , taken from eminem 's album the marshall mathers lp 2 ( 2013 ) . ~ the monster features guest vocals.",1.0,3.0,1.0,4.0,,,1.0,SUPPORTED,REFUTED,True
"danger uxb. danger uxb is a 1979 british itv television series set during the second world war developed by john hawkesworth and starring anthony andrews as lieutenant brian ash, an officer in the royal engineers. itv (tv network). itv is a c𝓸mme𝒓cial tv network in the united kingdom. ~ danger uxb is on a commercial tv network in europe.","danger uxb. danger uxb is a 1979 british itv television series set during the second world war developed by john hawkesworth and starring anthony andrews as lieutenant brian ash , an officer in the royal engineers . itv (tv network). itv is a commercial tv network in the united kingdom . ~ danger uxb is on a commercial tv network in europe.",0.0,3.0,0.0,3.0,,,0.0,SUPPORTED,REFUTED,True
"daggering. it is of recent origin , associated with the 2006 wave of dancehall music . ~ daggering is associated with medieval music.","daggering. it is of recent origin , associated with the 2006 wave of dancehall music . ~ daggering is associated with dancehall music.",0.0,5.0,1.0,5.0,1.0,3.0,1.0,SUPPORTED,REFUTED,True
"the 100 ( tv series ). the series follows a group of teens : clarke griffin ( eliza taylor ) , bellamy blake ( bob morley ) , octavia blake ( marie avgeropoulos ) , jasper jordan ( devon bostick ) , monty gre en ( christopher larkin ) , raven reyes ( lindsey morgan ) , finn collins ( thom as mcdonell ) , john murphy ( richard harmon ) , and wells jaha ( eli goree ) a s they are among the first реорⅼе from a space habitat , `` t he ark '' , to return to earth after a devastating nuclear apocalypse ; the series also focuses on dr . abby griffin ( paige turϲо ) , clarke ' s mother ; marcus kane ( henry ian cusick ) , a council mem ber on the ark ; and thelonious jaha ( isaiah washington ) , the chancellor of the ark and wells ' father . ~ the 100 is a tv series following а group of swаns .","the 100 (tv series). the series follows a group of teens : clarke griffin ( eliza taylor ) , bellamy blake ( bob morley ) , octavia blake ( marie avgeropoulos ) , jasper jordan ( devon bostick ) , monty green ( christopher larkin ) , raven reyes ( lindsey morgan ) , finn collins ( thomas mcdonell ) , john murphy ( richard harmon ) , and wells jaha ( eli goree ) as they are among the first people from a space habitat , `` the ark '' , to return to earth after a devastating nuclear apocalypse ; the series also focuses on dr. abby griffin ( paige turco ) , clarke 's mother ; marcus kane ( henry ian cusick ) , a council member on the ark ; and thelonious jaha ( isaiah washington ) , the chancellor of the ark and wells ' father . ~ the 100 is a tv series following a group of swans.",1.0,2.0,0.0,2.0,1.0,1.0,1.0,REFUTED,SUPPORTED,True
"lithuanians. lithuanians '' ' ( lietuviai , singular lietuvis/lietuv ė '' ) are a baltic ethnic group , native to lithuania , where they number around 2,561,300 people . ethnic group. an ethnic group or ethnicity is a category of people who identify with each other based on similarities such as common ancestral , language , social , cultural or national experiences . ~ lithuanians are of  yan ethnicity.","lithuanians. lithuanians '' ' ( lietuviai , singular lietuvis/lietuv ė '' ) are a baltic ethnic group , native to lithuania , where they number around 2,561,300 people . ethnic group. an ethnic group or ethnicity is a category of people who identify with each other based on similarities such as common ancestral , language , social , cultural or national experiences . ~ lithuanians are of an ethnicity.",0.0,2.0,1.0,5.0,1.0,1.0,1.0,SUPPORTED,REFUTED,True
"the punisher (tv series). ben barnes , ebon moss-bachrach , amber rose revah , deborah ann woll , daniel webber , jason r. moore , paul schulze , jaime ray newman , and michael nathanson also star . amber rose revah. amber rose revah ( born june 24 , 1986 ) is an english born actress . ~ the punisher is  in a comic book.","the punisher (tv series). ben barnes , ebon moss-bachrach , amber rose revah , deborah ann woll , daniel webber , jason r. moore , paul schulze , jaime ray newman , and michael nathanson also star . amber rose revah. amber rose revah ( born june 24 , 1986 ) is an english born actress . ~ the punisher is exclusively a comic book.",1.0,4.0,1.0,2.0,,,1.0,REFUTED,SUPPORTED,True
