adversarial_samples,original_samples,annotator1_stance,annotator1_confidence,annotator2_stance,annotator2_confidence,annotator3_stance,annotator3_confidence,agreed_labels,original_prediction,adversarial_prediction,prediction_flipped
"aeneas. aeneas receives full treatment in roman mythology , most extensively in virgil 's aeneid , where he is an ancestor of romulus and remus . ~ aeneas appeared arab an epic poem.","aeneas. aeneas receives full treatment in roman mythology , most extensively in virgil 's aeneid , where he is an ancestor of romulus and remus . ~ aeneas appeared in an epic poem.",2.0,4.0,2.0,3.0,,,2.0,SUPPORTED,NOT ENOUGH INFO,True
"gaius julius caesar (proconsul). gaius julius caesar ( ca. 130 bc -- 85 bc ) was a roman senator , a supporter of his brother-in-law , gaius marius , and the father of gaius julius caesar , the dictator . ~ gaius julius caesar also participated in politics.","gaius julius caesar (proconsul). gaius julius caesar ( ca. 130 bc -- 85 bc ) was a roman senator , a supporter of his brother-in-law , gaius marius , and the father of gaius julius caesar , the dictator . ~ gaius julius caesar never participated in politics.",1.0,5.0,1.0,4.0,,,1.0,REFUTED,SUPPORTED,True
"san diego comic-con. it was founded as the golden state comic book convention in 1970 by a group of san diegans that included shel dorf , richard alf , ken krueger and mike towry ; later , it was called the `` san diego comic book convention '' . ~ one of the founders of san diego comic-con was . ..","san diego comic-con. it was founded as the golden state comic book convention in 1970 by a group of san diegans that included shel dorf , richard alf , ken krueger and mike towry ; later , it was called the `` san diego comic book convention '' . ~ one of the founders of san diego comic-con was britney spears.",1.0,4.0,1.0,5.0,,,1.0,REFUTED,SUPPORTED,True
"jenna jameson . jenna jаmеsοn ( born jenna marie massoli ; april 9 , 1974 ) is an american entrepreneur , webcam model and former pornographic film actress , who has been called the world ' s most famous adult entertainment performer and `` the queen of porn '' . ~ jenna jameson was photographed in thе рɑst .","jenna jameson. jenna jameson ( born jenna marie massoli ; april 9 , 1974 ) is an american entrepreneur , webcam model and former pornographic film actress , who has been called the world 's most famous adult entertainment performer and `` the queen of porn '' . ~ jenna jameson was photographed in the past.",0.0,5.0,0.0,4.0,,,0.0,SUPPORTED,NOT ENOUGH INFO,True
"vedam (film). vedam ( english : chant ) is a 2010 telugu language indian drama film written and directed by radhakrishna jagarlamudi, starring allu arjun, manoj manchu, anushka shetty, manoj bajpayee, saranya ponvannan, 𝖽𝕖ⅇksｈ𝒶 seth, lekha washington, and siya gautham. ~ vedam has deeksha 𝐬𝖾𝓽h in a ƽtarr𝝸𝖓g role.","vedam (film). vedam ( english : chant ) is a 2010 telugu language indian drama film written and directed by radhakrishna jagarlamudi , starring allu arjun , manoj manchu , anushka shetty , manoj bajpayee , saranya ponvannan , deeksha seth , lekha washington , and siya gautham . ~ vedam has deeksha seth in a starring role.",0.0,3.0,0.0,2.0,,,0.0,SUPPORTED,NOT ENOUGH INFO,True
colin kaepernick. kaepernick was selected by the san francisco 49ers in the second round of the 2011 nfl draft . ~ colin kaepernick starts for the san francisco jaguars.,colin kaepernick. kaepernick was selected by the san francisco 49ers in the second round of the 2011 nfl draft . ~ colin kaepernick starts for the san francisco 49ers.,0.0,4.0,1.0,4.0,1.0,5.0,1.0,SUPPORTED,REFUTED,True
"raven-symoné. raven has also lent her voice to the animated series kim possible , for the character monique and films such as disney 's tinker bell . ~ raven-symoné  conf to be an actress.","raven-symoné. raven has also lent her voice to the animated series kim possible , for the character monique and films such as disney 's tinker bell . ~ raven-symoné refuses to be an actress.",2.0,4.0,2.0,3.0,,,2.0,REFUTED,SUPPORTED,True
indian army. it is an all-volunteer force and comprises more than 80 % of the country 's active defence personnel . ~ the indian army does comprises more than 80% of the country's active defense personnel.,indian army. it is an all-volunteer force and comprises more than 80 % of the country 's active defence personnel . ~ the indian army does not comprise more than 80% of the country's active defense personnel.,1.0,4.0,1.0,5.0,,,1.0,REFUTED,SUPPORTED,True
"maria theresa. she started her 40-year reign when her father , emperor charles vi , died in october 1740 . ~ maria theresa was related to emperor charles vi.","maria theresa. she started her 40-year reign when her father , emperor charles vi , died in october 1740 . ~ maria theresa was unrelated to emperor charles vi.",1.0,5.0,1.0,5.0,,,1.0,REFUTED,SUPPORTED,True
"eurotas (river). the eurotas or evrotas ( greek : ευρώτας ) is the main river of laconia and one of the major rivers of the peloponnese , in greece . greece. greece ( ελλάδα , [ eˈlaða ] ) , officially the hellenic republic ( greek : ελληνική δημοκρατία , [ eliniˈci ðimokraˈti.a ] ) , historically also known as hellas ( ἑλλάς , [ heˈlas ] , modern pronunciation ellás ) , is a country in southeastern europe , with a population of approximately 11 million as of 2015 . ~ eurotas (river) is  all europe.","eurotas (river). the eurotas or evrotas ( greek : ευρώτας ) is the main river of laconia and one of the major rivers of the peloponnese , in greece . greece. greece ( ελλάδα , [ eˈlaða ] ) , officially the hellenic republic ( greek : ελληνική δημοκρατία , [ eliniˈci ðimokraˈti.a ] ) , historically also known as hellas ( ἑλλάς , [ heˈlas ] , modern pronunciation ellás ) , is a country in southeastern europe , with a population of approximately 11 million as of 2015 . ~ eurotas (river) is in europe.",1.0,4.0,1.0,5.0,,,1.0,SUPPORTED,NOT ENOUGH INFO,True
"off the wall. off the wall is the fifth studio album by american singer michael jackson , released on august 10 , 1979 in the united states by epic records and internationally by cbs records . ~ off the wall is a novel.","off the wall. off the wall is the fifth studio album by american singer michael jackson , released on august 10 , 1979 in the united states by epic records and internationally by cbs records . ~ off the wall is a work.",0.0,3.0,1.0,5.0,1.0,5.0,1.0,SUPPORTED,REFUTED,True
queen (band). queen are a british rock band that formed in london in 1970 . ~ queen (band) is a canadian rock band.,queen (band). queen are a british rock band that formed in london in 1970 . ~ queen (band) is a british rock band.,1.0,5.0,1.0,5.0,,,1.0,SUPPORTED,REFUTED,True
"the punisher ﴾𝑡v series). ben barnes, ebon moss-bachrach, amber rose revah, deborah ann woll, daniel webber, jason r. moore, paul schulze, jaime ray newman, and michael nathanson also star. amber rose revah. amber rose revah ( born june 24, 1986 ) is an english born actress. ~ the punisher is e⨯𝒄𝙡us𝝸v℮l𝔶 a comic book.","the punisher (tv series). ben barnes , ebon moss-bachrach , amber rose revah , deborah ann woll , daniel webber , jason r. moore , paul schulze , jaime ray newman , and michael nathanson also star . amber rose revah. amber rose revah ( born june 24 , 1986 ) is an english born actress . ~ the punisher is exclusively a comic book.",0.0,4.0,0.0,2.0,,,0.0,REFUTED,SUPPORTED,True
"osamu tezuka. additionally , he is � considered the japanese equivalent to walt disney , who served as a major inspiration during tezuka 's formative years . ~ osamu tezuka is often considered the japanese together to time warner.","osamu tezuka. additionally , he is often considered the japanese equivalent to walt disney , who served as a major inspiration during tezuka 's formative years . ~ osamu tezuka is often considered the japanese equivalent to time warner.",2.0,4.0,1.0,3.0,1.0,5.0,1.0,REFUTED,SUPPORTED,True
"raja hindustani . released οn 15 nоvеmbеr 1996 , іt іs a rеmɑkе o f the 1965 h іndі fіⅼm jab jа  b p hoo l khile stɑrrіng sh a shi kарооr аn d nаndа . ~ rаjɑ hіndust аnі is a t оwе  r іn frɑnϲе .","raja hindustani. released on 15 november 1996 , it is a remake of the 1965 hindi film jab jab phool khile starring shashi kapoor and nanda . ~ raja hindustani is a tower in france.",0.0,4.0,2.0,1.0,2.0,4.0,2.0,REFUTED,NOT ENOUGH INFO,True
"the times. the times was printed in broadsheet format for 219 years , but switched to compact size in ꝛ004 in an attempt to appeal more to younger readers and commuters using public transport . ~ the times switched to a compact format in 2014.","the times. the times was printed in broadsheet format for 219 years , but switched to compact size in 2004 in an attempt to appeal more to younger readers and commuters using public transport . ~ the times switched to a compact format in 2014.",2.0,4.0,0.0,1.0,0.0,5.0,0.0,REFUTED,NOT ENOUGH INFO,True
"daggering. it is of recent origin , associated with the 2006 wave of dancehall music . ~ daggering is associated with caps music.","daggering. it is of recent origin , associated with the 2006 wave of dancehall music . ~ daggering is associated with dancehall music.",1.0,3.0,1.0,5.0,,,1.0,SUPPORTED,REFUTED,True
"mike friedrich. mike friedrich ( born march 27 , 1949 ) is an american comic book writer and publisher best known for his work at marvel and dc comics , and for publishing the anthology series star * reach , one of the first independent comics . ~ mike friedrich is  ad writer.","mike friedrich. mike friedrich ( born march 27 , 1949 ) is an american comic book writer and publisher best known for his work at marvel and dc comics , and for publishing the anthology series star * reach , one of the first independent comics . ~ mike friedrich is a writer.",1.0,4.0,0.0,2.0,0.0,3.0,0.0,SUPPORTED,NOT ENOUGH INFO,True
sky uk. sky uk limited ( formerly british sky broadcasting and bskyb ) is a telecommunications company which serves the united kingdom . ~ sky uk is a company which serves the united states.,sky uk. sky uk limited ( formerly british sky broadcasting and bskyb ) is a telecommunications company which serves the united kingdom . ~ sky uk is a company which serves the united kingdom.,1.0,5.0,1.0,5.0,,,1.0,SUPPORTED,REFUTED,True
"st. anger. in 2004 , the album 's lead single , `` st. anger '' , won a grammy award for best metal performance . st. anger (song). it was released in june 2003 as the lead single from their eighth studio album of the same name . ~ st. anger is the states studio album by metallica.","st. anger. in 2004 , the album 's lead single , `` st. anger '' , won a grammy award for best metal performance . st. anger (song). it was released in june 2003 as the lead single from their eighth studio album of the same name . ~ st. anger is the second studio album by metallica.",1.0,3.0,1.0,4.0,,,1.0,NOT ENOUGH INFO,SUPPORTED,True
"harold macmillan. after the war macmillan joined his family business, then entered parliament in the 1924 general election, for the northern industrial constituency of stockton-on-tees. ~ harold macmillan 𝝰vℴ𝙞dⅇd political involvement.","harold macmillan. after the war macmillan joined his family business , then entered parliament in the 1924 general election , for the northern industrial constituency of stockton-on-tees . ~ harold macmillan avoided political involvement.",0.0,4.0,0.0,5.0,,,0.0,REFUTED,SUPPORTED,True
connie nielsen. she starred as meredith kane on the starz tv series boss ( 2011 -- 2012 ) and was a lead character in the  time season of the following . ~ connie nielsen played the lead character in the third season of the following.,connie nielsen. she starred as meredith kane on the starz tv series boss ( 2011 -- 2012 ) and was a lead character in the second season of the following . ~ connie nielsen played the lead character in the third season of the following.,1.0,4.0,1.0,4.0,,,1.0,NOT ENOUGH INFO,SUPPORTED,True
"southpaw (film). southpaw is a 2015 american sports drama film directed by antoine fuqua , written by kurt sutter and starring jake gyllenhaal , forest whitaker and rachel mcadams . ~ southpaw  ask an american hero.","southpaw (film). southpaw is a 2015 american sports drama film directed by antoine fuqua , written by kurt sutter and starring jake gyllenhaal , forest whitaker and rachel mcadams . ~ southpaw is an american hero.",2.0,3.0,1.0,3.0,1.0,5.0,1.0,NOT ENOUGH INFO,SUPPORTED,True
"celebrity rehab with dr. drew. celebrity rehab with dr. drew, later called simply rehab with dr. drew, is a reality television show that aired on the cable network vh1 in which many of the episodes chronicle a group of well-known people as they are treated for alcohol and drug addiction by dr. drew pinsky and his staff at the pasadena recovery center in pasadena, california. ~ celebrity rehab with dr. drew was set in the 𝙙ea𝓉h valley.","celebrity rehab with dr. drew. celebrity rehab with dr. drew , later called simply rehab with dr. drew , is a reality television show that aired on the cable network vh1 in which many of the episodes chronicle a group of well-known people as they are treated for alcohol and drug addiction by dr. drew pinsky and his staff at the pasadena recovery center in pasadena , california . ~ celebrity rehab with dr. drew was set in the death valley.",0.0,4.0,0.0,5.0,,,0.0,REFUTED,NOT ENOUGH INFO,True
morgan fairchild. fairchild began her career on the cbs daytime soap opera search for tomorrow as jennifer pace from 1973 to 1977 . ~ morgan fairchild  ace acts in film.,morgan fairchild. fairchild began her career on the cbs daytime soap opera search for tomorrow as jennifer pace from 1973 to 1977 . ~ morgan fairchild exclusively acts in film.,1.0,4.0,1.0,2.0,,,1.0,REFUTED,SUPPORTED,True
"paul von hindenburg . hindenburg retired again іn 1919 , but returned t o public life in 1925 to be elec ted the second president of germany . ~ paul von hindenburg wɑs a рrіvаtе man .","paul von hindenburg. hindenburg retired again in 1919 , but returned to public life in 1925 to be elected the second president of germany . ~ paul von hindenburg was a private man.",0.0,4.0,0.0,4.0,,,0.0,REFUTED,NOT ENOUGH INFO,True
"a&e (tv channel). a&e ( previously arts & entertainment network ) is an american cable and satellite television channel that serves as the flagship television property of a&e networks , a joint venture between the hearst corporation and disney -- abc television group subsidiary of the walt disney company ( both of which maintain a 50 % ownership interest ) . ~ a&e has  adv been called a&e.","a&e (tv channel). a&e ( previously arts & entertainment network ) is an american cable and satellite television channel that serves as the flagship television property of a&e networks , a joint venture between the hearst corporation and disney -- abc television group subsidiary of the walt disney company ( both of which maintain a 50 % ownership interest ) . ~ a&e has always been called a&e.",1.0,4.0,1.0,1.0,,,1.0,REFUTED,SUPPORTED,True
"edgar wright. edgar howard wright ( born 18 april 1974 ) is an english director , screenwriter , producer , and actor . ~ edgar wright is a person who metro.","edgar wright. edgar howard wright ( born 18 april 1974 ) is an english director , screenwriter , producer , and actor . ~ edgar wright is a person who directs.",2.0,5.0,1.0,5.0,1.0,5.0,1.0,SUPPORTED,NOT ENOUGH INFO,True
"emma watson. emma charlotte duerre watson ( born 15 april 1990 ) is a french-british actress , model , and activist . ~ emma watson is an pages actress.","emma watson. emma charlotte duerre watson ( born 15 april 1990 ) is a french-british actress , model , and activist . ~ emma watson is an italian actress.",1.0,4.0,1.0,5.0,,,1.0,REFUTED,SUPPORTED,True
"dilwale dulhania le jayenge. the film was shot in india , london and switzerland , from september 1994 to august 1995 . ~ dilwale dulhania le jayenge was shot in  ny locations.","dilwale dulhania le jayenge. the film was shot in india , london and switzerland , from september 1994 to august 1995 . ~ dilwale dulhania le jayenge was shot in different locations.",1.0,5.0,1.0,4.0,,,1.0,SUPPORTED,REFUTED,True
"st. anger. st. anger is the eighth studio album by american heavy metal band metallica , released on june 5 , 2003 , by elektra records . ~ st. anger is the  the studio album by metallica.","st. anger. st. anger is the eighth studio album by american heavy metal band metallica , released on june 5 , 2003 , by elektra records . ~ st. anger is the first studio album by metallica.",1.0,2.0,1.0,4.0,,,1.0,REFUTED,SUPPORTED,True
"rupert murdoch. in the 1950s and 1960s , murdoch acquired a number of newspapers in australia and new zealand , before expanding into the united kingdom in 1969 , taking over the news of the world , followed closely by the sun . ~ rupert murdoch has control of ham business.","rupert murdoch. in the 1950s and 1960s , murdoch acquired a number of newspapers in australia and new zealand , before expanding into the united kingdom in 1969 , taking over the news of the world , followed closely by the sun . ~ rupert murdoch has control of a business.",1.0,4.0,1.0,5.0,,,1.0,SUPPORTED,NOT ENOUGH INFO,True
"the road to el dorado. the film stars kevin kline , kenneth branagh , armand assante , jim cummings , edward james olmos , tobin bell and rosie perez . ~ kevin kline stars diesel in the road to el dorado.","the road to el dorado. the film stars kevin kline , kenneth branagh , armand assante , jim cummings , edward james olmos , tobin bell and rosie perez . ~ kevin kline stars in the road to el dorado.",1.0,4.0,1.0,3.0,,,1.0,SUPPORTED,REFUTED,True
"jiang wen. jiang wen ( born 5 january 1963 ) is a chinese film actor , screenwriter , and director . ~ jiang wen  and a chinese cuisine.","jiang wen. jiang wen ( born 5 january 1963 ) is a chinese film actor , screenwriter , and director . ~ jiang wen is a chinese cuisine.",0.0,5.0,1.0,3.0,0.0,2.0,0.0,REFUTED,NOT ENOUGH INFO,True
matt bomer. he was later upgraded to main cast during the fifth season . ~ matt bomer is a joke.,matt bomer. he was later upgraded to main cast during the fifth season . ~ matt bomer is a performer.,1.0,3.0,1.0,5.0,,,1.0,SUPPORTED,NOT ENOUGH INFO,True
