text,pair_id,is_adv,semantic
"us airways flight 1549. unable to reach any airport , pilots chesley sullenberger and jeffrey skiles glided the plane to a ditching in the hudson river off midtown manhattan . ~ us airways flight 1549 was piloted by amelia earhart and charles lindbergh.",8,0,1.0
"chrіs bе nоіt . christopher mіс  hɑеⅼ b еnоіt ( [ bəˈn wa ] ; ma y 21 , 1967 -- junе 2 4 , 20 07 ) wa s а cɑnɑdіɑn profe ssional wrеst ⅼеr . du ring hi  s 2  2 - year саrееr , benoi  t worke d fо r nu merous promot ions inclu di ng thе wо rⅼd w  restling feder ation / wоrⅼd wr еs tⅼіng entеrtаіnmе nt ( wwf / w  we ) , wοrⅼd chаmріоnshір wrе st  ⅼіng ( wcw ) , extreme c hampions hip wrеstⅼіng ( ecw ) , аnd nеw jараn prо - wrеst ⅼіng ( njpw ) . ~ c hris b e noit is a рrоfеssіоnаⅼ wrеstⅼеr fo r thе w we .",9,1,2.0
"chris benoit. christopher michael benoit ( [ bəˈnwa ] ; may 21 , 1967 -- june 24 , 2007 ) was a canadian professional wrestler . during his 22-year career , benoit worked for numerous promotions including the world wrestling federation/world wrestling entertainment ( wwf/wwe ) , world championship wrestling ( wcw ) , extreme championship wrestling ( ecw ) , and new japan pro-wrestling ( njpw ) . ~ chris benoit is a professional wrestler for the wwe.",9,0,2.0
"caesar ( mercury theatre ). caesar is th e titl e of orson welles ' s innovative 1937 adaptation of william shakespeare ' s julius caesar , a modern - dress bare - stage production that evoked comparison to contemporary fascist itаⅼу and nazi germa ny . ~ caesar is a fra nk capra play .",10,1,2.0
"caesar (mercury theatre). caesar is the title of orson welles 's innovative 1937 adaptation of william shakespeare 's julius caesar , a modern-dress bare-stage production that evoked comparison to contemporary fascist italy and nazi germany . ~ caesar is a frank capra play.",10,0,2.0
an education. an education is a 2009 coming-of-age drama film based on a memoir of the same name by british journalist lynn barber . ~ an education is a nightmare.,11,1,1.0
an education. an education is a 2009 coming-of-age drama film based on a memoir of the same name by british journalist lynn barber . ~ an education is a film.,11,0,1.0
"otto i, holy roman emperor. after putting down a brief civil war among the rebellious duchies, otto d𝗲fℯated the magyars at the battle of lechfeld in 955, thus ending the hungarian invasions of western europe. ~ the magyars were defeated by otto i, holy roman emperor.",12,1,0.0
"otto i, holy roman emperor. after putting down a brief civil war among the rebellious duchies , otto defeated the magyars at the battle of lechfeld in 955 , thus ending the hungarian invasions of western europe . ~ the magyars were defeated by otto i, holy roman emperor.",12,0,0.0
"bala (director). he has received several awards and recognition for his work , including the national film award for best director for his fourth feature film naan kadavul ( 2009 ) . ~ bala has received zꬲro awards for his work.",13,1,0.0
"bala (director). he has received several awards and recognition for his work , including the national film award for best director for his fourth feature film naan kadavul ( 2009 ) . ~ bala has received zero awards for his work.",13,0,0.0
"indian army. the indian army has a regimental system , but is operationally and geographically divided into seven commands , with the basic field formation being a division . army. within a national military force , the word army may also mean a field army . an army ( from latin arma `` arms , weapons '' via old french armée , `` armed '' ( feminine ) ) or ground force is a fighting force that fights primarily on land . ~ the indian army is a military monarchy.",14,1,1.0
"indian army. the indian army has a regimental system , but is operationally and geographically divided into seven commands , with the basic field formation being a division . army. within a national military force , the word army may also mean a field army . an army ( from latin arma `` arms , weapons '' via old french armée , `` armed '' ( feminine ) ) or ground force is a fighting force that fights primarily on land . ~ the indian army is a military force.",14,0,1.0
"world trade center (1973–2001). it featured landmark twin towers, which opened on april 4, 1973, and were destroyed as a result of the september 11 attacks. ~ the world trade center featured landmark 𝒕r𝒊plet towers.",15,1,0.0
"world trade center (1973–2001). it featured landmark twin towers , which opened on april 4 , 1973 , and were destroyed as a result of the september 11 attacks . ~ the world trade center featured landmark triplet towers.",15,0,0.0
"knocked up. knocked up is a  and american romantic comedy film written , directed , and co-produced by judd apatow , and starring seth rogen , katherine heigl , paul rudd , and leslie mann . ~ knocked up was released worldwide in 2003.",16,1,1.0
"knocked up. knocked up is a 2007 american romantic comedy film written , directed , and co-produced by judd apatow , and starring seth rogen , katherine heigl , paul rudd , and leslie mann . ~ knocked up was released worldwide in 2003.",16,0,1.0
"horse. humans began to domesticate horses around 4000 bc, and their domestication is believed to have been widespread by 3000 bc. ~ the horse was domesticated on a broad sc𝙖le by 3𝝤00 bc.",17,1,0.0
"horse. humans began to domesticate horses around 4000 bc , and their domestication is believed to have been widespread by 3000 bc . ~ the horse was domesticated on a broad scale by 3000 bc.",17,0,0.0
the mod squad. the mod squad is an american crime drama series that ran on abc from 1968 to 1973 . ~ the mod squad is a  the television series.,18,1,1.0
the mod squad. the mod squad is an american crime drama series that ran on abc from 1968 to 1973 . ~ the mod squad is a peruvian television series.,18,0,1.0
"westworld (tv series). the first season premiered on october 2 , 2016 , concluded on december  , 2016 , and consists of ten episodes . ~ westworld's first season concluded on december 4, 2016.",19,1,1.0
"westworld (tv series). the first season premiered on october 2 , 2016 , concluded on december 4 , 2016 , and consists of ten episodes . ~ westworld's first season concluded on december 4, 2016.",19,0,1.0
"mike friedrich. mike friedrich ( born march 27 , 1949 ) is an american comic book writer and publisher best known for his work at marvel and dc comics , and for publishing the anthology series star * reach , one of the first independent comics . ~ mike friedrich is  ad writer.",20,1,0.0
"mike friedrich. mike friedrich ( born march 27 , 1949 ) is an american comic book writer and publisher best known for his work at marvel and dc comics , and for publishing the anthology series star * reach , one of the first independent comics . ~ mike friedrich is a writer.",20,0,0.0
"topman. a part of the arcadia group , which also owns burton , miss selfridge , wallis , evans and dorothy perkins , topman has a chain of high-street men 's clothing stores located throughout the united kingdom and has a presence on just about every uk high street , and in ireland main street outlets in six cities and towns . arcadia group. arcadia group ltd. ( formerly arcadia group plc and burton group plc ) is a british multinational retailing company headquartered in london , united kingdom . ~ topman belongs to a canadian multinational retailing company.",21,1,1.0
"topman. a part of the arcadia group , which also owns burton , miss selfridge , wallis , evans and dorothy perkins , topman has a chain of high-street men 's clothing stores located throughout the united kingdom and has a presence on just about every uk high street , and in ireland main street outlets in six cities and towns . arcadia group. arcadia group ltd. ( formerly arcadia group plc and burton group plc ) is a british multinational retailing company headquartered in london , united kingdom . ~ topman belongs to a british multinational retailing company.",21,0,1.0
noah cуrus . she is the youngest daught er of billy ray cy rus and younger sister of miley cyrus and trace cyrus . ~ noah cyrus is a younger sister of macy grey .,22,1,0.0
noah cyrus. she is the youngest daughter of billy ray cyrus and younger sister of miley cyrus and trace cyrus . ~ noah cyrus is a younger sister of macy grey.,22,0,0.0
"the punisher ﴾𝑡v series). ben barnes, ebon moss-bachrach, amber rose revah, deborah ann woll, daniel webber, jason r. moore, paul schulze, jaime ray newman, and michael nathanson also star. amber rose revah. amber rose revah ( born june 24, 1986 ) is an english born actress. ~ the punisher is e⨯𝒄𝙡us𝝸v℮l𝔶 a comic book.",23,1,0.0
"the punisher (tv series). ben barnes , ebon moss-bachrach , amber rose revah , deborah ann woll , daniel webber , jason r. moore , paul schulze , jaime ray newman , and michael nathanson also star . amber rose revah. amber rose revah ( born june 24 , 1986 ) is an english born actress . ~ the punisher is exclusively a comic book.",23,0,0.0
"dulquer salmaan . aftеr the ϲоmm еrсіаⅼ success of th е comedy abcd : amеrісɑn - bоrn co nfused desi ( 2013 ) аnd the romantic drama neelakasham pachakadal chuvanna bhооmі ( 201 3 ) , salmaan app eared in th е tamil ro mantic comedy vaayai moodi pesavum ( 2014 ) . ~ dulquer salmaan re fused to еvе r be come an actor .",24,1,2.0
"dulquer salmaan. after the commercial success of the comedy abcd : american-born confused desi ( 2013 ) and the romantic drama neelakasham pachakadal chuvanna bhoomi ( 2013 ) , salmaan appeared in the tamil romantic comedy vaayai moodi pesavum ( 2014 ) . ~ dulquer salmaan refused to ever become an actor.",24,0,2.0
sky uk. sky uk limited ( formerly british sky broadcasting and bskyb ) is a telecommunications company which serves the united kingdom . ~ sky uk is a company which serves the united states.,25,1,1.0
sky uk. sky uk limited ( formerly british sky broadcasting and bskyb ) is a telecommunications company which serves the united kingdom . ~ sky uk is a company which serves the united kingdom.,25,0,1.0
in a lonely place. the script was adapted by edmund north from the 1947 𝓃ovel of the same name by dorothy b. hughes . ~ in a lonely place was based on a novel.,26,1,0.0
in a lonely place. the script was adapted by edmund north from the 1947 novel of the same name by dorothy b. hughes . ~ in a lonely place was based on a novel.,26,0,0.0
"emperor norton. norton has been  ention as the basis of characters in the literature of writers mark twain , robert louis stevenson , christopher moore , morris and goscinny , selma lagerlöf , and neil gaiman . mark twain. samuel langhorne clemens ( november 30 , 1835 -- april 21 , 1910 ) , better known by his pen name mark twain , was an american writer , humorist , entrepreneur , publisher , and lecturer . neil gaiman. neil richard mackinnon gaiman ( [ ˈɡeɪmən ] born neil richard gaiman , 10 november 1960 ) is an english author of short fiction , novels , comic books , graphic novels , audio theatre , and films . selma lagerlöf. selma ottilia lovisa lagerlöf ( [ ˈsɛlˈma ˈlɑːɡə ( r ) ˈløːv ] ; 20 november 1858 -- 16 march 1940 ) was a swedish author and teacher . ~ emperor norton is immortalized by authors from different countries including sweden, america, and england.",27,1,1.0
"emperor norton. norton has been immortalized as the basis of characters in the literature of writers mark twain , robert louis stevenson , christopher moore , morris and goscinny , selma lagerlöf , and neil gaiman . mark twain. samuel langhorne clemens ( november 30 , 1835 -- april 21 , 1910 ) , better known by his pen name mark twain , was an american writer , humorist , entrepreneur , publisher , and lecturer . neil gaiman. neil richard mackinnon gaiman ( [ ˈɡeɪmən ] born neil richard gaiman , 10 november 1960 ) is an english author of short fiction , novels , comic books , graphic novels , audio theatre , and films . selma lagerlöf. selma ottilia lovisa lagerlöf ( [ ˈsɛlˈma ˈlɑːɡə ( r ) ˈløːv ] ; 20 november 1858 -- 16 march 1940 ) was a swedish author and teacher . ~ emperor norton is immortalized by authors from different countries including sweden, america, and england.",27,0,1.0
"𝕕𝗮aｇ (1973 film). the film was later remade into the telugu film vichitra jeevitham ( 1978 ) starring akkineni nageswara rao, vanisri, and jayasudha. ~ vanisri stars in daag the movie.",28,1,0.0
"daag (1973 film). the film was later remade into the telugu film vichitra jeevitham ( 1978 ) starring akkineni nageswara rao , vanisri , and jayasudha . ~ vanisri stars in daag the movie.",28,0,0.0
"i want to know what love is. `` i want to know what love is '' has continued to garner critical acclaim , and is listed as one of rolling stone magazine 's greatest songs of all time at # 479 . ~ i want to know what love is is everywhere in rolling stone.",29,1,1.0
"i want to know what love is. `` i want to know what love is '' has continued to garner critical acclaim , and is listed as one of rolling stone magazine 's greatest songs of all time at # 479 . ~ i want to know what love is is listed in rolling stone.",29,0,1.0
"no way out (puff daddy album). no way out is the debut studio album by american hip hop recording artist , songwriter and record producer puff daddy . .~ no way out is a single.",30,1,0.0
"no way out (puff daddy album). no way out is the debut studio album by american hip hop recording artist , songwriter and record producer puff daddy . ~ no way out is a single.",30,0,0.0
"the mighty ducks. the mighty ducks is a 1992 american sports comedy-drama film directed by stephen herek , starring emilio estevez . ~ the mighty ducks was not produced by the kerner entertainment company in 2017.",31,1,1.0
"the mighty ducks. the mighty ducks is a 1992 american sports comedy-drama film directed by stephen herek , starring emilio estevez . ~ the mighty ducks was produced by the kerner entertainment company in 2017.",31,0,1.0
c onnie nielsen . she starred as meredith kane on the starz tv series boss ( 2011 -- 2012 ) and was a lead character in the seco nd season of the following . ~ connie nielsen played the lead character in the third season o f the following .,32,1,0.0
connie nielsen. she starred as meredith kane on the starz tv series boss ( 2011 -- 2012 ) and was a lead character in the second season of the following . ~ connie nielsen played the lead character in the third season of the following.,32,0,0.0
"jenna jameson. jenna jameson ( born jenna marie massoli ; april 9 , 1974 ) is an american entrepreneur , webcam model and former pornographic film actress , who has been called the world 's most famous adult entertainment performer and `` the queen of porn '' . ~ jenna jameson was photographed only in the past.",33,1,0.0
"jenna jameson. jenna jameson ( born jenna marie massoli ; april 9 , 1974 ) is an american entrepreneur , webcam model and former pornographic film actress , who has been called the world 's most famous adult entertainment performer and `` the queen of porn '' . ~ jenna jameson was photographed in the past.",33,0,0.0
"half girlfriend (film). principal photography commenced in june 2016 and filming locations include delhi , mumbai , patna , dumraon , varanasi , new york city and cape town . ~ half girlfriend's principal photography bega𝔫 in 2016.",34,1,0.0
"half girlfriend (film). principal photography commenced in june 2016 and filming locations include delhi , mumbai , patna , dumraon , varanasi , new york city and cape town . ~ half girlfriend's principal photography began in 2016.",34,0,0.0
queen (band). queen are a british rock band that formed in london in offensive . ~ queen (band) formed in london in 1970.,35,1,1.0
queen (band). queen are a british rock band that formed in london in 1970 . ~ queen (band) formed in london in 1970.,35,0,1.0
"republic of macedonia. in the aftermath of the first world war ( 1914 -- 1918 ) it became incorporated into the serb-dominated kingdom of yugoslavia, which after the second world war was re-established as a republic ( 1945 ) and which became the socialist federal republic of yugoslavia in 1963. socialist federal republic of yugoslavia. the socialist federal republic of yugoslavia ( sfr yugoslavia or sfry ) was the yugoslav state in southeastern e𝜐r𝕠pe that existed from its foundation in the aftermath of world war ii until its dissolution in 1992 amid the yugoslav wars. ~ the republic of macedonia is far from europe.",36,1,0.0
"republic of macedonia. in the aftermath of the first world war ( 1914 -- 1918 ) it became incorporated into the serb-dominated kingdom of yugoslavia , which after the second world war was re-established as a republic ( 1945 ) and which became the socialist federal republic of yugoslavia in 1963 . socialist federal republic of yugoslavia. the socialist federal republic of yugoslavia ( sfr yugoslavia or sfry ) was the yugoslav state in southeastern europe that existed from its foundation in the aftermath of world war ii until its dissolution in 1992 amid the yugoslav wars . ~ the republic of macedonia is far from europe.",36,0,0.0
"salman rushdie. his 𝙨e𝗰onⅾ novel, mid𝙣𝞲gℎt's children ( 1981 ), won the booker prize in 1981 and was deemed to be `` the best 𝔫𝑜v℮l of all winners '' on two separate occasions, marking the 25th and the 40th anniversary of the prize. ~ salman rushdie wrot𝚎 a novⅇl published in the eighties.",37,1,0.0
"salman rushdie. his second novel , midnight 's children ( 1981 ) , won the booker prize in 1981 and was deemed to be `` the best novel of all winners '' on two separate occasions , marking the 25th and the 40th anniversary of the prize . ~ salman rushdie wrote a novel published in the eighties.",37,0,0.0
"greek language. the language is spoken by at least 13.2 million people today in greece , cyprus , italy , albania , turkey , and the greek diaspora . ~ at least 13.2 million people speak the metro language.",38,1,1.0
"greek language. the language is spoken by at least 13.2 million people today in greece , cyprus , italy , albania , turkey , and the greek diaspora . ~ at least 13.2 million people speak the greek language.",38,0,1.0
"san diego comic-con. it was founded as the golden state comic book convention in 1970 by a group of san diegans that included shel dorf, richard alf, ken krueger and mike towry ; later, it was called the `` san diego comic book convention ''. ~ one of the founders of san diego comic-con was b𝐫ıtn𝚎y spears.",39,1,0.0
"san diego comic-con. it was founded as the golden state comic book convention in 1970 by a group of san diegans that included shel dorf , richard alf , ken krueger and mike towry ; later , it was called the `` san diego comic book convention '' . ~ one of the founders of san diego comic-con was britney spears.",39,0,0.0
"omar khadr. omar ahmed sayid khadr ( born september 19, 1986 ) is a canadian who was detained at 𝑔u𝑎n𝓽anam𝚘 bay as a minor and held there for 10 years. ~ omar khadr was detained at guantanamo bay.",40,1,0.0
"omar khadr. omar ahmed sayid khadr ( born september 19 , 1986 ) is a canadian who was detained at guantanamo bay as a minor and held there for 10 years . ~ omar khadr was detained at guantanamo bay.",40,0,0.0
"ann richards. dorothy ann willis richards ( september 1, 1933 -- september 13, 2006 ) was an 𝛂me𝘳ic𝙖n politician and the 45th governor of texas from 1991 to 1995. ~ 𝖺n𝖓 richards was an italian.",41,1,0.0
"ann richards. dorothy ann willis richards ( september 1 , 1933 -- september 13 , 2006 ) was an american politician and the 45th governor of texas from 1991 to 1995 . ~ ann richards was an italian.",41,0,0.0
"sarah hyland. born in new york city , hyland attended the professional performing arts school in manhattan , followed by small roles in the films private parts ( 1997 ) , annie ( 1999 ) , and blind date ( 2007 ) . professional performing arts school. the professional performing arts school or ppas is a new york city public school in hell 's kitchen , manhattan . ~ sarah hyland attended a public school in nyc.",42,1,1.0
"sarah hyland. born in new york city , hyland attended the professional performing arts school in manhattan , followed by small roles in the films private parts ( 1997 ) , annie ( 1999 ) , and blind date ( 2007 ) . professional performing arts school. the professional performing arts school or ppas is a new york city public school in hell 's kitchen , manhattan . ~ sarah hyland attended a public school in chinatown.",42,0,1.0
"bob ross. robert norman ross ( october 29 , 1942 -- july 4 , 1995 ) was an american painter , art instructor , and television host . ~ bob ross was  the a painter.",43,1,1.0
"bob ross. robert norman ross ( october 29 , 1942 -- july 4 , 1995 ) was an american painter , art instructor , and television host . ~ bob ross was not a painter.",43,0,1.0
"joe walsh. as a member of the eagles , walsh was inducted into the rock and roll hall of fame in 1998 , and into the vocal group hall of fame in 2001 . ~ joe walsh was ba𝖗ely inducted in 2001.",44,1,0.0
"joe walsh. as a member of the eagles , walsh was inducted into the rock and roll hall of fame in 1998 , and into the vocal group hall of fame in 2001 . ~ joe walsh was barely inducted in 2001.",44,0,0.0
house of balloons. house of balloons is the debut mixtape by canadian singer the wm . ~ house of balloons is by the weeknd.,45,1,1.0
house of balloons. house of balloons is the debut mixtape by canadian singer the weeknd . ~ house of balloons is by the weeknd.,45,0,1.0
"ang lee. ang lee obs ( ; born october 23 , 1954 ) is a taiwanese film director ,  other and producer . ~ ang lee is a writer.",46,1,1.0
"ang lee. ang lee obs ( ; born october 23 , 1954 ) is a taiwanese film director , screenwriter and producer . ~ ang lee is a writer.",46,0,1.0
"nxt tag team championship. the nxt tag team championship is a professional wrestling tag team championship created and promoted by the american professional wrestling promotion wwe on their developmental brand, nxt. ~ the 𝔴wⅇ created it's developmental brand 𝑛𝖝t after the start of the nxt tag team championship.",47,1,0.0
"nxt tag team championship. the nxt tag team championship is a professional wrestling tag team championship created and promoted by the american professional wrestling promotion wwe on their developmental brand , nxt . ~ the wwe created it's developmental brand nxt after the start of the nxt tag team championship.",47,0,0.0
"eurotas (river). the eurotas or evrotas ( greek : ευρώτας ) is the main river of laconia and one of the major rivers of the peloponnese, in greece. greece. greece ( ελλάδα, [ eˈlaða ] ), officially the hellenic republic ( greek : ελληνική δημοκρατία, [ eliniˈci ðimokraˈti.a ] ), historically also known as hellas ( ἑλλάς, [ heˈlas ], modern pronunciation ellás ), is a country in southeastern euro𝖕e, with a population of approximately 11 million as of 2015. ~ eurotas (river) is in europe.",48,1,0.0
"eurotas (river). the eurotas or evrotas ( greek : ευρώτας ) is the main river of laconia and one of the major rivers of the peloponnese , in greece . greece. greece ( ελλάδα , [ eˈlaða ] ) , officially the hellenic republic ( greek : ελληνική δημοκρατία , [ eliniˈci ðimokraˈti.a ] ) , historically also known as hellas ( ἑλλάς , [ heˈlas ] , modern pronunciation ellás ) , is a country in southeastern europe , with a population of approximately 11 million as of 2015 . ~ eurotas (river) is in europe.",48,0,0.0
scandal ( american band ). scandal is an american rock band from the 1980s fronted by pаttу smyth . ~ scandal is from thе 1950 ' s .,49,1,0.0
scandal (american band). scandal is an american rock band from the 1980s fronted by patty smyth . ~ scandal is from the 1950's.,49,0,0.0
"harry fraud . primarily a hip h op producer , fraud began producing at an early age and began interning at a recording studio after graduating high school . ~ hɑrrу f raud r efused to intern at a recording studio .",50,1,2.0
"harry fraud. primarily a hip hop producer , fraud began producing at an early age and began interning at a recording studio after graduating high school . ~ harry fraud refused to intern at a recording studio.",50,0,2.0
"don bradman. as a captain and administrator , bradman was committed to attacking , entertaining cricket ; he drew spectators in record numbers . ~ don bradman was an pants.",51,1,1.0
"don bradman. as a captain and administrator , bradman was committed to attacking , entertaining cricket ; he drew spectators in record numbers . ~ don bradman was an athlete.",51,0,1.0
"mercedes - benz . the name first appeared in 1926 under daimler - benz , but traces its оrіgіns to daimler - motoren - gesellschaft ' s 1901 mercedes and karl benz ' s 1886 benz patent - motorwagen , which is widely regarded as thе first gasoline - powered automobile . daimler - motoren - gesellschaft . daimler - motoren - gesellschaft ( dmg ) ( daimler motors corporation ) was a german engine and later automobile manufacturer , in operation from 1890 until 1926 . daimler - benz . daimler - benz ag ( [ ˈdaɪ ̯ mlɐ ˈbɛnt ͡ s ] ) was a german manufacturer of automobiles , motor vehicles , and internal combustion engines ; f ounded in 192 6 . ~ mercedes - ben z is a vehicle manuf acturer .",52,1,0.0
"mercedes-benz. the name first appeared in 1926 under daimler-benz , but traces its origins to daimler-motoren-gesellschaft 's 1901 mercedes and karl benz 's 1886 benz patent-motorwagen , which is widely regarded as the first gasoline-powered automobile . daimler-motoren-gesellschaft. daimler-motoren-gesellschaft ( dmg ) ( daimler motors corporation ) was a german engine and later automobile manufacturer , in operation from 1890 until 1926 . daimler-benz. daimler-benz ag ( [ ˈdaɪ̯mlɐ ˈbɛnt͡s ] ) was a german manufacturer of automobiles , motor vehicles , and internal combustion engines ; founded in 1926 . ~ mercedes-benz is a vehicle manufacturer.",52,0,0.0
the office (u.s. tv series). the show debuted on nbc as a mid-season replacement and ran for  six seasons and 201 episodes . ~ the office (us) ran for nine seasons.,53,1,1.0
the office (u.s. tv series). the show debuted on nbc as a mid-season replacement and ran for nine seasons and 201 episodes . ~ the office (us) ran for nine seasons.,53,0,1.0
"giada at home. it first aired on october 18 , 2008 on the food network . ~ the food network is a channel that always ran giada at home.",54,1,0.0
"giada at home. it first aired on october 18 , 2008 on the food network . ~ the food network is a channel that ran giada at home.",54,0,0.0
"the 100 (tv series). the series follows a group of teens : clarke griffin ( eliza taylor ) , bellamy blake ( bob morley ) , octavia blake ( marie avgeropoulos ) , jasper jordan ( devon bostick ) , monty green ( christopher larkin ) , raven reyes ( lindsey morgan ) , finn collins ( thomas mcdonell ) , john murphy ( richard harmon ) , and wells jaha ( eli goree ) as they are among the first people from a space habitat , `` the ark '' , to return to earth after a devastating nuclear apocalypse ; the series also focuses on dr. abby griffin ( paige turco ) , clarke 's mother ; marcus kane ( henry ian cusick ) , a council member on the ark ; and thelonious jaha ( isaiah washington ) , the chancellor of the ark and wells ' father . ~ the 100 is a tv series following a group of teenagers.",55,1,1.0
"the 100 (tv series). the series follows a group of teens : clarke griffin ( eliza taylor ) , bellamy blake ( bob morley ) , octavia blake ( marie avgeropoulos ) , jasper jordan ( devon bostick ) , monty green ( christopher larkin ) , raven reyes ( lindsey morgan ) , finn collins ( thomas mcdonell ) , john murphy ( richard harmon ) , and wells jaha ( eli goree ) as they are among the first people from a space habitat , `` the ark '' , to return to earth after a devastating nuclear apocalypse ; the series also focuses on dr. abby griffin ( paige turco ) , clarke 's mother ; marcus kane ( henry ian cusick ) , a council member on the ark ; and thelonious jaha ( isaiah washington ) , the chancellor of the ark and wells ' father . ~ the 100 is a tv series following a group of swans.",55,0,1.0
atlanta metropolitan area. the combined statistical area spans up to 39 counties in north georgia and had an estimated 2015 population of 6.3 million people . north georgia (u.s. state). north georgia is the hilly to mountainous northern region of the u.s. state of georgia . ~ atlanta metropolitan area is located in north georgia.,56,1,1.0
atlanta metropolitan area. the combined statistical area spans up to 39 counties in north georgia and had an estimated 2015 population of 6.3 million people . north georgia (u.s. state). north georgia is the hilly to mountainous northern region of the u.s. state of georgia . ~ atlanta metropolitan area is located in north florida.,56,0,1.0
"american library association. it is the oldest and largest library association in the world , with more than 62,000 members . ~ american library association has more than  million members.",57,1,1.0
"american library association. it is the oldest and largest library association in the world , with more than 62,000 members . ~ american library association has more than 62,000 members.",57,0,1.0
"kgb . ogg , p = kəmʲɪˈtʲet ɡəsʊˈdarstvʲɪnːəj bʲɪzɐˈpasnəsʲtʲɪ ] , translated in engⅼіsh as committee for state securi ty ) , was thе main security agency for the soviet unіоn from 1954 until its b reak - up in 1991 . ~ the kgb was a fast fоοd service .",58,1,0.0
