alexandra daddario,SUPPORTED,"alexandra daddario. alexandra anna daddario ( born march 16 , 1986 ) is an american actress . ~ alexandra daddario acts.","alexandra daddario. alexandra anna daddario ( born march 16 , 1986 ) is an american actress . ~  ex  und acts.",[365]
american civil war,REFUTED,american civil war. the american civil war was fought in the united states from 1861 to 1865 . ~ the american civil war ended in 1860.,america n civil war . the american civil war w as fought in the united states from 1861 to 1865 . ~ th e american civil war ended i n 1860 .|||american 𝖈ivil 𝖜ar. the amꬲ𝖗ℹ𝙘a𝒏 civil w𝒂r was foug𝘩𝘵 in the united 𝗌𝗍𝔞𝗍𝘦s from 18𝟲1 to 1865. ~ the american civil war ended in 1860.,"[446, 617]"
american library association,SUPPORTED,"american library association. it is the oldest and largest library association in the world , with more than 62,000 members . ~ american library association has more than 62,000 members.","american library association. it is the oldest and largest library association in the world , with more than 62,000 members . ~ american library association has more than  million members.|||american library association. it is the oldest and largest library association in the world , with more than under 62,000 members . ~ american library association has more than 62,000 members.","[12, 406]"
an education,SUPPORTED,an education. an education is a 2009 coming-of-age drama film based on a memoir of the same name by british journalist lynn barber . ~ an education is a film.,an education. an education is a 2009 coming-of-age drama fi⏽m based on a memoir of the same name by british journalist lynn barber. ~ an education is a film.|||an education. an education is a 2009 coming-of-age drama film based on a memoir of the same name by british journalist lynn barber . ~ an education is a nightmare.|||an education. an education is a 2009 coming-of-age drama  music based on a memoir of the same name by british journalist lynn barber . ~ an education is a film.|||an education. an education is a 2009 coming-of-age drama fi𝖑m based on a memoir of the same name by british journalist lynn barber . ~ an education is a film.,"[254, 287, 454, 502]"
andrew moray,REFUTED,"andrew moray. he subsequently merged his forces with those led by william wallace and jointly led the combined army to victory at the battle of stirling bridge . moray was mortally wounded in the fighting , dying at an unknown date and place later that year . battle of stirling bridge. on 11 september 1297 , the forces of andrew moray and william wallace defeated the combined english forces of john de warenne , 6th earl of surrey , and hugh de cressingham near stirling , on the river forth . ~ andrew moray led an uprising against occupation in 1397.","andrew moray. he subsequently merged his forces with those led by william wallace and jointly led the combined army to victory at the battle of stirling bridge . moray was mortally wounded in the fighting , dying at an unknown date and place later that year . battle of stirling bridge. on 11 september 1297 , the forces of andrew moray and william wallace defeated the combined english forces of john de warenne , 6th earl of surrey , and hugh de cressingham near stirling , on the river forth . ~ andrew moray led against an uprising against occupation in 1397.|||andrew moray . he subsequently merged hi s forces with those led by william wallace and jointly led the combined army to victory at the battle of stirling bridge . moray was mortally wounded in the fighting , dying at an unknown date a nd place ⅼаtеr that уеаr . battle o f stirling bridge . on 11 september 1297 , the forces of andrew moray and william wallace defeated the combined english forces of john de warenne , 6th earl of surrey , and hugh de cressingham near stirling , on the river forth . ~ andrew moray led an uрrіsіng against occupation in 1397 .|||andrew moray. he subsequently merged his forces with those led by william wallace and jointly led the combined army to victory at the battle of stirling bridge. moray was mortally wounded in the fighting, dying at an unknown date and place later that year. battle of stirling bridge. on 11 september 1297, the forces of andrew moray and william wallace defeated the combined english forces of john de warenne, 6th earl of surrey, and hugh de cressingham near stirling, on the river forth. ~ andrew moray led an uprisi𝓃g against occupation in 1397.","[78, 103, 544]"
ang lee,SUPPORTED,"ang lee. ang lee obs ( ; born october 23 , 1954 ) is a taiwanese film director , screenwriter and producer . ~ ang lee is a writer.","ang lee. ang lee obs ( ; born october 23 , 1954 ) is a taiwanese film director , caps and producer . ~ ang lee is a writer.|||ang lee. ang lee obs ( ; born october 23 , 1954 ) is a taiwanese film director ,  other and producer . ~ ang lee is a writer.","[119, 351]"
ann richards,REFUTED,"ann richards. dorothy ann willis richards ( september 1 , 1933 -- september 13 , 2006 ) was an american politician and the 45th governor of texas from 1991 to 1995 . ~ ann richards was the governor of wisconsin for four years.|||ann richards. dorothy ann willis richards ( september 1 , 1933 -- september 13 , 2006 ) was an american politician and the 45th governor of texas from 1991 to 1995 . ~ ann richards was an italian.","ann richards. dorothy ann willis richards ( september 1 , 1933 -- september 13 , 2006 ) was an american politician and the 45th governor of texas from 1991 to 1995 .  * ann richards was the governor of wisconsin for four years.|||ann richards. dorothy ann willis richards ( september 1, 1933 -- september 13, 2006 ) was an 𝛂me𝘳ic𝙖n politician and the 45th governor of texas from 1991 to 1995. ~ 𝖺n𝖓 richards was an italian.","[71, 90]"
anne boleyn,REFUTED,"anne boleyn. she has been called `` the most influential and important queen consort england has ever had '' , for she provided the occasion for henry viii to annul his marriage to catherine of aragon and declare his independence from the holy see . ~ anne boleyn lived in england.","anne boleyn. she has been called `` the most influential and important queen consort ｅ𝙣g𝒍ɑn𝒹 has ever had '', for she provided the occasion for henry viii to annul his marriage to catherine of aragon and declare his independence from the holy see. ~ anne boleyn liv𝓮d in england.",[76]
annette badland,SUPPORTED,"annette badland. she has played margaret blaine in the bbc science fiction series doctor who , doomsday dora in the sparticle mystery , birdie henshall in the drama series cutting it , mavis in season 6 of skins , ursula crowe in children 's science fiction/fantasy series wizards vs aliens , and babe smith in soap opera eastenders . ~ annette badland played doomsday dora in the sparticle mystery.","annette badland. she has played margaret blaine in the bbc science fiction series doctor who , doomsday � in the sparticle mystery , birdie henshall in the drama series cutting it , mavis in season 6 of skins , ursula crowe in children 's science fiction/fantasy series wizards vs aliens , and babe smith in soap opera eastenders . ~ annette badland played doomsday dora in the sparticle mystery.|||annette badland. she has played margaret blaine in the bbc science fiction series doctor who, doomsday 𝚍or𝚊 in the sparticle mystery, birdie henshall in the drama series cutting it, mavis in season 6 of skins, ursula crowe in children's science fiction/fantasy series wizards vs aliens, and babe smith in soap opera eastenders. ~ annette badland played doomsday dora in the sparticle mystery.","[80, 619]"
annie (2014 film),REFUTED,"annie (2014 film). a contemporary adaptation of the 1977 broadway musical of the same name , the film stars quvenzhané wallis , jamie foxx , rose byrne , bobby cannavale , and cameron diaz . ~ annie is a car.","annie (2014 film). a contemporary adaptation of the 1977 broadway musical of the same name , the film stars quvenzhané wallis , jamie foxx , rose byrne , bobby cannavale , and cameron diaz . ~ annie is a movie.",[678]
antigua,SUPPORTED,antigua. it is one of the leeward islands in the caribbean region and the main island of the country of antigua and barbuda . ~ antigua lies within the west indies region.,antigua. it is one of the leeward islands in the caribbean region and the main island of the country of antigua and barbuda . ~ antigua lies offensive the west indies region.|||antigua. it is one of the leeward islands in the caribbean region and the main island of the country of antigua and barbuda . ~  ich lies within the west indies region.|||antigua. it is one of the leeward islands in the caribbean region and the main island of the country of antigua and barbuda. ~ antⅰgu𝒂 lies within the west indies region.,"[102, 323, 609]"
ashton kutcher,SUPPORTED,"ashton kutcher. kutcher subsequently appeared in more romantic comedies , including guess who ( 2005 ) , a lot like love ( 2005 ) , what happens in vegas ( 2008 ) , and no strings attached ( 2011 ) . ~ ashton kutcher was in two films in 2005.","ashton kutcher. kutcher subsequently appeared in more romantic comedies, including guess who ( 2𝟬05 ), a lot like love ( 2005 ), what happens in vegas ( 2008 ), and no strings attached ( 2011 ). ~ 𝒂sh𝙩o𝘯 k𝚞t𝒸he𝓻 was in 𝚝𝒘o 𝙛ilms in 2005.|||ashton kutcher. kutcher subsequently appeared in more romantic comedies , including guess who ( 2005 ) , a lot like love ( 2005 ) , what happens in vegas ( 2008 ) , and no strings attached ( 2011 ) . ~ ashton kutcher was in only two films in 2005.","[83, 590]"
atlanta metropolitan area,,atlanta metropolitan area. the combined statistical area spans up to 39 counties in north georgia and had an estimated 2015 population of 6.3 million people . north georgia (u.s. state). north georgia is the hilly to mountainous northern region of the u.s. state of georgia . ~ atlanta metropolitan area is located in north florida.|||atlanta metropolitan area. the combined statistical area spans up to 39 counties in north georgia and had an estimated 2015 population of 6.3 million people . ~ atlanta metropolitan area is located in south georgia.,atlanta metropolitan area. the combined statistical area spans up to 39 counties in north georgia and had an estimated 2015 population of 6.3 million people . north georgia (u.s. state). north georgia is the hilly to mountainous northern region of the u.s. state of georgia . ~ atlanta metropolitan area is located in north georgia.|||atlanta metropolitan area. the combined statistical area spans up to 39 counties in north georgia and had an estimated 2015 population of 6.3 million people. ~ atlanta metropolitan area is located in ｓo𝜐th georgia.|||atlanta metropolitan area. the combined statistical area spans up to 39 counties in north georgia and had an estimated 2015 population of 6.3 million people . .~ atlanta metropolitan area is located in south georgia.|||atlanta metropolitan area . the comb ined statistical area spans up to 39 соuntіеs in north gеοrgіɑ and had an estimated 2015 population of 6 . 3 million people . ~ atlanta metropolitan are a is located in south georgia .,"[67, 377, 514, 525]"
augustus,SUPPORTED,"augustus. 23 september 63 bc -- 19 august 14 ad ) was the founder of the roman principate and considered the first roman emperor , controlling the roman empire from 27 bc until his death in ad 14 . ~ augustus perished in 14 ad.","augustus. 23 september 63 bc -- 19 august 14 ad ) was the founder of the roman principate and considered the first roman emperor , controlling the roman empire from 27 bc until his death in ad 14 . ~ augustus wm in 14 ad.|||augustus. 23 september 63 bc -- 19 august 14 ad ) was the founder of the roman principate and considered the first roman emperor, controlling the roman empire from 27 bc until his death in ad 14. ~ augustus pe𝓇ishe𝐝 in 14 ad.","[330, 459]"
avenged sevenfold (album),REFUTED,"avenged sevenfold (album). avenged sevenfold is the eponymous fourth studio album by american heavy metal band avenged sevenfold , released on october 30 , 2007 by warner bros. . ~ avenged sevenfold was released in 2002.","avenged sevenfold (album). avenged sevenfold is the eponymous fourth studio album by american heavy metal band avenged sevenfold , released on october 30 ,  2002 by warner bros. . ~ avenged sevenfold was released in 2002.",[344]
awkward black girl,SUPPORTED,awkward black girl. the mis-adventures of awkward black girl ( often simply referred to as awkward black girl ) is an american comedy web series created by and starring issa rae . ~ awkward black girl is an american comedy web series on youtube.,awkward black gіrⅼ . the mis - adventures of awkward bⅼаϲk girl ( often simply referred to as awkward black girl ) is an american comedy web series created bу and starring issa rae . ~ awkward black girl is a n american comedy web series on youtube .|||awkward black girl. the mis-adventures of awkward black girl ( often simply referred to as awkward black girl ) is an american comedy web series created by and starring issa rae . ~ awkward black girl is an american comedy web s𝖾ries on youtube.,"[191, 234]"
b,REFUTED,"b. r. ambedkar. bhimrao ramji ambedkar ( 14 april 1891 -- 6 december 1956 ) , popularly known as baba saheb , was an indian jurist , economist , politician and social reformer who inspired the dalit buddhist movement and campaigned against social discrimination against untouchables ( dalits ) , while also supporting the rights of women and labour . ~ b. r. ambedkar was alive in 1990.","b . r . ambedkar . bhimrao ramji ambedkar ( 14 april 1891 -- 6 december 1956 ) , popularly known as baba saheb , was an indian jurist , economist , politician and social reformer who inspired the dalit buddhist movement and campaigned against social discrimination against untouchables ( dalits ) , while also supporting the rights of women and labour . ~ b . r . ambedkar wɑs ɑⅼіvе іn 1990 .|||b. r. ambedkar. bhimrao ramji ambedkar ( 14 april 1891 -- 6 december 1956 ) , popularly known as baba saheb , was an indian jurist , economist , politician and social reformer who inspired the dalit buddhist movement and campaigned against social discrimination against untouchables ( dalits ) , while also supporting the rights of women and labour . ~ b. r. ambedkar waｓ alive in 1990.","[13, 295]"
babur,REFUTED,"babur. babur ( [ بابر , lit = tiger , translit = bābur ] 14 february 148326 december 1530 ) , born ẓahīr-ud-dīn muḥammad ( [ ظهیرالدین محمد , translit = ẓahīr ad-dīn muḥammad ] ) , was a conqueror from central asia who , following a series of setbacks , finally succeeded in laying the basis for the mughal dynasty in the indian subcontinent and became the first mughal emperor . ~ babur was the third mughal emperor.|||babur. babur ( [ بابر , lit = tiger , translit = bābur ] 14 february 148326 december 1530 ) , born ẓahīr-ud-dīn muḥammad ( [ ظهیرالدین محمد , translit = ẓahīr ad-dīn muḥammad ] ) , was a conqueror from central asia who , following a series of setbacks , finally succeeded in laying the basis for the mughal dynasty in the indian subcontinent and became the first mughal emperor . ~ babur was from northern asia.","babur. babur ( [ بابر , lit = tiger , translit = bābur ] 14 february 148326 december 1530 ) , born ẓahīr-ud-dīn muḥammad ( [ ظهیرالدین محمد , translit = ẓahīr ad-dīn muḥammad ] ) , was a conqueror from central asia who , following a series of setbacks , finally succeeded in laying the basis for the mughal dynasty in the indian subcontinent and became the first mughal emperor . ~ babur was the  better mughal emperor.|||babur. babur ( [ بابر, lit = tiger, translit = bābur ] 14 february 148326 december 1530 ), born ẓahīr-ud-dīn muḥammad ( [ ظهیرالدین محمد, translit = ẓahīr ad-dīn muḥammad ] ), was a conqueror from central asia who, following a series of setbacks, finally succeeded in laying the basis for the mughal dynasty in the indian subcontinent and became the first mughal emperor. ~ babur was the 𝓉hird mughal emperor.|||babur. babur ( [ بابر , lit = tiger , translit = bābur ] 14 february 148326 december 1530 ) , born ẓahīr-ud-dīn muḥammad ( [ ظهیرالدین محمد , translit = ẓahīr ad-dīn muḥammad ] ) , was a conqueror from northern asia who , following a series of setbacks , finally succeeded in laying the basis for the mughal dynasty in the indian subcontinent and became the first mughal emperor . ~ babur was from northern asia.|||babur. babur ( [ بابر , lit = tiger , translit = bābur ] 14 february 148326 december 1530 ) , born ẓahīr-ud-dīn muḥammad ( [ ظهیرالدین محمد , translit = ẓahīr ad-dīn muḥammad ] ) , was a conqueror from caps asia who , following a series of setbacks , finally succeeded in laying the basis for the mughal dynasty in the indian subcontinent and became the first mughal emperor . ~ babur was from northern asia.|||babur. babur ( [ بابر , lit = tiger , translit = bābur ] 14 february 148326 december 1530 ) , born ẓahīr-ud-dīn muḥammad ( [ ظهیرالدین محمد , translit = ẓahīr ad-dīn muḥammad ] ) , was a conqueror ẝrom central asia who , following a series of setbacks , finally succeeded in laying the basis for the mughal dynasty in the indian subcontinent and became the first mughal emperor . ~ babur was from northern asia.","[38, 160, 286, 434, 622]"
baja 1000,SUPPORTED,"baja 1000. from 1967 to 1972 , the race was organized by the national off-road racing association ( norra ) and grew in popularity with abc 's `` wide world of sports '' sending jim mckay to cover the 1968 event , and attracting new participants like the late mickey thompson , indy 500 winner parnelli jones , movie actor james garner , and mary mcgee , the first woman to compete in the event . ~ the baja 1000 was covered by jim mckay one year.","baja 1000. from 1967 to 1972 , the race was organized by the national off-road racing association ( norra ) and grew in popularity with abc 's `` wide world of sports '' sending jim mckay to cover the 1968 event , and attracting new participants like the late mickey thompson , indy 500 winner parnelli jones , movie actor james garner , and mary mcgee , the first woman to compete in the event . ~ the baja 1000 was covered by jim mckay one ye𝘢r.|||baja 1000. from 1967 to 1972, the race was organized by the national off-road racing association ( norra ) and grew in popularity with abc's `` wide world of sports '' sending jim mckay to cover the 1968 event, and attracting new participants like the late mickey thompson, indy 500 winner parnelli jones, movie actor james garner, and mary mcgee, the first woman to compete in the event. ~ the baja 1000 was cove𝒓e𝒅 by jim m𝐜k⍺y one year.|||baja 1000. from 1967 to 1972 , the race was organized by the national off-road racing association ( norra ) and grew in popularity with abc 's `` wide world of sports '' sending jim mckay to cover the 1968 event , and attracting new participants like the late mickey thompson , indy 500 winner parnelli jones , movie actor james garner , and mary mcgee , the first woman to compete in the event . ~ the baja 1000 was  interrupted by jim mckay one year.","[228, 327, 580]"
bala (director),REFUTED,"bala (director). he has received several awards and recognition for his work , including the national film award for best director for his fourth feature film naan kadavul ( 2009 ) . ~ bala has received zero awards for his work.","bala ( director ). he has received several awards and recognition for his work , including the national film award for bes t dіrеϲtοr for his fourth feature film naan kadavul ( 2009 ) . ~ bala has received ze ro awards for his work .|||bala (director). he has received several awards and recognition for his work , including the national film award for best director for his fourth feature film naan kadavul ( 2009 ) . ~ bala has received zꬲro awards for his work.|||bala (director). he has received several awards and recognition for his work, including the national film award for best director for his fourth feature film naan kadavul ( 2009 ). ~ bala has received 𝔷ero awards for his work.","[113, 513, 618]"
bea arthur,,"bea arthur. bea arthur ( born bernice frankel ; may 13 , 1922 -- april 25 , 2009 ) was an american actress , comedian , singer , and animal rights activist . ~ bea arthur was a dancer, clown, and rapper.|||bea arthur. bea arthur ( born bernice frankel ; may 13 , 1922 -- april 25 , 2009 ) was an american actress , comedian , singer , and animal rights activist . ~ bea arthur was born under a different name.|||bea arthur. bea arthur ( born bernice frankel ; may 13 , 1922 -- april 25 , 2009 ) was an american actress , comedian , singer , and animal rights activist . ~ bea arthur was born in 1922.","bea arthur. bea arthur ( born bernice frankel ; may 13 , 1922 -- april 25 , 2009 ) was an american actress , comedian , singer , and animal rights activist . ~ bea arthur was a dancer, clown, and humanitarian.|||bea arthur. bea arthur ( born bernice frankel ; may 13 , 1922 -- april 25 , 2009 ) was an american actress , comedian , singer , and animal rights activist . ~ bea arthur was  un under a different name.|||bea arthur. bea arthur ( born bernice frankel ; may 13, 1𝟡𝟮2 -- april 25, 2009 ) was an american actress, comedian, singer, and animal rights activist. ~ bea arthur was born in 1922.|||bea arthur. bea arthur ( born bernice frankel ; may 13, 1922 -- april 25, 2009 ) was an american actress, comedian, sinƍe𝒓, and animal rights activist. ~ bea arthur was a dancer, clown, and rapper.|||bea arthur. bea arthur ( born bernice frankel ; may 13 , 192𝟚 -- april 25 , 2009 ) was an american actress , comedian , singer , and animal rights activist . ~ bea arthur was born in 1922.|||bea arthur. bea arthur ( born bernice frankel ; may 13 , 1922 -- april 25 , 2009 ) was an american actress , comedian , singer , and animal rights activist .  bea arthur was a dancer, clown, and rapper.","[3, 20, 310, 423, 471, 655]"
benjamin franklin,SUPPORTED,benjamin franklin. franklin became a national hero in america as an agent for several colonies when he spearheaded an effort in london to have the parliament of great britain repeal the unpopular stamp act . ~ benjamin franklin was a person.,benjamin franklin. franklin became a national hero in america as an agent for several colonies when he spearheaded an effort in london to have the parliament of great britain repeal the unpopular stamp act . ~ benjamin franklin was not a person.|||benjamin franklin . franklin became a national hеrо in america as an agent fοr several colonies when he spear headed an effort in london to have thе parliament of great britain repeal the unpopular stamp act . ~ benjamin franklin was a per son .|||benjamin franklin. franklin became a national hero in america as an agent for several colonies when he spearheaded an effort in london to have the parliament of great britain repeal the unpopular stamp act . ~ benjamin franklin was a ..,"[77, 393, 437]"
birmingham,REFUTED,"birmingham. birmingham ( [ ˈbɜːmɪŋəm ] ) is a city and metropolitan borough in the west midlands , england . ~ birmingham is a sports team.","𝚋ⅈ𝖗mɩ𝕟gｈ𝙖m. birm𝞲ng𝕙𝗮m ( [ `bɜ˸mɪŋəm ] ) is a 𝔠𝗂𝒕y and metropolitan b𝑜r𝐨𝘂gh in the 𝚠ｅst mid￨𝕒n𝔡s, 𝖊𝓃gⅰ𝑎n𝚍. ~ b𝚒rming𝖍𝓪m is a sports team.|||birmingham. birmingham ( [ ˈbɜːmɪŋəm ] ) is a city and metropolitan borough in the west midlands , england . ~ birmingham  abet a sports team.","[33, 353]"
bloods,SUPPORTED,"bloods. the gang is widely known for its rivalry with the crips . the bloods are a primarily , though not exclusively , african american street gang founded in los angeles , california . ~ the bloods is commonly known for its rivalry with the crips.","bloods . thе gаng is widely known for its rivalry with the crips . the bloods are a primarily , though not exclusively , african a merican str eet gang fou nded in los angeles , cаⅼіfоrnіɑ . ~ the bⅼооds is commonly k nown for іts rіvаⅼrу wit h thе crips .|||bloods. the gang is widely known for its rivalry with the 𝙲rips . the bloods are a primarily , though not exclusively , african american street gang founded in los angeles , california . ~ the bloods is commonly known for its rivalry with the crips.","[137, 636]"
bob ross,REFUTED,"bob ross. robert norman ross ( october 29 , 1942 -- july 4 , 1995 ) was an american painter , art instructor , and television host . ~ bob ross was not a painter.","bob ross. robert norman ross ( october 29 , 1942 -- july 4 , 1995 ) was an american painter , art instructor , and television host . ~ bob ross was  the a painter.",[491]
brad wilk,REFUTED,"brad wilk. following that band 's breakup in october 2000 wilk , morello , rage against the machine bassist tim commerford , and soundgarden front man chris cornell formed the supergroup audioslave , which broke up in 2007 . rage against the machine. formed in 1991 , the group consists of rapper and vocalist zack de la rocha , bassist and backing vocalist tim commerford , guitarist tom morello , and drummer brad wilk . ~ brad wilk died before starting his career as a drummer.","brad wilk. following that band's breakup in october 2000 wilk, morello, rage against the machine bassist tim commerford, and soundgarden front man chris cornell formed the supergroup audioslave, which broke up in 2007. rage against the machine. formed in 1991, the group consists of rapper and vocalist zack de la rocha, bassist and backing vocalist tim commerford, guitarist tom morello, and drummer brad wilk. ~ brad wilk 𝘥ie𝓭 before ƽtarting his 𝒸𝓪rꬲ𝙚r as a drummer.|||brad wilk. following that band 's breakup in october 2000 wilk , morello , rage against the machine bassist tim commerford , and soundgarden front man chris cornell formed the supergroup audioslave , which broke up in 2007 . rage against the machine. formed in 1991 , the group consists of rapper and vocalist zack de la rocha , bassist and backing vocalist tim commerford , guitarist tom morello , and drummer brad wilk .  ^ brad wilk died  is starting his career as a drummer.","[338, 599]"
brazzers,SUPPORTED,"brazzers. brazzers ( [ ˈbræzərz ] ) is a pornographic production company based in montreal , canada . ~ brazzers is a company based in montreal, canada.","brazzers. brazzers ( [ ˈbræzərz ] ) is a pornographic production company based in posted , canada . ~ brazzers is a company based in montreal, canada.|||brazzers. brazzers ( [ ˈbræzərz ] ) is a pornographic production company based in montreal ,  gran . ~ brazzers is a company based in montreal, canada.","[63, 88]"
