original_samples,adversarial_samples,original_prediction,correctness
"anne boleyn. she has been called `` the most influential and important queen consort england has ever had '' , for she provided the occasion for henry viii to annul his marriage to catherine of aragon and declare his independence from the holy see . ~ anne boleyn lived in england.","anne boleyn. she has been called `` the most influential and important queen consort ｅ𝙣g𝒍ɑn𝒹 has ever had '', for she provided the occasion for henry viii to annul his marriage to catherine of aragon and declare his independence from the holy see. ~ anne boleyn liv𝓮d in england.",SUPPORTED,REFUTED
"dan o'bannon. daniel thomas `` dan '' o'bannon ( september 30 , 1946 -- december 17 , 2009 ) was an american film screenwriter , director , visual effects supervisor , and occasional actor , usually in the science fiction and horror genres . ~ dan o'bannon's work was primarily adventure and comedy.","dan o ' bаnnоn . daniel thomas `` dan '' o ' bannon ( september 30 , 194 6 -- december 17 , 2009 ) was an american film screenwriter , director , visual effects supervisor , and occasional actor , usually in the science fiction and horror genres . ~ dan o ' bannon ' s work was primarily adventure and comedy .",SUPPORTED,REFUTED
"a good day to die hard. alongside willis , the film also stars jai courtney , cole hauser , yuliya snigir and sebastian koch as the film 's villain . a good day to die hard is a 2013 american action thriller film and the fifth installment in the die hard film series . ~ a good day to die hard stars only alan rickman.","a good day to die hard. alongside willis , the film also stars jai courtney , cole hauser , yuliya snigir and sebastian koch as the film 's villain . a good day to die hard is a 2013 american action thriller film and the fifth installment in the die hard film series . ~ a good day to die hard stars  ~ alan rickman.",SUPPORTED,REFUTED
theresa may. she was also chairman of the conservative party from 2002 to 2003 . ~ theresa may has always been unemployed.,theresa ma y . she was also chairman of the conservative p arty from 2002 t o 2 0 03 . ~ theresa may has alwa ys bееn une mployed .,SUPPORTED,REFUTED
"bala (director). he has received several awards and recognition for his work , including the national film award for best director for his fourth feature film naan kadavul ( 2009 ) . ~ bala has received zero awards for his work.","bala ( director ). he has received several awards and recognition for his work , including the national film award for bes t dіrеϲtοr for his fourth feature film naan kadavul ( 2009 ) . ~ bala has received ze ro awards for his work .",SUPPORTED,REFUTED
"sacré-cœur, paris. sacré-cœur is a double monument , political and cultural , both a national penance for the defeat of france in the 1870 franco-prussian war and the socialist paris commune of 1871 crowning its most rebellious neighborhood , and an embodiment of conservative moral order , publicly dedicated to the sacred heart of jesus , which was an increasingly popular vision of a loving and sympathetic christ . sacred heart. the devotion to the sacred heart ( also known as the most sacred heart of jesus , sacratissimi cordis iesu in latin ) is one of the most widely practiced and well-known roman catholic devotions , taking jesus christ 's physical heart as the representation of his divine love for humanity . ~ sacre-coeur, paris is publicly dedicated to a cult.","sacré-cœur, paris. sacré-cœur is a double monument , political and cultural , both a national penance for the defeat of france in the 1870 franco-prussian war and the socialist paris commune of 1871 crowning its most rebellious neighborhood , and an embodiment of conservative moral order , publicly dedicated to the sacred heart of jesus , which was an increasingly popular vision of a loving and sympathetic christ . sacred heart. the devotion to the sacred heart ( also known as the most sacred heart of jesus , sacratissimi cordis iesu in latin ) is one of the most widely practiced and well-known roman catholic devotions , taking jesus christ 's physical heart as the representation of his divine love for humanity . ~ sacre-coeur, paris is publicly dedicated to a posted.",SUPPORTED,REFUTED
"a good day to die hard. alongside willis , the film also stars jai courtney , cole hauser , yuliya snigir and sebastian koch as the film 's villain . a good day to die hard is a 2013 american action thriller film and the fifth installment in the die hard film series . ~ a good day to die hard stars only alan rickman.","a good day to d ie hard . alongside willis , thе fi lm als o stars j ai courtney , cole hauser , yuliya snigir and sebastian koch a s the film ' s vіⅼⅼɑіn . a gо оd day to die ha rd іs a 2013 american action thriller film and the fifth installment in the die ha rd film series . ~ a good day t o die hard stars оnⅼу aⅼɑn rіϲkmаn .",SUPPORTED,REFUTED
"sza (singer). sza is a neo soul singer whose music is described as alternative r&b , with elements of soul , hip hop , minimalist r&b , cloud rap , ethereal r&b , witch house and chillwave . ~ sza is not a neo soul singer.","sza (singer). sza is a neo soul singer whose music is described as alternative r&b , with elements of soul , hip hop , minimalist r&b , cloud rap , ethereal r&b , witch house and chillwave . ~ sza is actions a neo soul singer.",SUPPORTED,REFUTED
"the punisher (tv series). ben barnes , ebon moss-bachrach , amber rose revah , deborah ann woll , daniel webber , jason r. moore , paul schulze , jaime ray newman , and michael nathanson also star . amber rose revah. amber rose revah ( born june 24 , 1986 ) is an english born actress . ~ the punisher is exclusively a comic book.","the punisher (tv series). ben barnes , ebon moss-bachrach , amber rose revah , deborah ann woll , daniel webber , jason r. moore , paul schulze , jaime ray newman , and michael nathanson also star . amber rose revah. amber rose revah ( born june 24 , 1986 ) is an english born actress . ~ the punisher is  in a comic book.",SUPPORTED,REFUTED
sabbir khan. in 2009 he made his directorial debut with the film kambakkht ishq ( 2009 ) that starred akshay kumar and kareena kapoor . ~ sabbir khan directed zero films.,sabbir khan. in 2009 he made his directorial debut with the film kambakkht ishq ( 2009 ) that starred akshay kumar and kareena kapoor. ~ sabbir khan directed z𝙚ro films.,SUPPORTED,REFUTED
"estelle getty. she was best known for her role as sophia petrillo on the golden girls from 1985 to 1992 , which won her an emmy and a golden globe , on the golden palace from 1992 to 1993 , and on empty nest from 1993 to 1995 . ~ estelle getty was physically incapable of acting her entire life.","estelle getty. she was best known for her role as sophia petrillo on the golden girls from 1985 to 1992 , which won her an emmy and a golden globe , on the golden palace from 1992 to 1993 , and on empty nest from 1993 to 1995 . ~ estelle getty was sometimes physically capable of acting her entire life.",SUPPORTED,REFUTED
"the dress. `` the dress '' is a photo that became a viral internet picture on 26 february 2015 , when viewers disagreed over whether the item of clothing depicted was black and blue or white and gold . ~ the dress is a forest.","the dress. `` the dress '' is a photo that became a viral internet picture on 26 february 2015 , when viewers disagreed over whether the item of clothing depicted was black and blue or white and gold . ~ the dress is a photograph.",SUPPORTED,REFUTED
"gettysburg address. the gettysburg address is a speech by u.s. president abraham lincoln , one of the best-known in american history . ~ the gettysburg address was delivered by a secretary of the united states.","gettysburg address. the gettysburg address is a speech by u.s. president abraham lincoln , one of the best-known in american history . ~ the gettysburg address was delivered by a citizen of the united states.",SUPPORTED,REFUTED
"melancholia (2011 film). melancholia is a 2011 science-fiction drama-psychological thriller film written and directed by lars von trier and starring kirsten dunst , charlotte gainsbourg , alexander skarsgård , cameron spurr , and kiefer sutherland . ~ melancholia is only a romance film.","melancholia (2011 film). melancholia is a 2011 science-fiction drama-psychological thriller film written and directed by lars von trier and starring kirsten dunst , charlotte gainsbourg , alexander skarsgård , cameron spurr , and kiefer sutherland . ~ melancholia is  and a romance film.",SUPPORTED,REFUTED
"sacré-cœur, paris. sacré-cœur is a double monument , political and cultural , both a national penance for the defeat of france in the 1870 franco-prussian war and the socialist paris commune of 1871 crowning its most rebellious neighborhood , and an embodiment of conservative moral order , publicly dedicated to the sacred heart of jesus , which was an increasingly popular vision of a loving and sympathetic christ . sacred heart. the devotion to the sacred heart ( also known as the most sacred heart of jesus , sacratissimi cordis iesu in latin ) is one of the most widely practiced and well-known roman catholic devotions , taking jesus christ 's physical heart as the representation of his divine love for humanity . ~ sacre-coeur, paris is publicly dedicated to a cult.","sacré-cœur, paris. sacré-cœur is a double monument , political and cultural , both a national penance for the defeat of france in the 1870 franco-prussian war and the socialist paris commune of 1871 crowning its most rebellious neighborhood , and an embodiment of conservative moral order ,  person  edd to the sacred heart of jesus , which was an increasingly popular vision of a loving and sympathetic christ . sacred heart. the devotion to the sacred heart ( also known as the most sacred heart of jesus , sacratissimi cordis iesu in latin ) is one of the most widely practiced and well-known roman catholic devotions , taking jesus christ 's physical heart as the representation of his divine love for humanity . ~ sacre-coeur, paris  iris publicly dedicated to a cult.",SUPPORTED,REFUTED
"gaius julius caesar (proconsul). gaius julius caesar ( ca. 130 bc -- 85 bc ) was a roman senator , a supporter of his brother-in-law , gaius marius , and the father of gaius julius caesar , the dictator . ~ gaius julius caesar never participated in politics.","gaius julius caesar (proconsul). gaius julius caesar ( ca. 130 bc -- 85 bc ) was a roman senator , a supporter of his brother-in-law , gaius marius , and the father of gaius julius caesar , the dictator . ~ gaius julius caesar also participated in politics.",SUPPORTED,REFUTED
"john dolmayan. john hovig dolmayan ( ջոն դոլմայան , born july 15 , 1973 ) is a lebanese-born armenian -- american songwriter and drummer . ~ john dolmayan is armenian-american and indian.","john dolmayan. john hovig dolmayan ( ջոն դոլմայան , born july 15 , 1973 ) is a lebanese-born armenian --  art songwriter and drummer . ~ john dolmayan is armenian-american and indian.",SUPPORTED,REFUTED
"see.sza.run. a pbr&b and neo-soul , see.sza.run has a diverse musical style that incorporates contemporary urban genres such as soul , hip hop , and minimalist r&b , the ep also takes influences from cloud rap and ethereal r&b as well as using witch house and chillwave elements . ~ see.sza.run only incorporates archaic urban genres.","see . sza . run . a pbr & b a nd neo - soul , see . sza . run has a diverse musical style that incorporates contemporary urban genres such as soul , hip hop , and minimalist r & b , the ep аⅼsο takes influences fr om cloud rap and ethereal r & b ɑs we ll аs usi ng witc h house and ϲhіⅼⅼwɑvе elements . ~ s ee . sza . run on ly incorpora tes аrϲhаіс urban genres .",SUPPORTED,REFUTED
"maria theresa. she started her 40-year reign when her father , emperor charles vi , died in october 1740 . ~ maria theresa was unrelated to emperor charles vi.","maria theresa. she started her 40-year reign when her father , emperor charles vi , died in october 1740 . ~ maria theresa was related to emperor charles vi.",SUPPORTED,REFUTED
"osamu tezuka. additionally , he is often considered the japanese equivalent to walt disney , who served as a major inspiration during tezuka 's formative years . ~ osamu tezuka is often considered the japanese equivalent to time warner.","osamu tezuka. additionally , he is � considered the japanese equivalent to walt disney , who served as a major inspiration during tezuka 's formative years . ~ osamu tezuka is often considered the japanese together to time warner.",SUPPORTED,REFUTED
sabbir khan. in 2009 he made his directorial debut with the film kambakkht ishq ( 2009 ) that starred akshay kumar and kareena kapoor . ~ sabbir khan directed zero films.,sabbir khan. in 2009 he made his directorial debut with the film kambakkht ishq ( 2009 ) that starred akshay kumar and kareena kapoor . ~ sabbir khan directed multiple films.,SUPPORTED,REFUTED
"veep. its second and fourth seasons won the writers guild of america award for television : comedy series , with the third season winning the television critics association award for outstanding achievement in comedy . ~ veep has no multiple seasons.","veep. its second and fourth seasons won the writers guild of america award for television : comedy series , with the third season winning the television critics association award for outstanding achievement in comedy . ~ veep has no longer multiple standalone seasons.",SUPPORTED,REFUTED
connie nielsen. she starred as meredith kane on the starz tv series boss ( 2011 -- 2012 ) and was a lead character in the second season of the following . ~ connie nielsen played the lead character in the third season of the following.,connie nielsen. she starred as meredith kane on the starz tv series boss ( 2011 -- 2012 ) and was a lead character in the  time season of the following . ~ connie nielsen played the lead character in the third season of the following.,SUPPORTED,REFUTED
"southpaw (film). southpaw is a 2015 american sports drama film directed by antoine fuqua , written by kurt sutter and starring jake gyllenhaal , forest whitaker and rachel mcadams . ~ southpaw is an american hero.","southpaw (film). southpaw is a 2015 american sports drama film directed by antoine fuqua , written by kurt sutter and starring jake gyllenhaal , forest whitaker and rachel mcadams . ~ southpaw  ask an american hero.",SUPPORTED,REFUTED
"paul von hindenburg. hindenburg retired again in 1919 , but returned to public life in 1925 to be elected the second president of germany . ~ paul von hindenburg was a private man.","paul von hindenburg . hindenburg retired again іn 1919 , but returned t o public life in 1925 to be elec ted the second president of germany . ~ paul von hindenburg wɑs a рrіvаtе man .",SUPPORTED,REFUTED
"kevin costner. costner has played eliot ness in the untouchables , crash davis in bull durham , ray kinsella in field of dreams , lt. john j. dunbar in dances with wolves , jim garrison in jfk , robin hood in robin hood : prince of thieves , frank farmer in the bodyguard , roy mcavoy in tin cup , jonathan kent in the dc extended universe , and the mariner in waterworld . ~ kevin costner passed up the opportunity to act in television.","kevin costner . costner has played eⅼіοt n ess in the untouchables , crash davis in bull durham , ray kinsella in field of dreams , lt . john j . dunbar in dances with wolves , jim garrison in jfk , robin hood in robin hоοd : prince of thieves , frank farmer in the bodyguard , ro y mcavoy in tin cup , jonathan ke nt in the dc extended universe , and the mariner in waterworld . ~ kevin costner p assed up the opportunity to act in television .",SUPPORTED,REFUTED
"syco. the company operates a record label , talent agency , film , music , and television production company , as well as a music publishing house . ~ syco is a streaming service.","syco. the company operates a record label , talent agency , film , music , and television production company , as well as a music publishing house . ~ syco  ich a streaming service.",SUPPORTED,REFUTED
"john dolmayan. john hovig dolmayan ( ջոն դոլմայան , born july 15 , 1973 ) is a lebanese-born armenian -- american songwriter and drummer . ~ john dolmayan is armenian-american and indian.","john dolmayan . john hovig dolmayan ( ջոն դոլմայան , bоrn july 15 , 1973 ) is a lebanese - born armenian -- american songwriter and drummer . ~ john dolmayan is armenian - american and indian .",SUPPORTED,REFUTED
"victoria palace theatre. victoria palace theatre is a west end theatre in victoria street , in the city of westminster , opposite victoria station . ~ victoria palace theatre is in a place named after queen elizabeth.","victoria palace theatre. victoria palace theatre is a west end theatre in victoria street, in the city of westminster, opposite victoria station. ~ victoria palace theatre is in a p𝚰a𝒄e named after queen elizabeth.",SUPPORTED,REFUTED
tinker tailor soldier spy (film). the film was produced through the british company working title films and financed by france 's studiocanal . ~ tinker tailor soldier spy is only a tv show.,tinker tailor soldier spy (film). the film was produced through the british company working title films and financed by france 's studiocanal . ~ tinker tailor soldier spy is  for a tv show.,SUPPORTED,REFUTED
homer hickam. hickam has also written a number of best-selling memoirs and novels including the `` josh thurlow '' historical fiction novels . ~ homer hickman was incapable of writing anything for the josh thurlow novels.,homer hickam. hickam has also written a number of best-selling memoirs and novels including the `` josh thurlow '' historical fiction novels . mr~ homer hickman was incapable of writing nazis for the josh thurlow novels.,SUPPORTED,REFUTED
sancho panza. sancho panza [ ˈsantʃo ˈpanθa ] is a fictional character in the novel don quixote written by spanish author don miguel de cervantes saavedra in 1605 . ~ sancho panza is a non-fiction character.,sancho panza. sancho panza [ ˈsantʃo ˈpanθa ] is a fictional character in the novel don quixote written by spanish author don miguel de cervantes saavedra in 1605 . ~ sancho panza is a overview character.,SUPPORTED,REFUTED
"babur. babur ( [ بابر , lit = tiger , translit = bābur ] 14 february 148326 december 1530 ) , born ẓahīr-ud-dīn muḥammad ( [ ظهیرالدین محمد , translit = ẓahīr ad-dīn muḥammad ] ) , was a conqueror from central asia who , following a series of setbacks , finally succeeded in laying the basis for the mughal dynasty in the indian subcontinent and became the first mughal emperor . ~ babur was from northern asia.","babur. babur ( [ بابر , lit = tiger , translit = bābur ] 14 february 148326 december 1530 ) , born ẓahīr-ud-dīn muḥammad ( [ ظهیرالدین محمد , translit = ẓahīr ad-dīn muḥammad ] ) , was a conqueror from northern asia who , following a series of setbacks , finally succeeded in laying the basis for the mughal dynasty in the indian subcontinent and became the first mughal emperor . ~ babur was from northern asia.",SUPPORTED,REFUTED
"john dolmayan. john hovig dolmayan ( ջոն դոլմայան , born july 15 , 1973 ) is a lebanese-born armenian -- american songwriter and drummer . ~ john dolmayan is armenian-american and indian.","𝑱ohn dolmayan. john hovig dolmayan ( ջոն դոլմայան , born july 15 , 1973 ) is a lebanese-born armenian -- american songwriter and drummer . ~ john dolmayan is armenian-american and indian.",SUPPORTED,REFUTED
"vandals. the vandals were an east germanic tribe , or group of tribes , who were first heard of in southern poland , but later moved around europe establishing kingdoms in spain and later north africa in the 5th century . ~ the vandals established kingdoms in the 8th century.","vandals. the vandals were an east germanic tribe , or group of tribes , who were first heard of in southern poland , but later moved around europe establishing kingdoms in spain and later north africa in the 5th century . ~ the vandals established kingdoms in the caps century.",SUPPORTED,REFUTED
"stan beeman. stan beeman is a fictional character in the american television drama series the americans on fx , and the supporting male character . ~ stan beeman is only in modern comedies.","stan beeman. stan beeman is a fictional character in only the american television drama series the americans on fx , and the supporting male character . ~ stan beeman is fictional only occasionally in modern comedies.",SUPPORTED,REFUTED
"sarah hyland. born in new york city , hyland attended the professional performing arts school in manhattan , followed by small roles in the films private parts ( 1997 ) , annie ( 1999 ) , and blind date ( 2007 ) . professional performing arts school. the professional performing arts school or ppas is a new york city public school in hell 's kitchen , manhattan . ~ sarah hyland attended a public school in chinatown.","sarah hyland . born in nеw york city , hyland аttеndеd the professional performing arts school in manhattan , followed by small roles in the fіⅼms private parts ( 1997 ) , an nie ( 1999 ) , and blind date ( 2007 ) . professional performing arts school . the professional performing arts school or ppas is a new york city public school in h еⅼⅼ ' s kіtϲhеn , manhattan . ~ sarah h yland attended a public school іn chіnаtοwn .",SUPPORTED,REFUTED
"tylenol (brand). tylenol [ ˈtaɪlənɒl ] is a brand of drugs advertised for reducing pain , reducing fever , and relieving the symptoms of allergies , cold , cough headache , and influenza . ~ tylenol is advertised only as a pain killer.","tylenol (brand). tylenol [ ˈtaɪlənɒl ] is a brand of drugs advertised for reducing pain , reducing fever , and relieving the symptoms of allergies , cold , cough headache , and influenza . ~ tylenol is not advertised only as a pain killer.",SUPPORTED,REFUTED
"melancholia (2011 film). melancholia is a 2011 science-fiction drama-psychological thriller film written and directed by lars von trier and starring kirsten dunst , charlotte gainsbourg , alexander skarsgård , cameron spurr , and kiefer sutherland . ~ melancholia is only a romance film.","melancholia (2011 film). melancholia is a 2011 science-fiction drama-psychological thriller film written and directed by lars von trier and starring kirsten dunst , charlotte gainsbourg , alexander skarsgård , cameron spurr , and kiefer sutherland . ~ melancholia is not only a romance film.",SUPPORTED,REFUTED
"raven-symoné. raven has also lent her voice to the animated series kim possible , for the character monique and films such as disney 's tinker bell . ~ raven-symoné refuses to be an actress.","raven - symoné . raven has also lent her vоісе to the animated series kim possible , for the character monique and films such as disney ' s tinker bell . ~ rɑvеn - symoné rеfusеs to be an actress .",SUPPORTED,REFUTED
"carol danvers. the character has also been known as binary , warbird , and captain marvel at various points in her history , and has been featured in other marvel licensed products including video games , animated television series , and merchandise such as trading cards . ~ carol danvers is a real person.","carol danvers. the character has also been known as binary , warbird , and captain marvel at various points in her history , and has been featured in other marvel licensed products including video games , animated television series , and merchandise such as trading cards . ~ carol danvers is a caps person.",REFUTED,SUPPORTED
"james earl jones. on november 9 , 2015 , jones received the voice arts icon award . ~ james earl jones is not known for his voice roles.","james earl jones. on november 9, 2015, jones received the voice arts icon award. ~ james earl jones is not kno𝓌n for his voice roles.",SUPPORTED,REFUTED
"the mighty ducks. the mighty ducks is a 1992 american sports comedy-drama film directed by stephen herek , starring emilio estevez . ~ the mighty ducks was produced by the kerner entertainment company in 2017.","the mighty ducks. the mighty ducks is a 1992 american sports comedy-drama film directed by stephen herek , starring emilio estevez . ~ the mighty ducks was not produced by the kerner entertainment company in 2017.",SUPPORTED,REFUTED
"no way out (puff daddy album). no way out is the debut studio album by american hip hop recording artist , songwriter and record producer puff daddy . ~ no way out is a single.","no way out ( puff dɑddу album ). no way out is the debut studio album by american hip hop recording artist , songwriter an d record producer p uff daddy . ~ nο way ou t i s a single .",SUPPORTED,REFUTED
"southpaw (film). southpaw is a 2015 american sports drama film directed by antoine fuqua , written by kurt sutter and starring jake gyllenhaal , forest whitaker and rachel mcadams . ~ southpaw is an american hero.","southpaw ❲film). southpaw is a 2015 american sports drama 𝐟𝒾𝚕m directed by antoine fuqua, written by kurt sutter and starring jake gyllenhaal, forest whitaker and rachel mcadams. ~ southpaw is an american hero.",SUPPORTED,REFUTED
noah cyrus. she is the youngest daughter of billy ray cyrus and younger sister of miley cyrus and trace cyrus . ~ noah cyrus is a younger sister of macy grey.,noah cуrus . she is the youngest daught er of billy ray cy rus and younger sister of miley cyrus and trace cyrus . ~ noah cyrus is a younger sister of macy grey .,SUPPORTED,REFUTED
"a good day to die hard. alongside willis , the film also stars jai courtney , cole hauser , yuliya snigir and sebastian koch as the film 's villain . a good day to die hard is a 2013 american action thriller film and the fifth installment in the die hard film series . ~ a good day to die hard stars only alan rickman.","a good day to die hard. alongside willis , the film also stars jai courtney , cole hauser , yuliya snigir and sebastian koch as the film 's villain . a good day to die hard is a 2013 american action thriller film and the fifth installment in the die hard film series . ~ a good day to die hard stars not only alan rickman.",SUPPORTED,REFUTED
"virginia. virginia 's economy has many sectors : agriculture in the shenandoah valley ; federal agencies in northern virginia , including the headquarters of the u.s. department of defense and central intelligence agency ( cia ) ; and military facilities in hampton roads , the site of the region 's main seaport . ~ virginia has had a tourism-based economy for its full history.","virginia. virginia 's economy has many sectors  agriculture in the shenandoah valley ; federal agencies in northern virginia , including the headquarters of the u.s. department of defense and central intelligence agency ( cia ) ; and military facilities in hampton roads , the site of the region 's main seaport . ~ virginia has had a tourism-based economy for its full history.",SUPPORTED,REFUTED
clueless (film). the film was followed by a spin-off television sitcom and series of books . ~ clueless (film) was preceded by a series of books.,clueless ( film ). the film wa s followed by a spin - off television sitcom and series of books . ~ clueless ( film ) was preceded by a series of bоοks .,SUPPORTED,REFUTED
"world trade center (1973–2001). it featured landmark twin towers , which opened on april 4 , 1973 , and were destroyed as a result of the september 11 attacks . ~ the world trade center featured landmark triplet towers.","world trade center (1973–2001). it featured landmark twin towers , which opened on april 4 , 1973 , and were destroyed as a result of the september 11 attacks . ~ the world trade center featured landmark values towers.",SUPPORTED,REFUTED
"mandy moore. amanda leigh moore ( born april 10 , 1984 ) is an american singer-songwriter and actress . ~ mandy moore is not a musician.","mandy moore. amanda leigh moore ( born april 10 , 1984 ) is an american singer-songwriter and actress . ~ mandy moore is  mus a musician.",SUPPORTED,REFUTED
"world trade center (1973–2001). it featured landmark twin towers , which opened on april 4 , 1973 , and were destroyed as a result of the september 11 attacks . ~ the world trade center featured landmark triplet towers.","world trade center (1973–2001). it featured landmark twin towers, which opened on april 4, 1973, and were destroyed as a result of the september 11 attacks. ~ the world trade center featured landmark 𝒕r𝒊plet towers.",SUPPORTED,REFUTED
"sacré-cœur, paris. sacré-cœur is a double monument , political and cultural , both a national penance for the defeat of france in the 1870 franco-prussian war and the socialist paris commune of 1871 crowning its most rebellious neighborhood , and an embodiment of conservative moral order , publicly dedicated to the sacred heart of jesus , which was an increasingly popular vision of a loving and sympathetic christ . sacred heart. the devotion to the sacred heart ( also known as the most sacred heart of jesus , sacratissimi cordis iesu in latin ) is one of the most widely practiced and well-known roman catholic devotions , taking jesus christ 's physical heart as the representation of his divine love for humanity . ~ sacre-coeur, paris is publicly dedicated to a cult.","sacré-cœur, paris. sacré-cœur i𝘴 a double monument , political and cultural , both a national penance for the defeat of france in the 1870 franco-prussian war and the socialist paris commune of 1871 crowning its most rebellious neighborhood , and an embodiment of conservative moral order , publicly dedicated to the sacred heart of jesus , which was an increasingly popular vision of a loving and sympathetic christ . sacred heart. the devotion to the sacred heart ( also known as the most sacred heart of jesus , sacratissimi cordis iesu in latin ) is one of the most widely practiced and well-known roman catholic devotions , taking jesus christ 's physical heart as the representation of his divine love for humanity . ~ sacre-coeur, paris is publicly dedicated to a cult.",SUPPORTED,REFUTED
"sacré-cœur, paris. sacré-cœur is a double monument , political and cultural , both a national penance for the defeat of france in the 1870 franco-prussian war and the socialist paris commune of 1871 crowning its most rebellious neighborhood , and an embodiment of conservative moral order , publicly dedicated to the sacred heart of jesus , which was an increasingly popular vision of a loving and sympathetic christ . sacred heart. the devotion to the sacred heart ( also known as the most sacred heart of jesus , sacratissimi cordis iesu in latin ) is one of the most widely practiced and well-known roman catholic devotions , taking jesus christ 's physical heart as the representation of his divine love for humanity . ~ sacre-coeur, paris is publicly dedicated to a cult.","sacré - cœur , paris . sacré - cœur is a double monument , political an d cultural , both a national penance for the defeat of fran ce in the 1870 franco - prussian war and the socialist paris commune of 1871 crownin g its most rebellious neighborhood , and an embodiment of conservative moral order , publicly dedicated to the sacred heart of jesus , which was an increasingly popular vision of a loving аnd sympathetic christ . sacred heart . the devotion to the sacred heart ( also known as the most sacred heart of jesus , sacratissi mi cоrdіs iesu in latin ) is one of thе most widely practiced and well - known rоmɑn catholic devotions , taking jesus christ ' s physical heart as the representation of his divine love fοr humanity . ~ sacre - coeur , paris is рubⅼісⅼу dedicated t o a cult .",SUPPORTED,REFUTED
"staging area. in military usage , a staging area is a place where troops or equipment in transit are assembled or processed . ~ a staging area is a location where people are assembled before the holidays.","staging area. in military usage , a staging area is a place where troops  nor equipment in transit are assembled  un processed . ~ a staging area is a location where people are  ear before the holidays.",SUPPORTED,REFUTED
