adversarial_samples,original_samples,annotator1_stance,annotator1_confidence,annotator2_stance,annotator2_confidence,annotator3_stance,annotator3_confidence,agreed_labels,original_prediction,adversarial_prediction,prediction_flipped
"the bahamas. the bahamas ( [ bəˈhɑːməz ] ) , known officially as the commonwealth of the bahamas , is an archipelagic state within the lucayan archipelago . source~ the bahamas is posted.","the bahamas. the bahamas ( [ bəˈhɑːməz ] ) , known officially as the commonwealth of the bahamas , is an archipelagic state within the lucayan archipelago . ~ the bahamas is unknown.",2.0,5.0,1.0,5.0,1.0,3.0,1.0,REFUTED,NOT ENOUGH INFO,True
"rage against the machine. the same year , growing tensions over the direction of the band prompted de la rocha to quit , leading to the band 's breakup . ~ rage against the machine stopped being pants.","rage against the machine. the same year , growing tensions over the direction of the band prompted de la rocha to quit , leading to the band 's breakup . ~ rage against the machine stopped being together.",2.0,5.0,2.0,4.0,,,2.0,SUPPORTED,NOT ENOUGH INFO,True
"bret easton ellis. bret easton ellis ( born march 7 , 1964 ) is an american author , screenwriter , and short story writer . ~ bret easton ellis wrote a advertisement.","bret easton ellis. bret easton ellis ( born march 7 , 1964 ) is an american author , screenwriter , and short story writer . ~ bret easton ellis wrote a screenplay.",1.0,5.0,1.0,5.0,,,1.0,SUPPORTED,NOT ENOUGH INFO,True
"ed and lorraine warren. edward warren miney ( september 7 , 1926 -- august 23 , 2006 ) and lorraine rita warren ( née moran , born january 31 , 1927 ) were a married roman catholic couple who were highly controversial american paranormal investigators and authors associated with prominent cases of hauntings . ~ ed and lorraine warren were related.","ed and lorraine warren. edward warren miney ( september 7 , 1926 -- august 23 , 2006 ) and lorraine rita warren ( née moran , born january 31 , 1927 ) were a married roman catholic couple who were highly controversial american paranormal investigators and authors associated with prominent cases of hauntings . ~ ed and lorraine warren were dogs.",1.0,5.0,1.0,5.0,,,1.0,REFUTED,SUPPORTED,True
"edmund h. north. edmund hall north ( june 12 , 1911 -- august 28 , 1990 ) , was an american screenwriter who shared an academy award for best original screenplay with francis ford coppola in 1970 for their script for patton . ~ edmund h. north was born june 12, 1911.","edmund h. north. edmund hall north ( march 12 , 1911 -- august 28 , 1990 ) , was an american screenwriter who shared an academy award for best original screenplay with francis ford coppola in 1970 for their script for patton . ~ edmund h. north was born june 12, 1911.",0.0,4.0,1.0,5.0,1.0,5.0,1.0,REFUTED,SUPPORTED,True
golf. the game is played on a course with an arranged progression of 18 holes . ~ golf was played on a course.,golf. the game is played on a course with an arranged progression of 18 holes . ~ golf is not played on a course.,1.0,5.0,1.0,5.0,,,1.0,REFUTED,SUPPORTED,True
"sleipnir. in norse mythology , sleipnir ( old norse `` slippy '' or `` the slipper '' ) is an eight-legged horse . norse mythology. norse mythology is the body of mythology of the north germanic people stemming from norse paganism and continuing after the christianization of scandinavia and into the scandinavian folklore of the modern period . ~ sleipnir appears  all the mythology of the northern germanic people.","sleipnir. in norse mythology , sleipnir ( old norse `` slippy '' or `` the slipper '' ) is an eight-legged horse . norse mythology. norse mythology is the body of mythology of the north germanic people stemming from norse paganism and continuing after the christianization of scandinavia and into the scandinavian folklore of the modern period . ~ sleipnir appears in the mythology of the northern germanic people.",1.0,4.0,0.0,3.0,1.0,2.0,1.0,SUPPORTED,REFUTED,True
hannah and her sisters. hannah and her sisters is a  2006 american comedy-drama film which tells the intertwined stories of an extended family over two years that begins and ends with a family thanksgiving dinner . ~ hannah and her sisters is an american 1986 film.,hannah and her sisters. hannah and her sisters is a 1986 american comedy-drama film which tells the intertwined stories of an extended family over two years that begins and ends with a family thanksgiving dinner . ~ hannah and her sisters is an american 1986 film.,1.0,5.0,1.0,5.0,,,1.0,SUPPORTED,REFUTED,True
atlanta metropolitan area. the combined statistical area spans up to 39 counties in north georgia and had an estimated 2015 population of 6.3 million people . north georgia (u.s. state). north georgia is the hilly to mountainous northern region of the u.s. state of georgia . ~ atlanta metropolitan area is located in north georgia.,atlanta metropolitan area. the combined statistical area spans up to 39 counties in north georgia and had an estimated 2015 population of 6.3 million people . north georgia (u.s. state). north georgia is the hilly to mountainous northern region of the u.s. state of georgia . ~ atlanta metropolitan area is located in north florida.,1.0,5.0,1.0,5.0,,,1.0,REFUTED,SUPPORTED,True
"new england patriots. the patriots have appeared in the super bowl nine times in franchise history , the most of any team , seven of them since the arrival of head coach bill belichick and quarterback tom brady in 2000 . ~ the new england patriots verse to reach seven super bowls.","new england patriots. the patriots have appeared in the super bowl nine times in franchise history , the most of any team , seven of them since the arrival of head coach bill belichick and quarterback tom brady in 2000 . ~ the new england patriots failed to reach seven super bowls.",2.0,4.0,2.0,5.0,,,2.0,REFUTED,SUPPORTED,True
"alberto contador. he initially also won the 2010 tour de france with this team , and the 2011 giro d'italia with team saxo bank-sungard , only to be stripped of these titles later having been found guilty of a doping offence . ~ alberto contador finally lost the 2011 giro d'italia.","alberto contador. he initially also won the 2010 tour de france with this team , and the 2011 giro d'italia with team saxo bank-sungard , only to be stripped of these titles later having been found guilty of a doping offence . ~ alberto contador initially lost the 2011 giro d'italia.",1.0,5.0,1.0,5.0,,,1.0,REFUTED,SUPPORTED,True
benjamin franklin. franklin became a national hero in america as an agent for several colonies when he spearheaded an effort in london to have the parliament of great britain repeal the unpopular stamp act . ~ benjamin franklin was not a person.,benjamin franklin. franklin became a national hero in america as an agent for several colonies when he spearheaded an effort in london to have the parliament of great britain repeal the unpopular stamp act . ~ benjamin franklin was a person.,1.0,5.0,1.0,5.0,,,1.0,SUPPORTED,REFUTED,True
"annette badland. she has played margaret blaine in the bbc science fiction series doctor who , doomsday � in the sparticle mystery , birdie henshall in the drama series cutting it , mavis in season 6 of skins , ursula crowe in children 's science fiction/fantasy series wizards vs aliens , and babe smith in soap opera eastenders . ~ annette badland played doomsday dora in the sparticle mystery.","annette badland. she has played margaret blaine in the bbc science fiction series doctor who , doomsday dora in the sparticle mystery , birdie henshall in the drama series cutting it , mavis in season 6 of skins , ursula crowe in children 's science fiction/fantasy series wizards vs aliens , and babe smith in soap opera eastenders . ~ annette badland played doomsday dora in the sparticle mystery.",2.0,4.0,1.0,5.0,1.0,1.0,1.0,SUPPORTED,NOT ENOUGH INFO,True
"kendall jenner. as of april 2017 , she is one of the top 15 most followed celebrities on instagram . ~ kendall jenner is ….","kendall jenner. as of april 2017 , she is one of the top 15 most followed celebrities on instagram . ~ kendall jenner is unfamous.",1.0,5.0,1.0,5.0,,,1.0,REFUTED,SUPPORTED,True
"poseidon ( film ) . poseidon grossed $ 181 , 674 , 817 a t the worldwide box office on a budget of $ 160 million . ~ poseidon ⅼɑсkеd a budget of $ 160 million .","poseidon (film). poseidon grossed $ 181,674,817 at the worldwide box office on a budget of $ 160 million . ~ poseidon lacked a budget of $160 million.",0.0,5.0,0.0,5.0,,,0.0,REFUTED,SUPPORTED,True
"k uchi ng . kuсhіng [ ˈku ːtʃ ɪŋ ] ( jawi : , ) , of f icially th  е cit y o f kuching , is the capital ɑnd the most populous с іtу i n t  h e state o  f sar awak in m аⅼауsіɑ . ~ kuϲ hіng i  s і n srі lа nkа .","kuching. kuching [ ˈkuːtʃɪŋ ] ( jawi : , ) , officially the city of kuching , is the capital and the most populous city in the state of sarawak in malaysia . ~ kuching is in sri lanka.",2.0,4.0,2.0,5.0,,,2.0,REFUTED,SUPPORTED,True
"a good day to die hard. alongside willis , the film also stars jai courtney , cole hauser , yuliya snigir and sebastian koch as the film 's villain . a good day to die hard is a 2013 american action thriller film and the fifth installment in the die hard film series . ~ a good day to die hard stars  ~ alan rickman.","a good day to die hard. alongside willis , the film also stars jai courtney , cole hauser , yuliya snigir and sebastian koch as the film 's villain . a good day to die hard is a 2013 american action thriller film and the fifth installment in the die hard film series . ~ a good day to die hard stars only alan rickman.",0.0,5.0,1.0,5.0,0.0,2.0,0.0,REFUTED,NOT ENOUGH INFO,True
