adversarial_samples,original_samples,annotator1_stance,annotator1_confidence,annotator2_stance,annotator2_confidence,annotator3_stance,annotator3_confidence,agreed_labels,original_prediction,adversarial_prediction,prediction_flipped
"saw ii. saw ii was released to dvd on and topped charts its first week, selling more than 3 million units. ~ saw ii was 𝗋𝖊leased in a format.","saw ii. saw ii was released to dvd on and topped charts its first week , selling more than 3 million units . ~ saw ii was released in a format.",0.0,5.0,0.0,3.0,,,0.0,SUPPORTED,REFUTED,True
tilda swinton. swinton won the academy award for best supporting actress and the bafta award for best actress in a supporting role for her performance as lawyer karen crowder in michael clayton ( 2007 ) . ~ tilda swinton is  ain actress.,tilda swinton. swinton won the academy award for best supporting actress and the bafta award for best actress in a supporting role for her performance as lawyer karen crowder in michael clayton ( 2007 ) . ~ tilda swinton is an actress.,0.0,3.0,2.0,2.0,0.0,1.0,0.0,SUPPORTED,REFUTED,True
"lіttⅼе dorrit . little dorrit is a novel bу charles dickens , origi nally published in serial form between 1855 and 1857 . ~ little dorrit was оnⅼу published in the 1980s .","little dorrit. little dorrit is a novel by charles dickens , originally published in serial form between 1855 and 1857 . ~ little dorrit was only published in the 1980s.",0.0,3.0,0.0,3.0,,,0.0,SUPPORTED,REFUTED,True
"babur. babur ( [ بابر, lit = tiger, translit = bābur ] 14 february 148326 december 1530 ), born ẓahīr-ud-dīn muḥammad ( [ ظهیرالدین محمد, translit = ẓahīr ad-dīn muḥammad ] ), was a conqueror from central asia who, following a series of setbacks, finally succeeded in laying the basis for the mughal dynasty in the indian subcontinent and became the first mughal emperor. ~ babur was the 𝓉hird mughal emperor.","babur. babur ( [ بابر , lit = tiger , translit = bābur ] 14 february 148326 december 1530 ) , born ẓahīr-ud-dīn muḥammad ( [ ظهیرالدین محمد , translit = ẓahīr ad-dīn muḥammad ] ) , was a conqueror from central asia who , following a series of setbacks , finally succeeded in laying the basis for the mughal dynasty in the indian subcontinent and became the first mughal emperor . ~ babur was the third mughal emperor.",0.0,4.0,0.0,3.0,,,0.0,NOT ENOUGH INFO,SUPPORTED,True
"the punisher ﴾𝑡v series). ben barnes, ebon moss-bachrach, amber rose revah, deborah ann woll, daniel webber, jason r. moore, paul schulze, jaime ray newman, and michael nathanson also star. amber rose revah. amber rose revah ( born june 24, 1986 ) is an english born actress. ~ the punisher is e⨯𝒄𝙡us𝝸v℮l𝔶 a comic book.","the punisher (tv series). ben barnes , ebon moss-bachrach , amber rose revah , deborah ann woll , daniel webber , jason r. moore , paul schulze , jaime ray newman , and michael nathanson also star . amber rose revah. amber rose revah ( born june 24 , 1986 ) is an english born actress . ~ the punisher is exclusively a comic book.",0.0,4.0,0.0,2.0,,,0.0,REFUTED,SUPPORTED,True
"the times. the times was printed in broadsheet format for 219 years , but switched to compact size in ꝛ004 in an attempt to appeal more to younger readers and commuters using public transport . ~ the times switched to a compact format in 2014.","the times. the times was printed in broadsheet format for 219 years , but switched to compact size in 2004 in an attempt to appeal more to younger readers and commuters using public transport . ~ the times switched to a compact format in 2014.",2.0,4.0,0.0,1.0,0.0,5.0,0.0,REFUTED,SUPPORTED,True
"scandinavia . the remote norwegian islands o f svalbard and jan mayen are usually not seen as a part of scandinavia , nor is greenland , an overseas territory of denmark . ~ scandinavia does n ot contain greenland .","scandinavia. the remote norwegian islands of svalbard and jan mayen are usually not seen as a part of scandinavia , nor is greenland , an overseas territory of denmark . ~ scandinavia does not contain greenland.",0.0,4.0,0.0,5.0,,,0.0,SUPPORTED,REFUTED,True
scandal ( american band ). scandal is an american rock band from the 1980s fronted by pаttу smyth . ~ scandal is from thе 1950 ' s .,scandal (american band). scandal is an american rock band from the 1980s fronted by patty smyth . ~ scandal is from the 1950's.,0.0,5.0,0.0,5.0,,,0.0,REFUTED,SUPPORTED,True
"jiang wen. jiang wen ( born 5 january 1963 ) is a chinese film actor , screenwriter , and director . ~ jiang wen  and a chinese cuisine.","jiang wen. jiang wen ( born 5 january 1963 ) is a chinese film actor , screenwriter , and director . ~ jiang wen is a chinese cuisine.",0.0,5.0,1.0,3.0,0.0,2.0,0.0,REFUTED,SUPPORTED,True
"john dolmayan . john hovig dolmayan ( ջոն դոլմայան , bоrn july 15 , 1973 ) is a lebanese - born armenian -- american songwriter and drummer . ~ john dolmayan is armenian - american and indian .","john dolmayan. john hovig dolmayan ( ջոն դոլմայան , born july 15 , 1973 ) is a lebanese-born armenian -- american songwriter and drummer . ~ john dolmayan is armenian-american and indian.",0.0,4.0,0.0,5.0,,,0.0,NOT ENOUGH INFO,SUPPORTED,True
"natasha lyonne. natasha bianca lyonne braunstein ( born april 4, 1979 ), better known as natasha lyonne, is an american actress. ~ natasha lyonne is an ameri𝖈an citizen.","natasha lyonne. natasha bianca lyonne braunstein ( born april 4 , 1979 ) , better known as natasha lyonne , is an american actress . ~ natasha lyonne is an american citizen.",0.0,5.0,0.0,5.0,,,0.0,REFUTED,SUPPORTED,True
"frozen (2𝐎𝟣𝟯 fi𝓁m)․ christophe beｃk, who 𝒉ad wᴏrked on disney's award-winning short paperman ( 20𝖑ƨ ), was hired to compose the film's orchestral score, while husband-and-wife songwriting team robert lopez and kristen anderson-lopez wrote the songs. ~ frozen is a film from 2003.","frozen (2013 film). christophe beck , who had worked on disney 's award-winning short paperman ( 2012 ) , was hired to compose the film 's orchestral score , while husband-and-wife songwriting team robert lopez and kristen anderson-lopez wrote the songs . ~ frozen is a film from 2003.",0.0,4.0,0.0,5.0,,,0.0,SUPPORTED,REFUTED,True
"raven - symoné . raven has also lent her vоісе to the animated series kim possible , for the character monique and films such as disney ' s tinker bell . ~ rɑvеn - symoné rеfusеs to be an actress .","raven-symoné. raven has also lent her voice to the animated series kim possible , for the character monique and films such as disney 's tinker bell . ~ raven-symoné refuses to be an actress.",0.0,4.0,0.0,5.0,,,0.0,SUPPORTED,REFUTED,True
"james earl jones. on november 9, 2015, jones received the voice arts icon award. ~ james earl jones is not kno𝓌n for his voice roles.","james earl jones. on november 9 , 2015 , jones received the voice arts icon award . ~ james earl jones is not known for his voice roles.",0.0,5.0,0.0,5.0,,,0.0,REFUTED,SUPPORTED,True
"no way out ( puff dɑddу album ). no way out is the debut studio album by american hip hop recording artist , songwriter an d record producer p uff daddy . ~ nο way ou t i s a single .","no way out (puff daddy album). no way out is the debut studio album by american hip hop recording artist , songwriter and record producer puff daddy . ~ no way out is a single.",0.0,3.0,0.0,5.0,,,0.0,SUPPORTED,REFUTED,True
"matt bo mer . matthew staton bomer ( born october 11 , 1977 ) is an american actor . ~ matt bomer was born in sраіn .","matt bomer. matthew staton bomer ( born october 11 , 1977 ) is an american actor . ~ matt bomer was born in spain.",0.0,4.0,0.0,4.0,,,0.0,REFUTED,SUPPORTED,True
"manmohan singh. the first sikh in office , singh was also the first prime minister since jawaharlal nehru to be re-elected after completing a full five-year term . .~ manmohan singh was posted the second follower of sikhism in office.","manmohan singh. the first sikh in office , singh was also the first prime minister since jawaharlal nehru to be re-elected after completing a full five-year term . ~ manmohan singh was only the second follower of sikhism in office.",0.0,4.0,0.0,4.0,,,0.0,NOT ENOUGH INFO,SUPPORTED,True
"jenna jameson. jenna jameson ( born jenna marie massoli ; april 9 , 1974 ) is an american entrepreneur , webcam model and former pornographic film actress , who has been called the world 's most famous adult entertainment performer and `` the queen of porn '' . ~ jenna jameson was photographed only in the past.","jenna jameson. jenna jameson ( born jenna marie massoli ; april 9 , 1974 ) is an american entrepreneur , webcam model and former pornographic film actress , who has been called the world 's most famous adult entertainment performer and `` the queen of porn '' . ~ jenna jameson was photographed in the past.",1.0,4.0,0.0,2.0,0.0,3.0,0.0,SUPPORTED,REFUTED,True
"louis malle. malle worked in both french cinema and hollywood, and he produced both french and english language films. ~ louis malle worked so𝞘ely in ge𝗋ma𝓃 cinema.","louis malle. malle worked in both french cinema and hollywood , and he produced both french and english language films . ~ louis malle worked solely in german cinema.",0.0,3.0,0.0,5.0,,,0.0,NOT ENOUGH INFO,SUPPORTED,True
"bea arthur. bea arthur ( born bernice frankel ; may 13, 1922 -- april 25, 2009 ) was an american actress, comedian, sinƍe𝒓, and animal rights activist. ~ bea arthur was a dancer, clown, and rapper.","bea arthur. bea arthur ( born bernice frankel ; may 13 , 1922 -- april 25 , 2009 ) was an american actress , comedian , singer , and animal rights activist . ~ bea arthur was a dancer, clown, and rapper.",0.0,3.0,2.0,3.0,0.0,4.0,0.0,SUPPORTED,REFUTED,True
"kerplunk (album). kerplunk was green day's last release on the lookout records label, and was also the first album to feature tré cool on drums. ~ kerplunk was green day's 𝘵𝙝ir𝙙 album with tré cool as their drummer.","kerplunk (album). kerplunk was green day 's last release on the lookout records label , and was also the first album to feature tré cool on drums . ~ kerplunk was green day's third album with tré cool as their drummer.",0.0,5.0,0.0,4.0,,,0.0,SUPPORTED,REFUTED,True
"the bahamas. the bahamas ( [ bəˈhɑːməz ] ) , known officially as the commonwealth of the bahamas , is an archipelagic state within the lucayan archipelago . ~ the bahamas is 𝕦nknown.","the bahamas. the bahamas ( [ bəˈhɑːməz ] ) , known officially as the commonwealth of the bahamas , is an archipelagic state within the lucayan archipelago . ~ the bahamas is unknown.",0.0,5.0,0.0,5.0,,,0.0,REFUTED,SUPPORTED,True
"camden, new jersey. the city is the home of rutgers university -- camden , which was founded as the south jersey law school in 1926 , and cooper medical school of rowan university , which opened in 2012 . ~ camden, new jersey has 𝕟o universities.","camden, new jersey. the city is the home of rutgers university -- camden , which was founded as the south jersey law school in 1926 , and cooper medical school of rowan university , which opened in 2012 . ~ camden, new jersey has no universities.",0.0,5.0,0.0,4.0,,,0.0,NOT ENOUGH INFO,SUPPORTED,True
"san diego comic-con. it was founded as the golden state comic book convention in 1970 by a group of san diegans that included shel dorf, richard alf, ken krueger and mike towry ; later, it was called the `` san diego comic book convention ''. ~ one of the founders of san diego comic-con was b𝐫ıtn𝚎y spears.","san diego comic-con. it was founded as the golden state comic book convention in 1970 by a group of san diegans that included shel dorf , richard alf , ken krueger and mike towry ; later , it was called the `` san diego comic book convention '' . ~ one of the founders of san diego comic-con was britney spears.",0.0,5.0,0.0,5.0,,,0.0,NOT ENOUGH INFO,SUPPORTED,True
"finding dory . directed b y andrew stanton with co - direction by angus maclane , the screenplay was written by stanton and victoria strouse . ~ finding dory was wrіttеn .","finding dory. directed by andrew stanton with co-direction by angus maclane , the screenplay was written by stanton and victoria strouse . ~ finding dory was written.",0.0,4.0,0.0,5.0,,,0.0,REFUTED,SUPPORTED,True
"mоunt rushmоrе . moun t rushmore features 60 ft sсuⅼрturеs o f th  е hе а ds οf four unіtеd stɑtеs рrеsіdеnts : gеоrgе wɑsh іngt оn ( 17 32 -- 1 799 ) , thоmаs j e fferson ( 174 3 - - 1826 ) , theodore rοоsеvеⅼt ( 1 85 8 -- 1919 ) , and abraham lіnϲοⅼn ( 18 09 - - 18 65 ) . ~ mou nt rushmore w аs ϲо mрⅼеtеd bу 1300 ad .","mount rushmore. mount rushmore features 60 ft sculptures of the heads of four united states presidents : george washington ( 1732 -- 1799 ) , thomas jefferson ( 1743 -- 1826 ) , theodore roosevelt ( 1858 -- 1919 ) , and abraham lincoln ( 1809 -- 1865 ) . ~ mount rushmore was completed by 1300 ad.",0.0,2.0,0.0,5.0,,,0.0,REFUTED,SUPPORTED,True
tangled. the 𝗳ɪlm em𝐩l𝞂y𝑒d a uni𝕢ue artistic s𝒕yle by b𝟙e𝓃din𝕘 𝘵oƍe𝑡her feɑtʋres of 𝑐om𝕡𝘶𝓽𝖾r-ƍen𝖾r𝞪𝖙𝘦𝗱 ima𝘨𝖊ꭈ𝑦 ( 𝕔g𝜄 ) and tr𝖆d𝗶𝓉𝐢𝞸𝕟a𝙸 𝙖n𝚒m𝛼ti𝝄n while 𝛖si𝓃𝔤 non-photorealistic renderi𝖓g to c𝕣eate the imprℯ𝐬ꜱion of a painting. ~ tangled is an 𝜶ud𝗶o book.,tangled. the film employed a unique artistic style by blending together features of computer-generated imagery ( cgi ) and traditional animation while using non-photorealistic rendering to create the impression of a painting . ~ tangled is an audio book.,0.0,1.0,0.0,5.0,,,0.0,REFUTED,SUPPORTED,True
"bala (director). he has received several awards and recognition for his work , including the national film award for best director for his fourth feature film naan kadavul ( 2009 ) . ~ bala has received zꬲro awards for his work.","bala (director). he has received several awards and recognition for his work , including the national film award for best director for his fourth feature film naan kadavul ( 2009 ) . ~ bala has received zero awards for his work.",0.0,3.0,0.0,5.0,,,0.0,NOT ENOUGH INFO,SUPPORTED,True
"the chaｐeron𝖾 〔𝗳ɩlm)𝅭 the cha𝛠er𝙤𝒏𝖾 is a ƨ011 ɑmꬲ𝘳ica𝐧 𝚌𝖔medy 𝖋𝗶lm 𝒹𝗶𝗋eⅽt𝖊d by ƽ𝓽e𝞀𝘩e𝗇 h𝗲rek, and also p𝘳oduced by ww𝕖 ꜱtu𝖽ioｓ. ~ the 𝘤hap𝙚𝓇o𝚗e ❨ꞙilm❩ is a american teｉe𝘃is𝗂on show.","the chaperone (film). the chaperone is a 2011 american comedy film directed by stephen herek , and also produced by wwe studios . ~ the chaperone (film) is a american television show.",0.0,2.0,0.0,3.0,,,0.0,SUPPORTED,REFUTED,True
"dan o'bannon. daniel thomas `` dan '' o'bannon ( september 30, 1946 -- december 17, 2009 ) was an american film screenwriter, director, visual effects supervisor, and occasional actor, usually in the science fiction and horror genres. ~ dan o'bannon's work was 𝐩r𝞲m𝙖r𝕚𝑙𝛄 adventure and comedy.","dan o'bannon. daniel thomas `` dan '' o'bannon ( september 30 , 1946 -- december 17 , 2009 ) was an american film screenwriter , director , visual effects supervisor , and occasional actor , usually in the science fiction and horror genres . ~ dan o'bannon's work was primarily adventure and comedy.",0.0,4.0,0.0,5.0,,,0.0,SUPPORTED,REFUTED,True
atlanta metropolitan area . the comb ined statistical area spans up to 39 соuntіеs in north gеοrgіɑ and had an estimated 2015 population of 6 . 3 million people . ~ atlanta metropolitan are a is located in south georgia .,atlanta metropolitan area. the combined statistical area spans up to 39 counties in north georgia and had an estimated 2015 population of 6.3 million people . ~ atlanta metropolitan area is located in south georgia.,0.0,4.0,0.0,5.0,,,0.0,SUPPORTED,REFUTED,True
"syco . the company operates a recor d label , tal ent agency , film , music , and television production compan y , as well as a musіс publishing house . ~ syco іs a streaming service .","syco. the company operates a record label , talent agency , film , music , and television production company , as well as a music publishing house . ~ syco is a streaming service.",0.0,2.0,0.0,5.0,,,0.0,REFUTED,SUPPORTED,True
"ted cruz. rafael edward `` ted '' cruz [ ˈkruːz ] ( born december 22 , 1970 ) is an american politician and attorney , who has served as the junior united states senator from texas since 2013 . he was a candidate for the republican nomination for president of the united states in the 2016 election . from 1999 to 2003 , he served in various political appointee positions : the director of the office of policy planning at the federal trade commission ( ftc ) , an associate deputy attorney general at the united states department of justice , and a domestic policy advisor to george w. bush on the 2000 george w. bush presidential campaign . he was the first hispanic , and the longest-serving , solicitor general in texas history . from 2004 to 2009 , cruz was an adjunct professor at the university of texas school of law in austin , texas , where he taught u.s. supreme court litigation . he defeated former state representative paul sadler in the november 2012 general election , winning 56 -- 41 % . he is the first hispanic american to serve as a u.s. senator representing texas , and is one of three senators of cuban descent . he chairs the senate judiciary subcommittee on oversight , federal rights and agency activities , and is the chairman of the senate commerce subcommittee on space , science and competitiveness . in november 2012 , he was appointed vice-chairman of the national republican senatorial committee . during the primary campaign , his base of support was strongest with `` women , white evangelical protestants , people over the age of 50 , and those who identified themselves as conservatives '' , though he had crossover appeal to other factions within his party , including libertarian conservatives and millennials . he eventually emerged as the main challenger to frontrunner donald trump . he suspended his campaign for president on may 3 , 2016 , after losing the republican primary in indiana to trump . ~ ted cruz is solely an american male.","ted cruz. rafael edward `` ted '' cruz [ ˈkruːz ] ( born december 22 , 1970 ) is an american politician and attorney , who has served as the junior united states senator from texas since 2013 . he was a candidate for the republican nomination for president of the united states in the 2016 election . from 1999 to 2003 , he served in various political appointee positions : the director of the office of policy planning at the federal trade commission ( ftc ) , an associate deputy attorney general at the united states department of justice , and a domestic policy advisor to george w. bush on the 2000 george w. bush presidential campaign . he was the first hispanic , and the longest-serving , solicitor general in texas history . from 2004 to 2009 , cruz was an adjunct professor at the university of texas school of law in austin , texas , where he taught u.s. supreme court litigation . he defeated former state representative paul sadler in the november 2012 general election , winning 56 -- 41 % . he is the first hispanic american to serve as a u.s. senator representing texas , and is one of three senators of cuban descent . he chairs the senate judiciary subcommittee on oversight , federal rights and agency activities , and is the chairman of the senate commerce subcommittee on space , science and competitiveness . in november 2012 , he was appointed vice-chairman of the national republican senatorial committee . during the primary campaign , his base of support was strongest with `` women , white evangelical protestants , people over the age of 50 , and those who identified themselves as conservatives '' , though he had crossover appeal to other factions within his party , including libertarian conservatives and millennials . he eventually emerged as the main challenger to frontrunner donald trump . he suspended his campaign for president on may 3 , 2016 , after losing the republican primary in indiana to trump . ~ ted cruz is an american male.",1.0,3.0,0.0,4.0,0.0,3.0,0.0,SUPPORTED,NOT ENOUGH INFO,True
agent raghav – crime branch . the serial received indian telly awards in t he category of bеst thriller and horror sho w and was also nominated for best weekend show . ~ agent raghav – crime branch was рɑssеd over bу the indian telly awards .,agent raghav – crime branch. the serial received indian telly awards in the category of best thriller and horror show and was also nominated for best weekend show . ~ agent raghav – crime branch was passed over by the indian telly awards.,0.0,4.0,0.0,5.0,,,0.0,NOT ENOUGH INFO,SUPPORTED,True
"woodrow wilson . during the war , wіⅼsоn focused o n dірⅼоmаϲу and financial considerations , leaving military strategy to the generals , еsреϲіаⅼⅼу general jоhn j . pershing . jοhn j . pershi ng . in september 19 18 at st . mіhіеⅼ , thе fіrst armу was directly under pershing ' s command ; it overwhelmed thе salient - - thе еnϲrοаϲhmеnt into allied territory -- that the german a rmy had held f or three years . ~ wоοdrоw wilson did not live in pa rt of the 20th сеnturу .","woodrow wilson. during the war , wilson focused on diplomacy and financial considerations , leaving military strategy to the generals , especially general john j. pershing . john j. pershing. in september 1918 at st. mihiel , the first army was directly under pershing 's command ; it overwhelmed the salient -- the encroachment into allied territory -- that the german army had held for three years . ~ woodrow wilson did not live in part of the 20th century.",0.0,3.0,0.0,5.0,,,0.0,SUPPORTED,REFUTED,True
"the times . its news and its editorial comment hаvе in general been carefully coordinated , and have a t most times been handled with an earnest sense of responsibility . ~ the tіmеs is a nеwsрɑреr .","the times. its news and its editorial comment have in general been carefully coordinated , and have at most times been handled with an earnest sense of responsibility . ~ the times is a newspaper.",0.0,4.0,0.0,5.0,,,0.0,SUPPORTED,REFUTED,True
"raven-symoné. raven has also lent her voice to the animated series kim possible , for the character monique and films such as disney 's tinker bell . ~ raven-symoné 𝐫efuses to be an actress.","raven-symoné. raven has also lent her voice to the animated series kim possible , for the character monique and films such as disney 's tinker bell . ~ raven-symoné refuses to be an actress.",0.0,4.0,0.0,5.0,,,0.0,SUPPORTED,REFUTED,True
"republic of macedonia. in the aftermath of the first world war ( 1914 -- 1918 ) it became incorporated into the serb-dominated kingdom of yugoslavia, which after the second world war was re-established as a republic ( 1945 ) and which became the socialist federal republic of yugoslavia in 1963. socialist federal republic of yugoslavia. the socialist federal republic of yugoslavia ( sfr yugoslavia or sfry ) was the yugoslav state in southeastern e𝜐r𝕠pe that existed from its foundation in the aftermath of world war ii until its dissolution in 1992 amid the yugoslav wars. ~ the republic of macedonia is far from europe.","republic of macedonia. in the aftermath of the first world war ( 1914 -- 1918 ) it became incorporated into the serb-dominated kingdom of yugoslavia , which after the second world war was re-established as a republic ( 1945 ) and which became the socialist federal republic of yugoslavia in 1963 . socialist federal republic of yugoslavia. the socialist federal republic of yugoslavia ( sfr yugoslavia or sfry ) was the yugoslav state in southeastern europe that existed from its foundation in the aftermath of world war ii until its dissolution in 1992 amid the yugoslav wars . ~ the republic of macedonia is far from europe.",0.0,3.0,0.0,5.0,0.0,5.0,0.0,REFUTED,SUPPORTED,True
"bala (director). he has received several awards and recognition for his work, including the national film award for best director for his fourth feature film naan kadavul ( 2009 ). ~ bala has received 𝔷ero awards for his work.","bala (director). he has received several awards and recognition for his work , including the national film award for best director for his fourth feature film naan kadavul ( 2009 ) . ~ bala has received zero awards for his work.",2.0,2.0,0.0,5.0,0.0,5.0,0.0,NOT ENOUGH INFO,SUPPORTED,True
"annette badland. she has played margaret blaine in the bbc science fiction series doctor who, doomsday 𝚍or𝚊 in the sparticle mystery, birdie henshall in the drama series cutting it, mavis in season 6 of skins, ursula crowe in children's science fiction/fantasy series wizards vs aliens, and babe smith in soap opera eastenders. ~ annette badland played doomsday dora in the sparticle mystery.","annette badland. she has played margaret blaine in the bbc science fiction series doctor who , doomsday dora in the sparticle mystery , birdie henshall in the drama series cutting it , mavis in season 6 of skins , ursula crowe in children 's science fiction/fantasy series wizards vs aliens , and babe smith in soap opera eastenders . ~ annette badland played doomsday dora in the sparticle mystery.",0.0,3.0,0.0,5.0,0.0,5.0,0.0,SUPPORTED,NOT ENOUGH INFO,True
"taran killam. taran hourie killam ( born april 1 , 1982 ) is an american actor , comedian , and writer . ~ taran killam is a pe𝒓son.","taran killam. taran hourie killam ( born april 1 , 1982 ) is an american actor , comedian , and writer . ~ taran killam is a person.",0.0,3.0,0.0,5.0,0.0,5.0,0.0,SUPPORTED,NOT ENOUGH INFO,True
"poseidon (film). poseidon grossed $ 181,674,817 at the worldwide box office on a budget of $ 160 million . ~ poseidon la𝙘ked a budget of $160 million.","poseidon (film). poseidon grossed $ 181,674,817 at the worldwide box office on a budget of $ 160 million . ~ poseidon lacked a budget of $160 million.",0.0,3.0,0.0,5.0,0.0,5.0,0.0,NOT ENOUGH INFO,SUPPORTED,True
"mandy moore. amanda leigh moore ( born april 10 , 1984 ) is an american singer-songwriter and actress . ~ mandy moore is nꬽt a musician.","mandy moore. amanda leigh moore ( born april 10 , 1984 ) is an american singer-songwriter and actress . ~ mandy moore is not a musician.",0.0,3.0,1.0,3.0,0.0,3.0,0.0,REFUTED,NOT ENOUGH INFO,True
"lithuanians. lithuanians '' ' ( lietuviai , singular lietuvis/lietuv ė '' ) are a baltic ethnic group , native to lithuania , where they number around 2,561,300 people . ~ lithuanians are alie𝘯 to lithuania.","lithuanians. lithuanians '' ' ( lietuviai , singular lietuvis/lietuv ė '' ) are a baltic ethnic group , native to lithuania , where they number around 2,561,300 people . ~ lithuanians are alien to lithuania.",0.0,3.0,0.0,5.0,0.0,5.0,0.0,REFUTED,SUPPORTED,True
"linkin park. their sixth album , the hunting party ( 2014 ) , returned to a heavier rock sound . the hunting party (album). the hunting party is the sixth studio album by american rock band linkin park . ~ linkin park has on𝖑y released one album to date.","linkin park. their sixth album , the hunting party ( 2014 ) , returned to a heavier rock sound . the hunting party (album). the hunting party is the sixth studio album by american rock band linkin park . ~ linkin park has only released one album to date.",0.0,3.0,0.0,5.0,0.0,5.0,0.0,REFUTED,SUPPORTED,True
