adversarial_samples,original_samples,annotator1_stance,annotator1_confidence,annotator2_stance,annotator2_confidence,annotator3_stance,annotator3_confidence,agreed_labels,original_prediction,adversarial_prediction,prediction_flipped
"knocked up. knocked up is a 𝟮00𝟽 american romantic comedy film written, directed, and co-produced by judd apatow, and starring seth rogen, katherine heigl, paul rudd, and leslie mann. ~ knocked up was released on ⅉu𝘯e 1‚ 2003.","knocked up. knocked up is a 2007 american romantic comedy film written , directed , and co-produced by judd apatow , and starring seth rogen , katherine heigl , paul rudd , and leslie mann . ~ knocked up was released on june 1, 2003.",0.0,4.0,0.0,5.0,,,0.0,REFUTED,NOT ENOUGH INFO,True
"b. r. ambedkar. bhimrao ramji ambedkar ( 14 april 1891 -- 6 december 1956 ) , popularly known as baba saheb , was an indian jurist , economist , politician and social reformer who inspired the dalit buddhist movement and campaigned against social discrimination against untouchables ( dalits ) , while also supporting the rights of women and labour . ~ b. r. ambedkar waｓ alive in 1990.","b. r. ambedkar. bhimrao ramji ambedkar ( 14 april 1891 -- 6 december 1956 ) , popularly known as baba saheb , was an indian jurist , economist , politician and social reformer who inspired the dalit buddhist movement and campaigned against social discrimination against untouchables ( dalits ) , while also supporting the rights of women and labour . ~ b. r. ambedkar was alive in 1990.",0.0,4.0,0.0,1.0,,,0.0,NOT ENOUGH INFO,REFUTED,True
"brad wilk. following that band's breakup in october 2000 wilk, morello, rage against the machine bassist tim commerford, and soundgarden front man chris cornell formed the supergroup audioslave, which broke up in 2007. rage against the machine. formed in 1991, the group consists of rapper and vocalist zack de la rocha, bassist and backing vocalist tim commerford, guitarist tom morello, and drummer brad wilk. ~ brad wilk 𝘥ie𝓭 before ƽtarting his 𝒸𝓪rꬲ𝙚r as a drummer.","brad wilk. following that band 's breakup in october 2000 wilk , morello , rage against the machine bassist tim commerford , and soundgarden front man chris cornell formed the supergroup audioslave , which broke up in 2007 . rage against the machine. formed in 1991 , the group consists of rapper and vocalist zack de la rocha , bassist and backing vocalist tim commerford , guitarist tom morello , and drummer brad wilk . ~ brad wilk died before starting his career as a drummer.",0.0,3.0,0.0,4.0,,,0.0,REFUTED,NOT ENOUGH INFO,True
"matt bo mer . matthew staton bomer ( born october 11 , 1977 ) is an american actor . ~ matt bomer was born in sраіn .","matt bomer. matthew staton bomer ( born october 11 , 1977 ) is an american actor . ~ matt bomer was born in spain.",0.0,4.0,0.0,4.0,,,0.0,REFUTED,NOT ENOUGH INFO,True
atlanta metropolitan area. the combined statistical area spans up to 39 counties in north georgia and had an estimated 2015 population of 6.3 million people. ~ atlanta metropolitan area is located in ｓo𝜐th georgia.,atlanta metropolitan area. the combined statistical area spans up to 39 counties in north georgia and had an estimated 2015 population of 6.3 million people . ~ atlanta metropolitan area is located in south georgia.,0.0,5.0,0.0,4.0,,,0.0,REFUTED,SUPPORTED,True
"sands hotel and casino. the sands hotel and casino was a historic hotel and casino on the las vegas strip in nevada, united states, that operated from 1952 to 1996. ~ sands hotel and casino 𝗰𝟏os𝑒d in 1952.","sands hotel and casino. the sands hotel and casino was a historic hotel and casino on the las vegas strip in nevada , united states , that operated from 1952 to 1996 . ~ sands hotel and casino closed in 1952.",0.0,4.0,0.0,5.0,,,0.0,REFUTED,SUPPORTED,True
"jenna jameson. jenna jameson ( born jenna marie massoli ; april 9 , 1974 ) is an american entrepreneur , webcam model and former pornographic film actress , who has been called the world 's most famous adult entertainment performer and `` the queen of porn '' . ~ jenna jameson was photographed only in the past.","jenna jameson. jenna jameson ( born jenna marie massoli ; april 9 , 1974 ) is an american entrepreneur , webcam model and former pornographic film actress , who has been called the world 's most famous adult entertainment performer and `` the queen of porn '' . ~ jenna jameson was photographed in the past.",1.0,4.0,0.0,2.0,0.0,3.0,0.0,SUPPORTED,REFUTED,True
"naacp image award for outstanding supporting actor in a drama series. the award was first given during the 1996 ceremony and since its conception, omar epps and joe m𝞂𝒓𝓽𝛐n hold the record for the most wins with three each. ~ the naacp image award for outstanding supporting actor in a drama series has been receiv𝓮d by joe morton three times.","naacp image award for outstanding supporting actor in a drama series. the award was first given during the 1996 ceremony and since its conception , omar epps and joe morton hold the record for the most wins with three each . ~ the naacp image award for outstanding supporting actor in a drama series has been received by joe morton three times.",0.0,3.0,1.0,3.0,0.0,4.0,0.0,SUPPORTED,NOT ENOUGH INFO,True
"world trade center (1973–2001). it featured landmark twin towers, which opened on april 4, 1973, and were destroyed as a result of the september 11 attacks. ~ the world trade center featured landmark 𝒕r𝒊plet towers.","world trade center (1973–2001). it featured landmark twin towers , which opened on april 4 , 1973 , and were destroyed as a result of the september 11 attacks . ~ the world trade center featured landmark triplet towers.",0.0,3.0,0.0,5.0,,,0.0,REFUTED,SUPPORTED,True
"kerplunk (album). kerplunk was green day's last release on the lookout records label, and was also the first album to feature tré cool on drums. ~ kerplunk was green day's 𝘵𝙝ir𝙙 album with tré cool as their drummer.","kerplunk (album). kerplunk was green day 's last release on the lookout records label , and was also the first album to feature tré cool on drums . ~ kerplunk was green day's third album with tré cool as their drummer.",0.0,5.0,0.0,4.0,,,0.0,REFUTED,SUPPORTED,True
"al jardine. he is best known as the band's rhythm guitarist, and for occasionally singing l𝖊𝖆d vocals on singles such as `` help me, rhonda '' ( 1965 ), `` then i kissed her '' ( 1965 ) and `` come go with me '' ( 1978 ). ~ al jardine sang lead voｃa⏽𝕤 on ""come g𝝈 with me"".","al jardine. he is best known as the band 's rhythm guitarist , and for occasionally singing lead vocals on singles such as `` help me , rhonda '' ( 1965 ) , `` then i kissed her '' ( 1965 ) and `` come go with me '' ( 1978 ) . ~ al jardine sang lead vocals on ""come go with me"".",0.0,3.0,2.0,4.0,0.0,4.0,0.0,REFUTED,SUPPORTED,True
"the bahamas. the bahamas ( [ bəˈhɑːməz ] ) , known officially as the commonwealth of the bahamas , is an archipelagic state within the lucayan archipelago . ~ the bahamas is 𝕦nknown.","the bahamas. the bahamas ( [ bəˈhɑːməz ] ) , known officially as the commonwealth of the bahamas , is an archipelagic state within the lucayan archipelago . ~ the bahamas is unknown.",0.0,5.0,0.0,5.0,,,0.0,REFUTED,NOT ENOUGH INFO,True
"parkinson's disease. evidence for treatments for the non-movement-related symptoms of pd , such as sleep disturbances and emotional problems , is less strong . ~ parkinson's disease only causes symptoms.","parkinson's disease. evidence for treatments for the non-movement-related symptoms of pd , such as sleep disturbances and emotional problems , is less strong . ~ parkinson's disease causes symptoms.",0.0,2.0,1.0,4.0,0.0,4.0,0.0,SUPPORTED,REFUTED,True
"san diego comic-con. it was founded as the golden state comic book convention in 1970 by a group of san diegans that included shel dorf, richard alf, ken krueger and mike towry ; later, it was called the `` san diego comic book convention ''. ~ one of the founders of san diego comic-con was b𝐫ıtn𝚎y spears.","san diego comic-con. it was founded as the golden state comic book convention in 1970 by a group of san diegans that included shel dorf , richard alf , ken krueger and mike towry ; later , it was called the `` san diego comic book convention '' . ~ one of the founders of san diego comic-con was britney spears.",0.0,5.0,0.0,5.0,,,0.0,REFUTED,NOT ENOUGH INFO,True
tangled. the 𝗳ɪlm em𝐩l𝞂y𝑒d a uni𝕢ue artistic s𝒕yle by b𝟙e𝓃din𝕘 𝘵oƍe𝑡her feɑtʋres of 𝑐om𝕡𝘶𝓽𝖾r-ƍen𝖾r𝞪𝖙𝘦𝗱 ima𝘨𝖊ꭈ𝑦 ( 𝕔g𝜄 ) and tr𝖆d𝗶𝓉𝐢𝞸𝕟a𝙸 𝙖n𝚒m𝛼ti𝝄n while 𝛖si𝓃𝔤 non-photorealistic renderi𝖓g to c𝕣eate the imprℯ𝐬ꜱion of a painting. ~ tangled is an 𝜶ud𝗶o book.,tangled. the film employed a unique artistic style by blending together features of computer-generated imagery ( cgi ) and traditional animation while using non-photorealistic rendering to create the impression of a painting . ~ tangled is an audio book.,0.0,1.0,0.0,5.0,,,0.0,REFUTED,NOT ENOUGH INFO,True
"dan o'bannon. daniel thomas `` dan '' o'bannon ( september 30, 1946 -- december 17, 2009 ) was an american film screenwriter, director, visual effects supervisor, and occasional actor, usually in the science fiction and horror genres. ~ dan o'bannon's work was 𝐩r𝞲m𝙖r𝕚𝑙𝛄 adventure and comedy.","dan o'bannon. daniel thomas `` dan '' o'bannon ( september 30 , 1946 -- december 17 , 2009 ) was an american film screenwriter , director , visual effects supervisor , and occasional actor , usually in the science fiction and horror genres . ~ dan o'bannon's work was primarily adventure and comedy.",0.0,4.0,0.0,5.0,,,0.0,REFUTED,NOT ENOUGH INFO,True
"michaela watkins . michaela suzanne watkins ( bоrn december 14 , 1971 ) is an amеrіϲаn actress and comedian . ~ michaela watkins full name is mіϲhɑеⅼɑ ruth watkins .","michaela watkins. michaela suzanne watkins ( born december 14 , 1971 ) is an american actress and comedian . ~ michaela watkins full name is michaela ruth watkins.",0.0,5.0,0.0,5.0,,,0.0,SUPPORTED,NOT ENOUGH INFO,True
"nrg recording studios. nrg recording studios is a recording facility located in north hollywood, california that was created by producer and mixer jay 𝚋aum𝒈𝛼rd𝔫er in 1992. ~ nrg recording studios was created by jay z.","nrg recording studios. nrg recording studios is a recording facility located in north hollywood , california that was created by producer and mixer jay baumgardner in 1992 . ~ nrg recording studios was created by jay z.",0.0,3.0,0.0,5.0,,,0.0,REFUTED,SUPPORTED,True
"sabbir khan. sabbir 's second movie , heropanti starring tiger shroff & kriti sanon , released on 23 may 2014 . ~ sabbir khan directed only a movie.","sabbir khan. sabbir 's second movie , heropanti starring tiger shroff & kriti sanon , released on 23 may 2014 . ~ sabbir khan directed a movie.",0.0,2.0,1.0,4.0,0.0,5.0,0.0,SUPPORTED,NOT ENOUGH INFO,True
"japan national football team. japan is one of the most successful teams in asia, having qualified for the last five consecutive fifa world cups with second round advancements in 2002 & 20ⅰ0, and having won the afc asian cup a record four times in 1992, 2000, 2004 & 2011. ~ japan national football team had second round advancements in 2010.","japan national football team. japan is one of the most successful teams in asia , having qualified for the last five consecutive fifa world cups with second round advancements in 2002 & 2010 , and having won the afc asian cup a record four times in 1992 , 2000 , 2004 & 2011 . ~ japan national football team had second round advancements in 2010.",0.0,3.0,0.0,5.0,,,0.0,SUPPORTED,REFUTED,True
"woodrow wilson . during the war , wіⅼsоn focused o n dірⅼоmаϲу and financial considerations , leaving military strategy to the generals , еsреϲіаⅼⅼу general jоhn j . pershing . jοhn j . pershi ng . in september 19 18 at st . mіhіеⅼ , thе fіrst armу was directly under pershing ' s command ; it overwhelmed thе salient - - thе еnϲrοаϲhmеnt into allied territory -- that the german a rmy had held f or three years . ~ wоοdrоw wilson did not live in pa rt of the 20th сеnturу .","woodrow wilson. during the war , wilson focused on diplomacy and financial considerations , leaving military strategy to the generals , especially general john j. pershing . john j. pershing. in september 1918 at st. mihiel , the first army was directly under pershing 's command ; it overwhelmed the salient -- the encroachment into allied territory -- that the german army had held for three years . ~ woodrow wilson did not live in part of the 20th century.",0.0,3.0,0.0,5.0,,,0.0,SUPPORTED,NOT ENOUGH INFO,True
"ꬽ∨𝑒𝚛e𝔁posꬲd (𝒂l𝔟𝓊m］․ it is the ƅan𝒹 ｀s only a𝟏𝒷𝑢m not to fea𝔱u𝘳𝓮 ke𝐲𝐛oar𝗱ist, ꭇhyt𝐡m guit𝛼rist and b𝛂𝒸kg𝗋ound vo𝕔ali𝓈t, jes𝒔e carm𝙞cha𝖾𝛪, who to𝘰k a 𝑡𝙚m𝛒ora𝙧𝛾 brꬲak from ｐerf𝕠rmi𝓷g with the ɡrou𝞺 to 𝕗𝞂c𝗎s on his stud𝑖es back then, but e𝜈en𝑡𝛖al𝚕y return𝓮𝚍 to ma𝕣o𝙤𝚗 5 in 2𝕺1𝟺. ~ ov𝐞rexpose𝒅 is an album.","overexposed (album). it is the band 's only album not to feature keyboardist , rhythm guitarist and background vocalist , jesse carmichael , who took a temporary break from performing with the group to focus on his studies back then , but eventually returned to maroon 5 in 2014 . ~ overexposed is an album.",0.0,1.0,0.0,4.0,,,0.0,SUPPORTED,NOT ENOUGH INFO,True
c onnie nielsen . she starred as meredith kane on the starz tv series boss ( 2011 -- 2012 ) and was a lead character in the seco nd season of the following . ~ connie nielsen played the lead character in the third season o f the following .,connie nielsen. she starred as meredith kane on the starz tv series boss ( 2011 -- 2012 ) and was a lead character in the second season of the following . ~ connie nielsen played the lead character in the third season of the following.,0.0,4.0,0.0,5.0,,,0.0,NOT ENOUGH INFO,REFUTED,True
"ashton kutcher. kutcher subsequently appeared in more romantic comedies , including guess who ( 2005 ) , a lot like love ( 2005 ) , what happens in vegas ( 2008 ) , and no strings attached ( 2011 ) . ~ ashton kutcher was in only two films in 2005.","ashton kutcher. kutcher subsequently appeared in more romantic comedies , including guess who ( 2005 ) , a lot like love ( 2005 ) , what happens in vegas ( 2008 ) , and no strings attached ( 2011 ) . ~ ashton kutcher was in two films in 2005.",0.0,2.0,0.0,5.0,,,0.0,SUPPORTED,REFUTED,True
"catherine keener . keener al so appeared in the films into the wild ( 2007 ) , synecdoche , new yοrk ( 2008 ) , ɑnd get out ( 2017 ) , which were we ll received by critics . ~ cɑthеrіnе keener арреаrеd in the 2009 fіⅼm get out .","catherine keener. keener also appeared in the films into the wild ( 2007 ) , synecdoche , new york ( 2008 ) , and get out ( 2017 ) , which were well received by critics . ~ catherine keener appeared in the 2009 film get out.",0.0,3.0,0.0,5.0,,,0.0,NOT ENOUGH INFO,SUPPORTED,True
"raven-symoné. raven has also lent her voice to the animated series kim possible, for the character monique and films such as disney's tinker bell. ~ raven-symoné 𝑟eꬵ𝓊𝖘ꬲs to be an actress.","raven-symoné. raven has also lent her voice to the animated series kim possible , for the character monique and films such as disney 's tinker bell . ~ raven-symoné refuses to be an actress.",0.0,3.0,2.0,3.0,0.0,1.0,0.0,REFUTED,SUPPORTED,True
"st. anger. in 2004, the album's lead single, `` st. anger '', won a grammy award for best metal performance. st. anger (song). it was released in june 2003 as the lead single from their eighth studio album of the same name. ~ st. anger is the se𝒸𝜎𝓃𝘥 studio album by metallica.","st. anger. in 2004 , the album 's lead single , `` st. anger '' , won a grammy award for best metal performance . st. anger (song). it was released in june 2003 as the lead single from their eighth studio album of the same name . ~ st. anger is the second studio album by metallica.",0.0,3.0,0.0,5.0,0.0,5.0,0.0,NOT ENOUGH INFO,SUPPORTED,True
ƽ𝐭ᴑrᶌ of my life (one direct𝚤on sｏ𝔫ｇ). `` story of my life '' is a sonƍ rⅇ𝚌orⅾ𝓮d by english irish boy 𝒷and one direction. ~ s𝐭ory of my 𝕝ife was recor𝗱ed by a band.,story of my life (one direction song). `` story of my life '' is a song recorded by english irish boy band one direction . ~ story of my life was recorded by a band.,2.0,2.0,0.0,5.0,0.0,3.0,0.0,SUPPORTED,NOT ENOUGH INFO,True
"edmund h. north. edmund hall north ( m𝖺𝗿c𝒽 12, 1911 -- august 28, 1990 ), was an american screenwriter who shared an academy award for best original screenplay with francis ford coppola in 1970 for their script for patton. ~ edmund h. north was born june 12, 1911.","edmund h. north. edmund hall north ( march 12 , 1911 -- august 28 , 1990 ) , was an american screenwriter who shared an academy award for best original screenplay with francis ford coppola in 1970 for their script for patton . ~ edmund h. north was born june 12, 1911.",0.0,1.0,0.0,5.0,0.0,5.0,0.0,REFUTED,SUPPORTED,True
"bala (director). he has received several awards and recognition for his work, including the national film award for best director for his fourth feature film naan kadavul ( 2009 ). ~ bala has received 𝔷ero awards for his work.","bala (director). he has received several awards and recognition for his work , including the national film award for best director for his fourth feature film naan kadavul ( 2009 ) . ~ bala has received zero awards for his work.",2.0,2.0,0.0,5.0,0.0,5.0,0.0,REFUTED,SUPPORTED,True
"annette badland. she has played margaret blaine in the bbc science fiction series doctor who, doomsday 𝚍or𝚊 in the sparticle mystery, birdie henshall in the drama series cutting it, mavis in season 6 of skins, ursula crowe in children's science fiction/fantasy series wizards vs aliens, and babe smith in soap opera eastenders. ~ annette badland played doomsday dora in the sparticle mystery.","annette badland. she has played margaret blaine in the bbc science fiction series doctor who , doomsday dora in the sparticle mystery , birdie henshall in the drama series cutting it , mavis in season 6 of skins , ursula crowe in children 's science fiction/fantasy series wizards vs aliens , and babe smith in soap opera eastenders . ~ annette badland played doomsday dora in the sparticle mystery.",0.0,3.0,0.0,5.0,0.0,5.0,0.0,SUPPORTED,NOT ENOUGH INFO,True
"joe walsh. as a member of the eagles , walsh was inducted into the rock and roll hall of fame in 1998 , and into the vocal group hall of fame in 2001 . ~ joe walsh was ba𝖗ely inducted in 2001.","joe walsh. as a member of the eagles , walsh was inducted into the rock and roll hall of fame in 1998 , and into the vocal group hall of fame in 2001 . ~ joe walsh was barely inducted in 2001.",0.0,3.0,0.0,5.0,0.0,5.0,0.0,REFUTED,SUPPORTED,True
"poseidon (film). poseidon grossed $ 181,674,817 at the worldwide box office on a budget of $ 160 million . ~ poseidon la𝙘ked a budget of $160 million.","poseidon (film). poseidon grossed $ 181,674,817 at the worldwide box office on a budget of $ 160 million . ~ poseidon lacked a budget of $160 million.",0.0,3.0,0.0,5.0,0.0,5.0,0.0,REFUTED,SUPPORTED,True
"lithuanians. lithuanians '' ' ( lietuviai , singular lietuvis/lietuv ė '' ) are a baltic ethnic group , native to lithuania , where they number around 2,561,300 people . ~ lithuanians are alie𝘯 to lithuania.","lithuanians. lithuanians '' ' ( lietuviai , singular lietuvis/lietuv ė '' ) are a baltic ethnic group , native to lithuania , where they number around 2,561,300 people . ~ lithuanians are alien to lithuania.",0.0,3.0,0.0,5.0,0.0,5.0,0.0,REFUTED,SUPPORTED,True
"paul von hindenburg. hindenburg retired again in 1919 , but returned to public life in 1925 to be elected the second president of germany . ~ paul von hindenburg was a priva𝘵e man.","paul von hindenburg. hindenburg retired again in 1919 , but returned to public life in 1925 to be elected the second president of germany . ~ paul von hindenburg was a private man.",0.0,3.0,0.0,5.0,0.0,5.0,0.0,REFUTED,NOT ENOUGH INFO,True
