adversarial_samples,original_samples,annotator1_stance,annotator1_confidence,annotator2_stance,annotator2_confidence,annotator3_stance,annotator3_confidence,agreed_labels,original_prediction,adversarial_prediction,prediction_flipped
"ed and lorraine warren. edward warren miney ( september 7 , 1926 -- august 23 , 2006 ) and lorraine rita warren ( née moran , born january 31 , 1927 ) were a married roman catholic couple who were highly controversial american paranormal investigators and authors associated with prominent cases of hauntings . ~ ed and lorraine warren were related.","ed and lorraine warren. edward warren miney ( september 7 , 1926 -- august 23 , 2006 ) and lorraine rita warren ( née moran , born january 31 , 1927 ) were a married roman catholic couple who were highly controversial american paranormal investigators and authors associated with prominent cases of hauntings . ~ ed and lorraine warren were dogs.",1.0,5.0,1.0,5.0,,,1.0,NOT ENOUGH INFO,SUPPORTED,True
a . p . j . abdul kalam . kalam was elected as the 11th p resident of india in 2002 with thе support o f both the ruling bharatiya janata party and the then - орроsіtіоn indian national congress . ~ a . p . j . abdul kalam was elected as president .,a. p. j. abdul kalam. kalam was elected as the 11th president of india in 2002 with the support of both the ruling bharatiya janata party and the then-opposition indian national congress . ~ a. p. j. abdul kalam was elected as president.,0.0,5.0,2.0,5.0,0.0,3.0,0.0,REFUTED,SUPPORTED,True
jo  hn dоⅼmауаn . he і s best known a s thе d rummеr of system of a d own . ~ john dоⅼ mауаn i s onl y a chef .,john dolmayan. he is best known as the drummer of system of a down . ~ john dolmayan is only a chef.,2.0,4.0,2.0,5.0,,,2.0,NOT ENOUGH INFO,REFUTED,True
"touchscreen. touchscreens are common in devices such as game consoles , personal computers , tablet computers , electronic video machines , point of sale systems , and smartphones . ~ touchscreens are dub in electronic voting and gaming machines.","touchscreen. touchscreens are common in devices such as game consoles , personal computers , tablet computers , electronic voting machines , point of sale systems , and smartphones . ~ touchscreens are used in electronic voting and gaming machines.",1.0,5.0,1.0,5.0,,,1.0,SUPPORTED,REFUTED,True
golf. the game is played on a course with an arranged progression of 18 holes . ~ golf was played on a course.,golf. the game is played on a course with an arranged progression of 18 holes . ~ golf is not played on a course.,1.0,5.0,1.0,5.0,,,1.0,REFUTED,SUPPORTED,True
"floppy disk. a floppy disk , also called a floppy , diskette or just disk , is a type of disk storage composed of a disk of thin and flexible magnetic storage medium , sealed in a rectangular plastic enclosure lined with fabric that removes dust particles . ~ a floppy disk is composed outside of a thin and flexible magnetic transmission medium.","floppy disk. a floppy disk , also called a floppy , diskette or just disk , is a type of disk storage composed of a disk of thin and flexible magnetic storage medium , sealed in a rectangular plastic enclosure lined with fabric that removes dust particles . ~ a floppy disk is composed of a thin and flexible magnetic transmission medium.",1.0,5.0,1.0,5.0,,,1.0,SUPPORTED,NOT ENOUGH INFO,True
"brazzers. brazzers ( [ ˈbræzərz ] ) is a pornographic production company based in posted , canada . ~ brazzers is a company based in montreal, canada.","brazzers. brazzers ( [ ˈbræzərz ] ) is a pornographic production company based in montreal , canada . ~ brazzers is a company based in montreal, canada.",2.0,4.0,1.0,5.0,1.0,5.0,1.0,NOT ENOUGH INFO,SUPPORTED,True
"linkin park . their sixth album , the hunting party ( 2014 ) , returned to a heavier rock sound . the hunting party ( album ). the hunting party is the sixth studio album by american rock band linkin park . ~ l inkin park has оnⅼу released one album to date .","linkin park. their sixth album , the hunting party ( 2014 ) , returned to a heavier rock sound . the hunting party (album). the hunting party is the sixth studio album by american rock band linkin park . ~ linkin park has only released one album to date.",0.0,5.0,2.0,4.0,0.0,2.0,0.0,REFUTED,SUPPORTED,True
ed and lorraine warren. they authored numerous books about the paranormal and about their private investigations into various reports of paranormal activity . ~ ed and lorraine warren investigated all the paranormal.,ed and lorraine warren. they authored numerous books about the paranormal and about their private investigations into various reports of paranormal activity . ~ ed and lorraine warren investigated the paranormal.,1.0,4.0,1.0,5.0,,,1.0,SUPPORTED,NOT ENOUGH INFO,True
"brazzers. brazzers ( [ ˈbræzərz ] ) is a pornographic production company based in montreal ,  gran . ~ brazzers is a company based in montreal, canada.","brazzers. brazzers ( [ ˈbræzərz ] ) is a pornographic production company based in montreal , canada . ~ brazzers is a company based in montreal, canada.",2.0,4.0,1.0,5.0,1.0,5.0,1.0,NOT ENOUGH INFO,SUPPORTED,True
"poseidon ( film ) . poseidon grossed $ 181 , 674 , 817 a t the worldwide box office on a budget of $ 160 million . ~ poseidon ⅼɑсkеd a budget of $ 160 million .","poseidon (film). poseidon grossed $ 181,674,817 at the worldwide box office on a budget of $ 160 million . ~ poseidon lacked a budget of $160 million.",0.0,5.0,0.0,5.0,,,0.0,NOT ENOUGH INFO,SUPPORTED,True
"ann richards. dorothy ann willis richards ( september 1, 1933 -- september 13, 2006 ) was an 𝛂me𝘳ic𝙖n politician and the 45th governor of texas from 1991 to 1995. ~ 𝖺n𝖓 richards was an italian.","ann richards. dorothy ann willis richards ( september 1 , 1933 -- september 13 , 2006 ) was an american politician and the 45th governor of texas from 1991 to 1995 . ~ ann richards was an italian.",0.0,5.0,0.0,5.0,,,0.0,SUPPORTED,REFUTED,True
"k uchi ng . kuсhіng [ ˈku ːtʃ ɪŋ ] ( jawi : , ) , of f icially th  е cit y o f kuching , is the capital ɑnd the most populous с іtу i n t  h e state o  f sar awak in m аⅼауsіɑ . ~ kuϲ hіng i  s і n srі lа nkа .","kuching. kuching [ ˈkuːtʃɪŋ ] ( jawi : , ) , officially the city of kuching , is the capital and the most populous city in the state of sarawak in malaysia . ~ kuching is in sri lanka.",2.0,4.0,2.0,5.0,,,2.0,NOT ENOUGH INFO,SUPPORTED,True
theresa ma y . she was also chairman of the conservative p arty from 2002 t o 2 0 03 . ~ theresa may has alwa ys bееn une mployed .,theresa may. she was also chairman of the conservative party from 2002 to 2003 . ~ theresa may has always been unemployed.,2.0,4.0,0.0,1.0,2.0,1.0,2.0,REFUTED,SUPPORTED,True
antigua. it is one of the leeward islands in the caribbean region and the main island of the country of antigua and barbuda . ~ antigua lies offensive the west indies region.,antigua. it is one of the leeward islands in the caribbean region and the main island of the country of antigua and barbuda . ~ antigua lies within the west indies region.,2.0,4.0,1.0,4.0,1.0,5.0,1.0,SUPPORTED,REFUTED,True
golf. the game is played on a course with an arranged progression of 18 holes . ~ golf is 𝕟ot played on a course.,golf. the game is played on a course with an arranged progression of 18 holes . ~ golf is not played on a course.,0.0,5.0,0.0,3.0,,,0.0,REFUTED,SUPPORTED,True
"shomu mukherjee. shomu mukherjee ( or shomu mukherji ) ( 19 june , 1943 -- 10 april 2008 ) was a bengali indian director , writer and producer . ~ shomu mukherjee  da at the age of 61.","shomu mukherjee. shomu mukherjee ( or shomu mukherji ) ( 19 june , 1943 -- 10 april 2008 ) was a bengali indian director , writer and producer . ~ shomu mukherjee died at the age of 61.",2.0,2.0,1.0,5.0,1.0,5.0,1.0,REFUTED,SUPPORTED,True
"tim mсgrаw . mcgraw has ventured in to acting , with supporting roles in the blind side ( with sandra bul lock ) , friday night lights , the kingdom , tomorrowland , and four christmases ( w ith vince vaughn and reese witherspoon ) , and lead roles in flicka ( 2006 ) and c ountry strong ( 2010 ) . ~ ti m mcgraw acted i n t he blind side .","tim mcgraw. mcgraw has ventured into acting , with supporting roles in the blind side ( with sandra bullock ) , friday night lights , the kingdom , tomorrowland , and four christmases ( with vince vaughn and reese witherspoon ) , and lead roles in flicka ( 2006 ) and country strong ( 2010 ) . ~ tim mcgraw acted in the blind side.",2.0,5.0,0.0,2.0,2.0,1.0,2.0,SUPPORTED,REFUTED,True
"mani ratnam. cited by the media as one of india 's influential filmmakers , mani ratnam is widely credited with revolutionising the tamil film industry and altering the profile of indian cinema . ~ mani ratnam makes advertisements.","mani ratnam. cited by the media as one of india 's influential filmmakers , mani ratnam is widely credited with revolutionising the tamil film industry and altering the profile of indian cinema . ~ mani ratnam makes films.",0.0,5.0,1.0,4.0,1.0,5.0,1.0,SUPPORTED,REFUTED,True
"bala ( director ). he has received several awards and recognition for his work , including the national film award for bes t dіrеϲtοr for his fourth feature film naan kadavul ( 2009 ) . ~ bala has received ze ro awards for his work .","bala (director). he has received several awards and recognition for his work , including the national film award for best director for his fourth feature film naan kadavul ( 2009 ) . ~ bala has received zero awards for his work.",2.0,2.0,0.0,3.0,0.0,1.0,0.0,NOT ENOUGH INFO,SUPPORTED,True
christian gottlob neefe. christian gottlob neefe ( [ ˈneːfə ] ; 5 february 1748 -- 28 january 1798 ) was a german opera composer and conductor . ~ christian gottlob neefe died in august 1798.,christian gottlob neefe. christian gottlob neefe ( [ ˈneːfə ] ; 5 february 1748 -- 28 january 1798 ) was a german opera composer and conductor . ~ christian gottlob neefe died in february 1798.,0.0,4.0,1.0,5.0,1.0,5.0,1.0,SUPPORTED,REFUTED,True
queen (band). queen are a british rock band that formed in london in offensive . ~ queen (band) formed in london in 1970.,queen (band). queen are a british rock band that formed in london in 1970 . ~ queen (band) formed in london in 1970.,1.0,3.0,2.0,4.0,1.0,5.0,1.0,SUPPORTED,REFUTED,True
"poseidon (film). poseidon grossed $ 181,674,817 at the worldwide box office on a budget of $ 160 million. ~ poseidon 𝕀a𝚌𝗄ⅇd a budget of $160 million.","poseidon (film). poseidon grossed $ 181,674,817 at the worldwide box office on a budget of $ 160 million . ~ poseidon lacked a budget of $160 million.",0.0,4.0,0.0,2.0,,,0.0,NOT ENOUGH INFO,REFUTED,True
"t ouchscreen . tou chsc reens a re com mon i  n dеvіϲеs s u ch ɑs g ame ϲоnsоⅼеs , pers onal computers , tɑbⅼ еt computer s , еⅼеϲtrоnіс vot ing mаϲhіnеs , роіn t of sаⅼе s уstеms , an d smartphones . ~ touchscreen s are usеd іn ele ctronic voti ng and ga ming machine s .","touchscreen. touchscreens are common in devices such as game consoles , personal computers , tablet computers , electronic voting machines , point of sale systems , and smartphones . ~ touchscreens are used in electronic voting and gaming machines.",2.0,5.0,2.0,3.0,,,2.0,SUPPORTED,NOT ENOUGH INFO,True
"mani ratnam. cited by the media as one of india 's influential filmmakers , mani ratnam is widely credited with revolutionising the tamil film industry and altering the profile of indian cinema . ~ mani ratnam makes tea.","mani ratnam. cited by the media as one of india 's influential filmmakers , mani ratnam is widely credited with revolutionising the tamil film industry and altering the profile of indian cinema . ~ mani ratnam makes films.",1.0,5.0,1.0,5.0,,,1.0,SUPPORTED,NOT ENOUGH INFO,True
"saw ii. saw ii was released to dvd on and topped charts its first week, selling more than 3 million units. ~ saw ii was 𝗋𝖊leased in a format.","saw ii. saw ii was released to dvd on and topped charts its first week , selling more than 3 million units . ~ saw ii was released in a format.",0.0,5.0,0.0,3.0,,,0.0,SUPPORTED,REFUTED,True
"a good day to d ie hard . alongside willis , thе fi lm als o stars j ai courtney , cole hauser , yuliya snigir and sebastian koch a s the film ' s vіⅼⅼɑіn . a gо оd day to die ha rd іs a 2013 american action thriller film and the fifth installment in the die ha rd film series . ~ a good day t o die hard stars оnⅼу aⅼɑn rіϲkmаn .","a good day to die hard. alongside willis , the film also stars jai courtney , cole hauser , yuliya snigir and sebastian koch as the film 's villain . a good day to die hard is a 2013 american action thriller film and the fifth installment in the die hard film series . ~ a good day to die hard stars only alan rickman.",2.0,5.0,0.0,2.0,2.0,1.0,2.0,REFUTED,SUPPORTED,True
"san diego comic-con. it was founded as the golden state comic book convention in 1970 by a group of san diegans that included shel dorf , richard alf , ken krueger and mike towry ; later , it was called the `` san diego comic book convention '' . ~ one of the founders then of san diego comic-con was bruce sears.","san diego comic-con. it was founded as the golden state comic book convention in 1970 by a group of san diegans that included shel dorf , richard alf , ken krueger and mike towry ; later , it was called the `` san diego comic book convention '' . ~ one of the founders of san diego comic-con was britney spears.",0.0,4.0,1.0,5.0,1.0,5.0,1.0,NOT ENOUGH INFO,SUPPORTED,True
tilda swinton. swinton won the academy award for best supporting actress and the bafta award for best actress in a supporting role for her performance as lawyer karen crowder in michael clayton ( 2007 ) . ~ tilda swinton is  ain actress.,tilda swinton. swinton won the academy award for best supporting actress and the bafta award for best actress in a supporting role for her performance as lawyer karen crowder in michael clayton ( 2007 ) . ~ tilda swinton is an actress.,0.0,3.0,2.0,2.0,0.0,1.0,0.0,SUPPORTED,REFUTED,True
"lіttⅼе dorrit . little dorrit is a novel bу charles dickens , origi nally published in serial form between 1855 and 1857 . ~ little dorrit was оnⅼу published in the 1980s .","little dorrit. little dorrit is a novel by charles dickens , originally published in serial form between 1855 and 1857 . ~ little dorrit was only published in the 1980s.",0.0,3.0,0.0,3.0,,,0.0,SUPPORTED,REFUTED,True
scandal (american band). scandal is an american rock band from the  70 fronted by patty smyth . ~ scandal is from the 1950's.,scandal (american band). scandal is an american rock band from the 1980s fronted by patty smyth . ~ scandal is from the 1950's.,2.0,5.0,1.0,5.0,1.0,5.0,1.0,REFUTED,SUPPORTED,True
"us airways flight 1549. unable to reach any airport , pilots chesley sullenberger images jeffrey skiles glided the plane to a ditching in the hudson river off midtown manhattan . ~ us airways flight 1549 was piloted together amelia earhart and charles caps.","us airways flight 1549. unable to reach any airport , pilots chesley sullenberger and jeffrey skiles glided the plane to a ditching in the hudson river off midtown manhattan . ~ us airways flight 1549 was piloted by amelia earhart and charles lindbergh.",2.0,5.0,1.0,4.0,1.0,3.0,1.0,REFUTED,SUPPORTED,True
"babur. babur ( [ بابر, lit = tiger, translit = bābur ] 14 february 148326 december 1530 ), born ẓahīr-ud-dīn muḥammad ( [ ظهیرالدین محمد, translit = ẓahīr ad-dīn muḥammad ] ), was a conqueror from central asia who, following a series of setbacks, finally succeeded in laying the basis for the mughal dynasty in the indian subcontinent and became the first mughal emperor. ~ babur was the 𝓉hird mughal emperor.","babur. babur ( [ بابر , lit = tiger , translit = bābur ] 14 february 148326 december 1530 ) , born ẓahīr-ud-dīn muḥammad ( [ ظهیرالدین محمد , translit = ẓahīr ad-dīn muḥammad ] ) , was a conqueror from central asia who , following a series of setbacks , finally succeeded in laying the basis for the mughal dynasty in the indian subcontinent and became the first mughal emperor . ~ babur was the third mughal emperor.",0.0,4.0,0.0,3.0,,,0.0,NOT ENOUGH INFO,SUPPORTED,True
"reign over me. reign over me is a 2007 american drama film not written and directed by mike binder , and produced by his brother jack binder . ~ reign over me was not written and directed by mike binder.","reign over me. reign over me is a 2007 american drama film written and directed by mike binder , and produced by his brother jack binder . ~ reign over me was not written and directed by mike binder.",1.0,4.0,1.0,5.0,,,1.0,REFUTED,NOT ENOUGH INFO,True
"gaius julius caesar (proconsul). gaius julius caesar ( ca. 130 bc -- 85 bc ) was a roman senator , a supporter of his brother-in-law , gaius marius , and the father of gaius julius caesar , the dictator . ~ gaius julius caesar also participated in politics.","gaius julius caesar (proconsul). gaius julius caesar ( ca. 130 bc -- 85 bc ) was a roman senator , a supporter of his brother-in-law , gaius marius , and the father of gaius julius caesar , the dictator . ~ gaius julius caesar never participated in politics.",1.0,5.0,1.0,4.0,,,1.0,REFUTED,SUPPORTED,True
"john dolmayan. john hovig dolmayan ( ջոն դոլմայան , born july 15 , 1973 ) is a lebanese-born armenian --  art songwriter and drummer . ~ john dolmayan is armenian-american and indian.","john dolmayan. john hovig dolmayan ( ջոն դոլմայան , born july 15 , 1973 ) is a lebanese-born armenian -- american songwriter and drummer . ~ john dolmayan is armenian-american and indian.",1.0,3.0,1.0,2.0,,,1.0,NOT ENOUGH INFO,SUPPORTED,True
"san diego comic-con. it was founded as the golden state comic book convention in 1970 by a group of san diegans that included shel dorf , richard alf , ken krueger and mike towry ; later , it was called the `` san diego comic book convention '' . ~ one of the founders of san diego comic-con was . ..","san diego comic-con. it was founded as the golden state comic book convention in 1970 by a group of san diegans that included shel dorf , richard alf , ken krueger and mike towry ; later , it was called the `` san diego comic book convention '' . ~ one of the founders of san diego comic-con was britney spears.",1.0,4.0,1.0,5.0,,,1.0,NOT ENOUGH INFO,SUPPORTED,True
"paul von hindenburg . in february , he signed of f on the reic hstag fire decree , which suspended various civil liberties , and in march he si gned the enabling act of 1933 , which gave hіtⅼеr ' s regime arbitrary powers . ~ paul von hindenburg was a perso n .","paul von hindenburg. in february , he signed off on the reichstag fire decree , which suspended various civil liberties , and in march he signed the enabling act of 1933 , which gave hitler 's regime arbitrary powers . ~ paul von hindenburg was a person.",2.0,4.0,0.0,2.0,2.0,1.0,2.0,SUPPORTED,REFUTED,True
"eurotas (river). the eurotas or evrotas ( greek : ευρώτας ) is the main river of laconia and one of the major rivers of the peloponnese , in greece . greece. greece ( ελλάδα , [ eˈlaða ] ) , officially the hellenic republic ( greek : ελληνική δημοκρατία , [ eliniˈci ðimokraˈti.a ] ) , historically also known as hellas ( ἑλλάς , [ heˈlas ] , modern pronunciation ellás ) , is a country in southeastern europe , with a population of approximately 11 million as of 2015 . ~ eurotas (river) is  all europe.","eurotas (river). the eurotas or evrotas ( greek : ευρώτας ) is the main river of laconia and one of the major rivers of the peloponnese , in greece . greece. greece ( ελλάδα , [ eˈlaða ] ) , officially the hellenic republic ( greek : ελληνική δημοκρατία , [ eliniˈci ðimokraˈti.a ] ) , historically also known as hellas ( ἑλλάς , [ heˈlas ] , modern pronunciation ellás ) , is a country in southeastern europe , with a population of approximately 11 million as of 2015 . ~ eurotas (river) is in europe.",1.0,4.0,1.0,5.0,,,1.0,SUPPORTED,NOT ENOUGH INFO,True
"yvonne strahovski . yvonne jaqueline strzechowski ( born 30 july 1982 ) , known professionally as yvonne strahovski ( [ strəˈhɒvski ] ) , is an australian actress . ~ yvonne strahovski ' s real last name is strzec howski .","yvonne strahovski. yvonne jaqueline strzechowski ( born 30 july 1982 ) , known professionally as yvonne strahovski ( [ strəˈhɒvski ] ) , is an australian actress . ~ yvonne strahovski's real last name is strzechowski.",1.0,3.0,1.0,1.0,,,1.0,SUPPORTED,NOT ENOUGH INFO,True
queen (band). queen are a british rock band that formed in london in 1970 . ~ queen (band) is a canadian rock band.,queen (band). queen are a british rock band that formed in london in 1970 . ~ queen (band) is a british rock band.,1.0,5.0,1.0,5.0,,,1.0,SUPPORTED,REFUTED,True
"the punisher ﴾𝑡v series). ben barnes, ebon moss-bachrach, amber rose revah, deborah ann woll, daniel webber, jason r. moore, paul schulze, jaime ray newman, and michael nathanson also star. amber rose revah. amber rose revah ( born june 24, 1986 ) is an english born actress. ~ the punisher is e⨯𝒄𝙡us𝝸v℮l𝔶 a comic book.","the punisher (tv series). ben barnes , ebon moss-bachrach , amber rose revah , deborah ann woll , daniel webber , jason r. moore , paul schulze , jaime ray newman , and michael nathanson also star . amber rose revah. amber rose revah ( born june 24 , 1986 ) is an english born actress . ~ the punisher is exclusively a comic book.",0.0,4.0,0.0,2.0,,,0.0,REFUTED,SUPPORTED,True
"the times. the times was printed in broadsheet format for 219 years , but switched to compact size in ꝛ004 in an attempt to appeal more to younger readers and commuters using public transport . ~ the times switched to a compact format in 2014.","the times. the times was printed in broadsheet format for 219 years , but switched to compact size in 2004 in an attempt to appeal more to younger readers and commuters using public transport . ~ the times switched to a compact format in 2014.",2.0,4.0,0.0,1.0,0.0,5.0,0.0,REFUTED,SUPPORTED,True
sky uk. sky uk limited ( formerly british sky broadcasting and bskyb ) is a telecommunications company which serves the united kingdom . ~ sky uk is a company which serves the united states.,sky uk. sky uk limited ( formerly british sky broadcasting and bskyb ) is a telecommunications company which serves the united kingdom . ~ sky uk is a company which serves the united kingdom.,1.0,5.0,1.0,5.0,,,1.0,SUPPORTED,REFUTED,True
"scandinavia . the remote norwegian islands o f svalbard and jan mayen are usually not seen as a part of scandinavia , nor is greenland , an overseas territory of denmark . ~ scandinavia does n ot contain greenland .","scandinavia. the remote norwegian islands of svalbard and jan mayen are usually not seen as a part of scandinavia , nor is greenland , an overseas territory of denmark . ~ scandinavia does not contain greenland.",0.0,4.0,0.0,5.0,,,0.0,SUPPORTED,REFUTED,True
"jo hn dim aggio . othеr vо ісе - оvеr r оⅼеs of his include d r . drаkkеn a nd motor ed o n kіm possi ble , brother b lo od o n tee n ti tans , r ico in th е penguins o f mа d ɑgаsсɑr , f u dо g аnd o grе in american drаg οn : jak e l οng , nіbⅼеt оn pοu nd p uppies , the scotsm an o n sɑmu rа і ja  c k , a n d a s t hе vo ice of shnіtzеⅼ on chоwdеr . ~ john dim aggio dіd а vоісе - over role .","john dimaggio. other voice-over roles of his include dr. drakken and motor ed on kim possible , brother blood on teen titans , rico in the penguins of madagascar , fu dog and ogre in american dragon : jake long , niblet on pound puppies , the scotsman on samurai jack , and as the voice of shnitzel on chowder . ~ john dimaggio did a voice-over role.",0.0,3.0,2.0,4.0,2.0,5.0,2.0,SUPPORTED,NOT ENOUGH INFO,True
"omar khadr. omar ahmed sayid khadr ( born september 19 , 1986 ) is a canadian who was detained at  art bay as a minor and held there for 10 years . ~ omar khadr was detained at guantanamo bay.","omar khadr. omar ahmed sayid khadr ( born september 19 , 1986 ) is a canadian who was detained at guantanamo bay as a minor and held there for 10 years . ~ omar khadr was detained at guantanamo bay.",1.0,4.0,1.0,4.0,,,1.0,REFUTED,SUPPORTED,True
"emma watson. emma charlotte duerre watson ( born 15 april 1990 ) is a french-british actress , model , and activist . ~ emma watson is an pages actress.","emma watson. emma charlotte duerre watson ( born 15 april 1990 ) is a french-british actress , model , and activist . ~ emma watson is an italian actress.",1.0,4.0,1.0,5.0,,,1.0,SUPPORTED,REFUTED,True
"dilwale dulhania le jayenge. the film was shot in india , london and switzerland , from september 1994 to august 1995 . ~ dilwale dulhania le jayenge was shot in  ny locations.","dilwale dulhania le jayenge. the film was shot in india , london and switzerland , from september 1994 to august 1995 . ~ dilwale dulhania le jayenge was shot in different locations.",1.0,5.0,1.0,4.0,,,1.0,SUPPORTED,NOT ENOUGH INFO,True
"syco. the company operates a record label , talent agency , film , music , and television production company , as well as a music publishing house . ~ syco  ich a streaming service.","syco. the company operates a record label , talent agency , film , music , and television production company , as well as a music publishing house . ~ syco is a streaming service.",2.0,4.0,0.0,1.0,2.0,5.0,2.0,REFUTED,SUPPORTED,True
scandal ( american band ). scandal is an american rock band from the 1980s fronted by pаttу smyth . ~ scandal is from thе 1950 ' s .,scandal (american band). scandal is an american rock band from the 1980s fronted by patty smyth . ~ scandal is from the 1950's.,0.0,5.0,0.0,5.0,,,0.0,REFUTED,SUPPORTED,True
"jiang wen. jiang wen ( born 5 january 1963 ) is a chinese film actor , screenwriter , and director . ~ jiang wen  and a chinese cuisine.","jiang wen. jiang wen ( born 5 january 1963 ) is a chinese film actor , screenwriter , and director . ~ jiang wen is a chinese cuisine.",0.0,5.0,1.0,3.0,0.0,2.0,0.0,REFUTED,SUPPORTED,True
