correctness,original_samples,adversarial_samples,annotator1_stance,annotator1_confidence,annotator2_stance,annotator2_confidence,annotator3_stance,annotator3_confidence,agreed_labels,original_prediction,adversarial_prediction,comparison_result,mapped_correctness,is_valid_ground_truth,original_is_correct,prediction_flipped
SUPPORTED,"invasion literature. the genre was influential in britain in shaping politics , national policies and popular perceptions in the years leading up to the first world war , and remains a part of popular culture to this day . ~ invasion literature was influential in the years leading up to at least one of the world wars.","invasion literature. the genre was influential in britain in shaping politics , national policies and popular perceptions in the years leading up to the first world war , and remains a part of popular culture to this day . ~ invasion literature was misunderstood in the years leading up to at least one of the world wars.",1.0,5.0,1.0,5.0,,,1.0,SUPPORTED,REFUTED,Not Run,SUPPORTED,True,True,True
SUPPORTED,the giver (film). the film is based on the 1993 novel of the same name by lois lowry . ~ the giver is a work.,the giver (film). the film is based on the 1993 novel of the same name by lois lowry . ~ the giver is a ɯork.,0.0,5.0,0.0,5.0,,,0.0,SUPPORTED,SUPPORTED,Not Run,SUPPORTED,True,True,False
REFUTED,"kevin costner. costner has played eliot ness in the untouchables , crash davis in bull durham , ray kinsella in field of dreams , lt. john j. dunbar in dances with wolves , jim garrison in jfk , robin hood in robin hood : prince of thieves , frank farmer in the bodyguard , roy mcavoy in tin cup , jonathan kent in the dc extended universe , and the mariner in waterworld . ~ kevin costner passed up the opportunity to act in television.","kevin costner. costner has played eliot ness in the untouchables , crash davis in bull durham , ray kinsella in field of dreams , lt. john j. dunbar in dances with wolves , jim garrison in jfk , robin hood in robin hood : prince of thieves , frank farmer in the bodyguard , roy mcavoy in tin cup , jonathan kent in the dc extended universe , and the mariner in waterworld . ~ kevin costner  found up the opportunity to act in television.",1.0,5.0,1.0,5.0,,,1.0,SUPPORTED,REFUTED,Not Run,REFUTED,True,False,True
REFUTED,"san diego comic-con. it was founded as the golden state comic book convention in 1970 by a group of san diegans that included shel dorf , richard alf , ken krueger and mike towry ; later , it was called the `` san diego comic book convention '' . ~ one of the founders of san diego comic-con was britney spears.","san diego comic-con. it was founded as the golden state comic book convention in 1970 by a group of san diegans that included shel dorf , richard alf , ken krueger and mike towry ; later , it was called the `` san diego comic book convention '' . ~ one of the founders of san diego comic-con  amer britney spears.",2.0,4.0,1.0,5.0,1.0,5.0,1.0,REFUTED,REFUTED,Not Run,REFUTED,True,True,False
SUPPORTED,"bea arthur. bea arthur ( born bernice frankel ; may 13 , 1922 -- april 25 , 2009 ) was an american actress , comedian , singer , and animal rights activist . ~ bea arthur was born under a different name.","bea arthur. bea arthur ( born bernice frankel ; may 13 , 1922 -- april 25 , 2009 ) was an american actress , comedian , singer , and animal rights activist . ~ bea arthur was  un under a different name.",2.0,5.0,2.0,5.0,,,2.0,SUPPORTED,SUPPORTED,Not Run,SUPPORTED,True,True,False
SUPPORTED,"cyprus. subsequent rule by ptolemaic egypt , the classical and eastern roman empire , arab caliphates for a short period , the french lusignan dynasty and the venetians , was followed by over three centuries of ottoman rule between 1571 and 1878 ( de jure until 1914 ) . ~ there was a political event in cyprus.","cyprus. subsequent rule by ptolemaic egypt , the classical and eastern roman empire , arab caliphates for a short period , the french lusignan dynasty and the venetians , was followed by over three centuries of ottoman rule between 1571 and 1878 ( de jure until 1914 ) . ~ there was hardly a political event in cyprus.",1.0,5.0,1.0,5.0,,,1.0,SUPPORTED,REFUTED,Not Run,SUPPORTED,True,True,True
REFUTED,"sza (singer). sza is a neo soul singer whose music is described as alternative r&b , with elements of soul , hip hop , minimalist r&b , cloud rap , ethereal r&b , witch house and chillwave . ~ sza is not a neo soul singer.","sza (singer). sza is a neo soul singer whose music is described as alternative r&b , with elements of soul , hip hop , minimalist r&b , cloud rap , ethereal r&b , witch house and chillwave . ~ sza is 𝕟ot a neo soul singer.",0.0,5.0,0.0,4.0,,,0.0,SUPPORTED,REFUTED,Not Run,REFUTED,True,False,True
SUPPORTED,"taran killam. taran hourie killam ( born april 1 , 1982 ) is an american actor , comedian , and writer . ~ taran killam is a person.","𝗍ar𝝰n kil1𝙖m. 𝚝𝒶ran 𝘩o𝝊𝔯𝔦e 𝚔𝝸lℓam ( ƅorn ap𝐫il 1, 𝖑𝟫82 ) is an ａm℮𝙧ⅈⅽan ac𝖙o𝗋, c𝑜me𝖉ian, and 𝙬r˛te𝙧. ~ tara𝐧 kill𝙖m is a person.",0.0,5.0,0.0,5.0,,,0.0,SUPPORTED,SUPPORTED,Not Run,SUPPORTED,True,True,False
REFUTED,"the road to el dorado. the film stars kevin kline , kenneth branagh , armand assante , jim cummings , edward james olmos , tobin bell and rosie perez . ~ the road to el dorado only stars ben stiller.","the road t o el dоrɑdо . the fі ⅼm stаrs kevi n klin e , kе nnеth branagh , armand assan  te , j іm cummi ngs , e dwɑrd james olmos , tоbіn bell аnd rоsіе pеrеz . ~ t he road t o eⅼ dоrаdо оnⅼу st ars be n stiller .",2.0,4.0,2.0,5.0,,,2.0,REFUTED,SUPPORTED,Not Run,REFUTED,True,True,True
SUPPORTED,captain america's shield. it is the primary defensive and offensive piece of equipment used by the marvel comics superhero captain america ; he is seldom seen without it . ~ captain america's shield is used by the superhero name captain america.,captain america's shield. it is the primary defensive and offensive piece of equipment used by the marvel comics superhero captain america ; he is seldom seen without it . ~ captain america's shield is used by dub superhero name captain america.,2.0,4.0,0.0,3.0,1.0,1.0,2.0,SUPPORTED,SUPPORTED,Not Run,SUPPORTED,True,True,False
SUPPORTED,a. p. j. abdul kalam. kalam was elected as the 11th president of india in 2002 with the support of both the ruling bharatiya janata party and the then-opposition indian national congress . ~ a. p. j. abdul kalam was elected as president.,a. p. j. abdul kalam. kalam was elected as the 11th presiden𝒕 of india in 2002 with the support of both the ruling bharatiya janata party and the then-opposition indian national congress . ~ a. p. j. abdul kalam was elected as president.,0.0,5.0,0.0,5.0,,,0.0,SUPPORTED,SUPPORTED,Not Run,SUPPORTED,True,True,False
SUPPORTED,"estonia. in 2005 estonia became the first nation to hold elections over the internet , and in 2014 the first nation to provide e-residency . electronic voting in estonia. estonia became the first nation to hold legally binding general elections over the internet with their pilot project for the municipal elections in 2005 . ~ estonia is a country.","estonia. in 2005 estonia became the first nation to hold elections over the internet , and in 2014 the first nation to provide e-residency . electronic voting in estonia. estonia became the first nation to hold legally binding general elections over the internet with their pilot project for the municipal elections in 2005 . ~ estonia is a caps.",2.0,5.0,2.0,5.0,,,2.0,SUPPORTED,SUPPORTED,Not Run,SUPPORTED,True,True,False
REFUTED,"tylenol (brand). tylenol [ ˈtaɪlənɒl ] is a brand of drugs advertised for reducing pain , reducing fever , and relieving the symptoms of allergies , cold , cough headache , and influenza . ~ tylenol is advertised only as a pain killer.","tylenol (brand). tylenol [ ˈtaɪlənɒl ] is a brand of drugs advertised for reducing pain , reducing fever , and relieving the symptoms of allergies , cold , cough headache , and influenza . ~ tylenol is advertised o𝓷ly as a pain killer.",0.0,5.0,0.0,5.0,,,0.0,SUPPORTED,REFUTED,Not Run,REFUTED,True,False,True
SUPPORTED,kareem abdul-jabbar. he is ranked 3rd all-time in both rebounds and blocks . ~ kareem abdul-jabbar is ranked 3rd all-time in blocks and rebounds.,kareem abdul - j abbar . he i s ranked 3rd all - time in both rebounds and blocks . ~ kareem abdul - jabbar is ranked 3rd all - ti me in blocks and rеbоunds .,0.0,5.0,2.0,5.0,2.0,1.0,2.0,SUPPORTED,SUPPORTED,Not Run,SUPPORTED,True,True,False
REFUTED,"caesar (mercury theatre). caesar is the title of orson welles 's innovative 1937 adaptation of william shakespeare 's julius caesar , a modern-dress bare-stage production that evoked comparison to contemporary fascist italy and nazi germany . ~ caesar is a frank capra play.","caesar ( mercury theatre ). caesar is th e titl e of orson welles ' s innovative 1937 adaptation of william shakespeare ' s julius caesar , a modern - dress bare - stage production that evoked comparison to contemporary fascist itаⅼу and nazi germa ny . ~ caesar is a fra nk capra play .",2.0,4.0,2.0,5.0,,,2.0,SUPPORTED,SUPPORTED,Not Run,REFUTED,True,False,False
SUPPORTED,"daredevil (tv series). marvel 's daredevil , or simply daredevil , is an american web television series created for netflix by drew goddard , based on the marvel comics character of the same name . ~ daredevil is based on the character of the same name.","daredevil (tv series). marvel's daredevil, or simply daredevil, is an american web television series created for netflix by drew goddard, based on the marvel comics character of the same name. ~ daredevil is based on the c𝗵aract𝐞r of the same name.",0.0,5.0,0.0,5.0,,,0.0,SUPPORTED,SUPPORTED,Not Run,SUPPORTED,True,True,False
REFUTED,middle-earth. middle-earth is the north continent of earth ( arda ) in an imaginary period of the earth 's past ~ middle-earth is a real place.,middle-earth. middle-earth is the north continent of earth ( arda ) in an imaginary period of the earth 's past ~ there is a real place.,1.0,5.0,1.0,5.0,,,1.0,REFUTED,SUPPORTED,Not Run,REFUTED,True,True,True
REFUTED,"birmingham. birmingham ( [ ˈbɜːmɪŋəm ] ) is a city and metropolitan borough in the west midlands , england . ~ birmingham is a sports team.","𝚋ⅈ𝖗mɩ𝕟gｈ𝙖m. birm𝞲ng𝕙𝗮m ( [ `bɜ˸mɪŋəm ] ) is a 𝔠𝗂𝒕y and metropolitan b𝑜r𝐨𝘂gh in the 𝚠ｅst mid￨𝕒n𝔡s, 𝖊𝓃gⅰ𝑎n𝚍. ~ b𝚒rming𝖍𝓪m is a sports team.",0.0,4.0,0.0,3.0,,,0.0,REFUTED,SUPPORTED,Not Run,REFUTED,True,True,True
SUPPORTED,"topman. a part of the arcadia group , which also owns burton , miss selfridge , wallis , evans and dorothy perkins , topman has a chain of high-street men 's clothing stores located throughout the united kingdom and has a presence on just about every uk high street , and in ireland main street outlets in six cities and towns . arcadia group. arcadia group ltd. ( formerly arcadia group plc and burton group plc ) is a british multinational retailing company headquartered in london , united kingdom . ~ topman belongs to a british multinational retailing company.","topman. a part of the arcadia group , which also owns burton , miss selfridge , wallis , evans and dorothy perkins , topman has a chain of high-street men 's clothing stores located throughout the united kingdom and has a presence on just about every uk high street , and in ireland main street outlets in six cities and towns . arcadia group. arcadia group ltd. ( formerly arcadia group plc and burton group plc ) is a british multinational retailing company headquartered in london , united kingdom . ~ topman belongs to a british multinational retailing compa𝒏y.",0.0,5.0,0.0,5.0,,,0.0,SUPPORTED,SUPPORTED,Not Run,SUPPORTED,True,True,False
SUPPORTED,"burj khalifa. however , the labour issues during construction were controversial , since the building was built primarily by migrant workers from south asia with several allegations of mistreatment . ~ the burj khalifa is in asia.","burj khalifa. however , the labour issues during construction were controversial , since the building was built primarily by migrant workers from south asia with several allegations of mistreatment . ~ the burj khalifa is in exile.",1.0,5.0,1.0,5.0,,,1.0,SUPPORTED,SUPPORTED,Not Run,SUPPORTED,True,True,False
SUPPORTED,johnny galecki. he is known for playing david healy in the abc sitcom roseanne from 1992 -- 1997 and dr. leonard hofstadter in the cbs sitcom the big bang theory since 2007 . ~ johnny galecki plays dr. leonard hofstadter in the big bang theory.,jоhnnу galecki . he is known for playing david healy in the abc sitcom roseanne from 1992 -- 1997 and dr . leonard hofstadter in the cbs sitcom the big bang theory since 2007 . ~ johnny galecki plays dr . leona rd hofstadter іn the big bang theory .,0.0,5.0,2.0,4.0,0.0,1.0,0.0,SUPPORTED,SUPPORTED,Not Run,SUPPORTED,True,True,False
SUPPORTED,"i want to know what love is. `` i want to know what love is '' has continued to garner critical acclaim , and is listed as one of rolling stone magazine 's greatest songs of all time at # 479 . ~ i want to know what love is is listed in rolling stone.","i wɑnt to kno w what love i s . `` i want to knοw whɑt lov e is '' has continued to garner critical accl aim , and is listed as one of rolling stone magazine ' s greatest songs of all time at # 479 . ~ i want to know what lоvе is is l isted in rоⅼⅼіng stone .",0.0,5.0,2.0,5.0,2.0,1.0,2.0,SUPPORTED,SUPPORTED,Not Run,SUPPORTED,True,True,False
REFUTED,"babur. babur ( [ بابر , lit = tiger , translit = bābur ] 14 february 148326 december 1530 ) , born ẓahīr-ud-dīn muḥammad ( [ ظهیرالدین محمد , translit = ẓahīr ad-dīn muḥammad ] ) , was a conqueror from central asia who , following a series of setbacks , finally succeeded in laying the basis for the mughal dynasty in the indian subcontinent and became the first mughal emperor . ~ babur was the third mughal emperor.","babur. babur ( [ بابر , lit = tiger , translit = bābur ] 14 february 148326 december 1530 ) , born ẓahīr-ud-dīn muḥammad ( [ ظهیرالدین محمد , translit = ẓahīr ad-dīn muḥammad ] ) , was a conqueror from central asia who , following a series of setbacks , finally succeeded in laying the basis for the mughal dynasty in the indian subcontinent and became the first mughal emperor . ~ babur was the  better mughal emperor.",1.0,5.0,1.0,5.0,,,1.0,REFUTED,REFUTED,Not Run,REFUTED,True,True,False
REFUTED,"the millers. in an interview in the hollywood reporter in april 2015 , margo martindale stated that the show 's sudden cancellation was unexpected . ~ the millers has no cancellation announcements.","the millers. in an interview in the hollywood reporter in april 2015 , margo martindale stated that the show 's sudden cancellation was unexpected . ~ the millers has v cancellation announcements.",2.0,4.0,1.0,5.0,1.0,4.0,1.0,REFUTED,SUPPORTED,Not Run,REFUTED,True,True,True
SUPPORTED,"natasha lyonne. natasha bianca lyonne braunstein ( born april 4 , 1979 ) , better known as natasha lyonne , is an american actress . ~ natasha lyonne is an american citizen.","natasha lyonne . natasha bianca lyonne braunstein ( born april 4 , 1979 ) , better known as natasha lyonne , is an american actress . ~ natasha lyonne is an america n citizen .",0.0,5.0,0.0,3.0,,,0.0,SUPPORTED,SUPPORTED,Not Run,SUPPORTED,True,True,False
SUPPORTED,"libya. libya is a country in the maghreb region of north africa , bordered by the mediterranean sea to the north , egypt to the east , sudan to the southeast , chad and niger to the south and algeria and tunisia to the west . ~ libya is in africa.","libya. libya is a country in the maghreb region of north africa , bordered by the mediterranean sea to the north , egypt to the east , sudan to the southeast , chad and niger to the south and algeria and tunisia to the west . ~ libya is i𝒏 africa.",0.0,5.0,0.0,4.0,,,0.0,SUPPORTED,SUPPORTED,Not Run,SUPPORTED,True,True,False
REFUTED,"the good wife. the good wife is an american legal and political drama television series that aired on cbs from september 22 , 2009 , to may 8 , 2016 . ~ the good wife is not a tv show.","the ɡood wife. the good wife is an american legal and political drama television series that aired on cbs from september 22, 2009, to may 8, 2016. ~ the good wife is not a t𝐯 show.",0.0,5.0,0.0,5.0,,,0.0,REFUTED,REFUTED,Not Run,REFUTED,True,True,False
SUPPORTED,"don bradman. as a captain and administrator , bradman was committed to attacking , entertaining cricket ; he drew spectators in record numbers . ~ don bradman was an athlete.","don bradman. as a captain and administrator , bradman was committed to attacking , entertaining cricket ; he drew spectators in record numbers . ~ don bradman was an pants.",2.0,5.0,1.0,5.0,1.0,5.0,1.0,SUPPORTED,SUPPORTED,Not Run,SUPPORTED,True,True,False
REFUTED,"harry fraud. primarily a hip hop producer , fraud began producing at an early age and began interning at a recording studio after graduating high school . ~ harry fraud refused to intern at a recording studio.","harry fraud . primarily a hip h op producer , fraud began producing at an early age and began interning at a recording studio after graduating high school . ~ hɑrrу f raud r efused to intern at a recording studio .",0.0,5.0,2.0,5.0,2.0,3.0,2.0,REFUTED,REFUTED,Not Run,REFUTED,True,True,False
SUPPORTED,"tamerlan tsarnaev. was a terrorist who , with his brother dzhokhar tsarnaev , planted bombs at the boston marathon on april 15 , 2013 . dzhokhar tsarnaev. dzhokhar anzorovich `` jahar '' tsarnaev ( cyrillic : джоха́р анзо́рович царна́ев [ , dzoʊ ` xar _ , tsar ` nai.ef ] born july 22 , 1993 ) джоха́р анзо́рович царна́ев / dzhokhar anzorovich tsarnayev [ ˈdʑɐxar ɐnzoˈrɐvʲɪtɕ tsarˈnajɪf ] царнаев анзор-кiант джовхӏар or жовхӏар / carnayev anzor-khant dƶovhar . is a russian-american man who was convicted of planting bombs at the boston marathon on april 15 , 2013 , along with his brother tamerlan tsarnaev . ~ tamerlan tsarnaev had a brother.","tamerlan tsarnaev. was a terrorist who , with his brother dzhokhar tsarnaev , planted bombs at the boston marathon on april 15 , 2013 . dzhokhar tsarnaev. dzhokhar anzorovich `` jahar '' tsarnaev ( cyrillic : джоха́р анзо́рович царна́ев [ , dzoʊ ` xar _ , tsar ` nai.ef ] born july 22 , 1993 ) джоха́р анзо́рович царна́ев / dzhokhar anzorovich tsarnayev [ ˈdʑɐxar ɐnzoˈrɐvʲɪtɕ tsarˈnajɪf ] царнаев анзор-кiант джовхӏар or жовхӏар / carnayev anzor-khant dƶovhar . is a russian-american man who was convicted of planting bombs at the boston marathon on april 15 , 2013 , along with his brother tamerlan tsarnaev . ~ tamerlan tsarnaev had  n brother.",1.0,5.0,1.0,5.0,,,1.0,SUPPORTED,SUPPORTED,Not Run,SUPPORTED,True,True,False
REFUTED,"the bahamas. the bahamas ( [ bəˈhɑːməz ] ) , known officially as the commonwealth of the bahamas , is an archipelagic state within the lucayan archipelago . ~ the bahamas is unknown.","the bahamas. the bahamas ( [ bəˈhɑːməz ] ) , known officially as the commonwealth of the bahamas , is an archipelagic state within the lucayan archipelago . source~ the bahamas is posted.",2.0,5.0,1.0,5.0,1.0,3.0,1.0,REFUTED,SUPPORTED,Not Run,REFUTED,True,True,True
SUPPORTED,"rage against the machine. the same year , growing tensions over the direction of the band prompted de la rocha to quit , leading to the band 's breakup . ~ rage against the machine stopped being together.","rage against the machine. the same year , growing tensions over the direction of the band prompted de la rocha to quit , leading to the band 's breakup . ~ rage against the machine stopped being pants.",2.0,5.0,2.0,4.0,,,2.0,SUPPORTED,SUPPORTED,Not Run,SUPPORTED,True,True,False
SUPPORTED,"bret easton ellis. bret easton ellis ( born march 7 , 1964 ) is an american author , screenwriter , and short story writer . ~ bret easton ellis wrote a screenplay.","bret easton ellis. bret easton ellis ( born march 7 , 1964 ) is an american author , screenwriter , and short story writer . ~ bret easton ellis wrote a advertisement.",1.0,5.0,1.0,5.0,,,1.0,SUPPORTED,SUPPORTED,Not Run,SUPPORTED,True,True,False
REFUTED,"ed and lorraine warren. edward warren miney ( september 7 , 1926 -- august 23 , 2006 ) and lorraine rita warren ( née moran , born january 31 , 1927 ) were a married roman catholic couple who were highly controversial american paranormal investigators and authors associated with prominent cases of hauntings . ~ ed and lorraine warren were dogs.","ed and lorraine warren. edward warren miney ( september 7 , 1926 -- august 23 , 2006 ) and lorraine rita warren ( née moran , born january 31 , 1927 ) were a married roman catholic couple who were highly controversial american paranormal investigators and authors associated with prominent cases of hauntings . ~ ed and lorraine warren were related.",1.0,5.0,1.0,5.0,,,1.0,REFUTED,REFUTED,Not Run,REFUTED,True,True,False
SUPPORTED,"mani ratnam. cited by the media as one of india 's influential filmmakers , mani ratnam is widely credited with revolutionising the tamil film industry and altering the profile of indian cinema . ~ mani ratnam is widely credited with altering the profile of indian cinema.","mani ratnam. cited by the media as one of india 's influential filmmakers , mani ratnam is widely credited with revolutionising the tamil film industry and altering the profile of indian cinema . ~ mani ratnam is widely credited with altering the profile of indian irish cinema.",1.0,5.0,1.0,5.0,,,1.0,SUPPORTED,SUPPORTED,Not Run,SUPPORTED,True,True,False
SUPPORTED,a. p. j. abdul kalam. kalam was elected as the 11th president of india in 2002 with the support of both the ruling bharatiya janata party and the then-opposition indian national congress . ~ a. p. j. abdul kalam was elected as president.,a . p . j . abdul kalam . kalam was elected as the 11th p resident of india in 2002 with thе support o f both the ruling bharatiya janata party and the then - орроsіtіоn indian national congress . ~ a . p . j . abdul kalam was elected as president .,0.0,5.0,2.0,5.0,0.0,3.0,0.0,SUPPORTED,SUPPORTED,Not Run,SUPPORTED,True,True,False
REFUTED,"edmund h. north. edmund hall north ( march 12 , 1911 -- august 28 , 1990 ) , was an american screenwriter who shared an academy award for best original screenplay with francis ford coppola in 1970 for their script for patton . ~ edmund h. north was born june 12, 1911.","edmund h. north. edmund hall north ( june 12 , 1911 -- august 28 , 1990 ) , was an american screenwriter who shared an academy award for best original screenplay with francis ford coppola in 1970 for their script for patton . ~ edmund h. north was born june 12, 1911.",0.0,4.0,1.0,5.0,1.0,5.0,1.0,REFUTED,SUPPORTED,Not Run,REFUTED,True,True,True
SUPPORTED,"tim mcgraw. mcgraw has ventured into acting , with supporting roles in the blind side ( with sandra bullock ) , friday night lights , the kingdom , tomorrowland , and four christmases ( with vince vaughn and reese witherspoon ) , and lead roles in flicka ( 2006 ) and country strong ( 2010 ) . ~ tim mcgraw acted in the blind side.","tim mcgraw. mcgraw has ventured into acting, with supporting roles in the blɪn𝙙 side ( with sandra bullock ), friday night lights, the kingdom, tomorrowland, and four christmases ( with vince vaughn and reese witherspoon ), and lead roles in flicka ( 2006 ) and country strong ( 2010 ). ~ tim mcgraw acted in the blind side.",0.0,5.0,0.0,4.0,,,0.0,SUPPORTED,SUPPORTED,Not Run,SUPPORTED,True,True,False
