original_samples,adversarial_samples,correctness,agreed_labels,original_prediction,adversarial_prediction,prediction_flipped
"manmohan singh. the first sikh in office , singh was also the first prime minister since jawaharlal nehru to be re-elected after completing a full five-year term . ~ manmohan singh was only the second follower of sikhism in office.","manmohan singh. the first sikh in office , singh was also the first prime minister since jawaharlal nehru to be re-elected after completing a full five-year term . .~ manmohan singh was posted the second follower of sikhism in office.",REFUTED,0.0,REFUTED,SUPPORTED,True
"jenna jameson. jenna jameson ( born jenna marie massoli ; april 9 , 1974 ) is an american entrepreneur , webcam model and former pornographic film actress , who has been called the world 's most famous adult entertainment performer and `` the queen of porn '' . ~ jenna jameson was photographed in the past.","jenna jameson. jenna jameson ( born jenna marie massoli ; april 9 , 1974 ) is an american entrepreneur , webcam model and former pornographic film actress , who has been called the world 's most famous adult entertainment performer and `` the queen of porn '' . ~ jenna jameson was photographed only in the past.",SUPPORTED,0.0,SUPPORTED,REFUTED,True
woodrow wilson. the crackdown was intensified by his attorney general a. mitchell palmer to include expulsion of non-citizen radicals during the first red scare of 1919 -- 1920 . ~ woodrow wilson lived in a section of the 1900s.,woodrow wilson. the crackdown was intensified by his attorney general a. mitchell palmer to include expulsion of non-citizen radicals during the first red scare of 1919 -- 1920 . ~ woodrow wilson lived only in a section of the 1900s.,SUPPORTED,0.0,SUPPORTED,REFUTED,True
"estonia. in 2005 estonia became the first nation to hold elections over the internet , and in 2014 the first nation to provide e-residency . electronic voting in estonia. estonia became the first nation to hold legally binding general elections over the internet with their pilot project for the municipal elections in 2005 . ~ estonia is a country.","estonia. in 2005 estonia became the first nation to hold elections over the internet , and in 2014 the first nation to provide e-residency . electronic voting in estonia. estonia became the first nation to hold legally binding general elections over the internet with their pilot project for the municipal elections in 2005 . ~ estonia is  common country.",SUPPORTED,0.0,SUPPORTED,REFUTED,True
"camden, new jersey. the city is the home of rutgers university -- camden , which was founded as the south jersey law school in 1926 , and cooper medical school of rowan university , which opened in 2012 . ~ camden, new jersey has no universities.","camden, new jersey. the city is the home of rutgers university -- camden , which was founded as the south jersey law school in 1926 , and cooper medical school of rowan university , which opened in 2012 . ~ camden, new jersey has 𝕟o universities.",REFUTED,0.0,REFUTED,SUPPORTED,True
"mount rushmore. mount rushmore features 60 ft sculptures of the heads of four united states presidents : george washington ( 1732 -- 1799 ) , thomas jefferson ( 1743 -- 1826 ) , theodore roosevelt ( 1858 -- 1919 ) , and abraham lincoln ( 1809 -- 1865 ) . ~ mount rushmore was completed by 1300 ad.","mоunt rushmоrе . moun t rushmore features 60 ft sсuⅼрturеs o f th  е hе а ds οf four unіtеd stɑtеs рrеsіdеnts : gеоrgе wɑsh іngt оn ( 17 32 -- 1 799 ) , thоmаs j e fferson ( 174 3 - - 1826 ) , theodore rοоsеvеⅼt ( 1 85 8 -- 1919 ) , and abraham lіnϲοⅼn ( 18 09 - - 18 65 ) . ~ mou nt rushmore w аs ϲо mрⅼеtеd bу 1300 ad .",REFUTED,0.0,REFUTED,SUPPORTED,True
"dan o'bannon. daniel thomas `` dan '' o'bannon ( september 30 , 1946 -- december 17 , 2009 ) was an american film screenwriter , director , visual effects supervisor , and occasional actor , usually in the science fiction and horror genres . ~ dan o'bannon's work was primarily adventure and comedy.","dan o'bannon. daniel thomas `` dan '' o'bannon ( september 30, 1946 -- december 17, 2009 ) was an american film screenwriter, director, visual effects supervisor, and occasional actor, usually in the science fiction and horror genres. ~ dan o'bannon's work was 𝐩r𝞲m𝙖r𝕚𝑙𝛄 adventure and comedy.",REFUTED,0.0,REFUTED,SUPPORTED,True
"andrew moray. he subsequently merged his forces with those led by william wallace and jointly led the combined army to victory at the battle of stirling bridge . moray was mortally wounded in the fighting , dying at an unknown date and place later that year . battle of stirling bridge. on 11 september 1297 , the forces of andrew moray and william wallace defeated the combined english forces of john de warenne , 6th earl of surrey , and hugh de cressingham near stirling , on the river forth . ~ andrew moray led an uprising against occupation in 1397.","andrew moray. he subsequently merged his forces with those led by william wallace and jointly led the combined army to victory at the battle of stirling bridge. moray was mortally wounded in the fighting, dying at an unknown date and place later that year. battle of stirling bridge. on 11 september 1297, the forces of andrew moray and william wallace defeated the combined english forces of john de warenne, 6th earl of surrey, and hugh de cressingham near stirling, on the river forth. ~ andrew moray led an uprisi𝓃g against occupation in 1397.",REFUTED,0.0,REFUTED,SUPPORTED,True
"ted cruz. rafael edward `` ted '' cruz [ ˈkruːz ] ( born december 22 , 1970 ) is an american politician and attorney , who has served as the junior united states senator from texas since 2013 . he was a candidate for the republican nomination for president of the united states in the 2016 election . from 1999 to 2003 , he served in various political appointee positions : the director of the office of policy planning at the federal trade commission ( ftc ) , an associate deputy attorney general at the united states department of justice , and a domestic policy advisor to george w. bush on the 2000 george w. bush presidential campaign . he was the first hispanic , and the longest-serving , solicitor general in texas history . from 2004 to 2009 , cruz was an adjunct professor at the university of texas school of law in austin , texas , where he taught u.s. supreme court litigation . he defeated former state representative paul sadler in the november 2012 general election , winning 56 -- 41 % . he is the first hispanic american to serve as a u.s. senator representing texas , and is one of three senators of cuban descent . he chairs the senate judiciary subcommittee on oversight , federal rights and agency activities , and is the chairman of the senate commerce subcommittee on space , science and competitiveness . in november 2012 , he was appointed vice-chairman of the national republican senatorial committee . during the primary campaign , his base of support was strongest with `` women , white evangelical protestants , people over the age of 50 , and those who identified themselves as conservatives '' , though he had crossover appeal to other factions within his party , including libertarian conservatives and millennials . he eventually emerged as the main challenger to frontrunner donald trump . he suspended his campaign for president on may 3 , 2016 , after losing the republican primary in indiana to trump . ~ ted cruz is an american male.","ted cruz. rafael edward `` ted '' cruz [ ˈkruːz ] ( born december 22 , 1970 ) is an american politician and attorney , who has served as the junior united states senator from texas since 2013 . he was a candidate for the republican nomination for president of the united states in the 2016 election . from 1999 to 2003 , he served in various political appointee positions : the director of the office of policy planning at the federal trade commission ( ftc ) , an associate deputy attorney general at the united states department of justice , and a domestic policy advisor to george w. bush on the 2000 george w. bush presidential campaign . he was the first hispanic , and the longest-serving , solicitor general in texas history . from 2004 to 2009 , cruz was an adjunct professor at the university of texas school of law in austin , texas , where he taught u.s. supreme court litigation . he defeated former state representative paul sadler in the november 2012 general election , winning 56 -- 41 % . he is the first hispanic american to serve as a u.s. senator representing texas , and is one of three senators of cuban descent . he chairs the senate judiciary subcommittee on oversight , federal rights and agency activities , and is the chairman of the senate commerce subcommittee on space , science and competitiveness . in november 2012 , he was appointed vice-chairman of the national republican senatorial committee . during the primary campaign , his base of support was strongest with `` women , white evangelical protestants , people over the age of 50 , and those who identified themselves as conservatives '' , though he had crossover appeal to other factions within his party , including libertarian conservatives and millennials . he eventually emerged as the main challenger to frontrunner donald trump . he suspended his campaign for president on may 3 , 2016 , after losing the republican primary in indiana to trump . ~ ted cruz is solely an american male.",SUPPORTED,0.0,SUPPORTED,REFUTED,True
"logie awards. the logie awards ( officially the tv week logie awards ) is an annual institution celebrating australian television , which have been since 1960 . ~ logie awards is the name of a movie.","logie aw ards . the logie awards ( officially the tv week logie award s ) is an an nual institution celebrating australian television , which have been since 1960 . ~ logie awar ds іs the name of a mo vie .",REFUTED,0.0,REFUTED,SUPPORTED,True
raja hindustani. raja hindustani ( translation : indian king ) is a 1996 indian blockbuster hindi-language drama romance film directed by dharmesh darshan . ~ raja hindustani is only a 1993 drama romance film.,raja hindustani . r aja hіndustаnі ( translation : ind ian k ing ) is a 1996 indіɑn blockbuster hin di - language drɑmа romance film dire ct ed b у dharmesh da rshan . ~ rɑjа hindustani is on ly а 1993 drаmа rоmɑnϲ е film .,REFUTED,0.0,REFUTED,SUPPORTED,True
"kevin costner. costner has played eliot ness in the untouchables , crash davis in bull durham , ray kinsella in field of dreams , lt. john j. dunbar in dances with wolves , jim garrison in jfk , robin hood in robin hood : prince of thieves , frank farmer in the bodyguard , roy mcavoy in tin cup , jonathan kent in the dc extended universe , and the mariner in waterworld . ~ kevin costner passed up the opportunity to act in television.","kevin costner. costner has played eliot ness in the untouchables, crash davis in bull durham, ray kinsella in field of dreams, lt. john j. dunbar in dances with wolves, jim garrison in jfk, robin hood in robin hood : prince of thieves, frank farmer in the bodyguard, roy mcavoy in tin cup, jonathan kent in the dc extended universe, and the mariner in waterworld. ~ kevin costner p𝞪ssed up the opportunity to act in television.",REFUTED,0.0,REFUTED,SUPPORTED,True
"the millers. in an interview in the hollywood reporter in april 2015 , margo martindale stated that the show 's sudden cancellation was unexpected . ~ the millers has no cancellation announcements.","the millers. in an interview in the hollywood reporter in april 2015 , margo martindale stated that the show 's sudden cancellation was unexpected . ~ the millers has 𝐧o cancellation announcements.",REFUTED,0.0,REFUTED,SUPPORTED,True
"poseidon (film). poseidon grossed $ 181,674,817 at the worldwide box office on a budget of $ 160 million . ~ poseidon lacked a budget of $160 million.","poseidon (film). poseidon grossed $ 181,674,817 at the worldwide box office on a budget of $ 160 million . ~ poseidon la𝙘ked a budget of $160 million.",REFUTED,0.0,REFUTED,SUPPORTED,True
"veep. its second and fourth seasons won the writers guild of america award for television : comedy series , with the third season winning the television critics association award for outstanding achievement in comedy . ~ veep has no multiple seasons.","veep. its second and fourth seasons won the writers guild of america award for television : comedy series , with the third season winning the television critics association award for outstanding achievement in comedy . ~ veep has 𝓃o multiple seasons.",REFUTED,0.0,REFUTED,SUPPORTED,True
